rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,3050,0.0,0.0
0,10,0.493036,0.492798,1203,8120.6,783.179
0,20,0.506096,0.506226,924,8112.75,780.152
0,30,0.520937,0.520996,860,8113.65,777.336
0,40,0.549795,0.549316,790,8097.96,764.547
0,50,0.528439,0.5271,796,8089.04,755.532
0,60,0.516569,0.515381,791,8066.41,758.299
0,70,0.484051,0.481812,790,8080.57,778.949
0,80,0.476299,0.474854,747,8119.77,791.985
0,90,0.468733,0.467651,746,8118.53,783.195
0,100,0.450264,0.449829,697,8125.29,786.768
0,110,0.43882,0.438477,697,8152.64,809.346
0,120,0.426537,0.425781,712,8153.12,809.805
0,130,0.394007,0.393555,750,8147.14,814.07
0,140,0.398787,0.398193,694,8149.34,813.081
0,150,0.417994,0.416992,737,8160.71,808.832
0,160,0.422989,0.421265,721,8156.24,806.873
0,170,0.395826,0.39209,689,8160.46,804.433
0,180,0.380301,0.378418,724,8156.95,826.043
0,190,0.355219,0.354248,706,8158.96,830.578
0,200,0.342224,0.341309,703,8148.34,814.254
0,210,0.33749,0.337158,691,8149.11,817.541
0,220,0.345768,0.345825,735,8144.93,829.139
0,230,0.37813,0.37854,709,8143.7,847.921
0,240,0.384808,0.385132,711,8154.52,831.906
0,250,0.391409,0.391479,711,8154.59,813.549
0,260,0.40617,0.40625,718,8150.27,810.728
0,270,0.41259,0.412842,672,8159.92,802.386
0,280,0.42828,0.429688,706,8165.48,803.779
0,290,0.421345,0.423828,720,8149.24,815.806
0,300,0.439121,0.441772,703,8157.53,831.794
1,0,0.5,0.5,3029,0.0,0.0
1,10,0.490648,0.490723,1135,8139.86,780.179
1,20,0.534954,0.535461,928,8142.02,779.163
1,30,0.527065,0.527466,825,8147.17,778.806
1,40,0.547541,0.546387,820,8141.74,779.099
1,50,0.569521,0.568604,774,8139.82,778.452
1,60,0.569191,0.568665,709,8138.08,768.023
1,70,0.53898,0.536133,714,8132.5,767.205
1,80,0.513836,0.510986,709,8138.12,797.272
1,90,0.530609,0.526978,744,8144.13,803.272
1,100,0.525082,0.522217,690,8165.75,807.173
1,110,0.498734,0.497925,708,8156.4,822.515
1,120,0.500303,0.49762,673,8151.11,844.125
1,130,0.494884,0.493408,692,8138.73,847.867
1,140,0.518908,0.517944,707,8153.91,842.13
1,150,0.522449,0.521484,708,8155.47,851.35
1,160,0.505571,0.504395,659,8162.43,870.114
1,170,0.496864,0.496338,648,8151.56,874.69
1,180,0.504057,0.503052,637,8148.87,870.026
1,190,0.521589,0.519897,690,8136.17,852.244
1,200,0.512615,0.510254,720,8152.92,846.293
1,210,0.508133,0.505981,701,8154.29,842.602
1,220,0.503702,0.502808,695,8149.85,846.644
1,230,0.487034,0.483704,716,8146.78,851.035
1,240,0.500042,0.496582,715,8149.17,834.71
1,250,0.502993,0.501465,691,8137.33,826.403
1,260,0.463055,0.460022,689,8153.53,827.008
1,270,0.442434,0.439453,685,8150.6,850.319
1,280,0.442165,0.440125,694,8139.29,853.118
1,290,0.450579,0.448975,673,8152.99,848.339
1,300,0.482882,0.48175,685,8154.1,837.129
2,0,0.5,0.5,3062,0.0,0.0
2,10,0.484415,0.484009,1173,8117.44,782.291
2,20,0.495617,0.494934,927,8114.54,787.418
2,30,0.513647,0.512451,849,8116.24,782.517
2,40,0.536869,0.536133,824,8120.91,777.274
2,50,0.513317,0.513062,840,8103.1,775.443
2,60,0.520668,0.521362,804,8108.93,775.563
2,70,0.501659,0.503113,802,8099.4,776.701
2,80,0.518017,0.522217,764,8111.85,770.893
2,90,0.484846,0.490967,742,8132.24,767.788
2,100,0.467688,0.47229,722,8120.35,768.135
2,110,0.456604,0.462036,695,8130.71,769.865
2,120,0.453867,0.461914,740,8110.37,777.862
2,130,0.467157,0.474915,692,8148.14,774.628
2,140,0.46681,0.475098,720,8148.2,775.801
2,150,0.492294,0.500366,750,8146.1,772.509
2,160,0.506863,0.512207,673,8154.53,761.957
2,170,0.476076,0.480347,689,8150.7,747.988
2,180,0.497644,0.501343,670,8164.4,741.831
2,190,0.508484,0.512756,716,8150.99,747.108
2,200,0.489252,0.491699,710,8151.13,744.19
2,210,0.475449,0.477783,682,8147.54,750.973
2,220,0.477346,0.479858,685,8158.86,753.652
2,230,0.499506,0.505371,694,8148.14,755.13
2,240,0.509838,0.517578,675,8151.9,751.304
2,250,0.511667,0.514587,697,8145.06,746.796
2,260,0.509243,0.512207,682,8153.8,734.968
2,270,0.521868,0.527832,675,8164.01,738.034
2,280,0.543291,0.550903,683,8163.04,729.122
2,290,0.534929,0.542603,689,8159.29,721.98
2,300,0.563765,0.572144,696,8156.29,715.552
3,0,0.5,0.5,3091,0.0,0.0
3,10,0.516439,0.516602,1178,8130.98,768.234
3,20,0.530197,0.530762,913,8131.48,754.194
3,30,0.508648,0.508667,823,8133.56,756.739
3,40,0.497278,0.497009,762,8137.86,761.399
3,50,0.507261,0.506836,730,8157.35,752.026
3,60,0.527639,0.526978,750,8144.72,736.735
3,70,0.536818,0.537231,707,8144.25,732.595
3,80,0.564743,0.564697,683,8158.62,726.768
3,90,0.575775,0.575317,679,8149.01,742.874
3,100,0.583887,0.583435,693,8162.96,750.991
3,110,0.568441,0.567871,689,8152.98,744.442
3,120,0.550482,0.550781,661,8146.98,743.498
3,130,0.531307,0.531494,678,8158.9,751.547
3,140,0.547794,0.548462,683,8150.8,753.821
3,150,0.533859,0.533936,703,8138.59,750.059
3,160,0.538788,0.539673,676,8145.07,759.238
3,170,0.539843,0.54126,674,8148.49,763.114
3,180,0.550106,0.551819,687,8164.09,752.05
3,190,0.554926,0.556763,649,8162.47,758.349
3,200,0.507586,0.509277,645,8167.02,773.109
3,210,0.512615,0.514038,681,8145.59,774.764
3,220,0.538452,0.540161,697,8137.92,765.951
3,230,0.528687,0.529907,678,8142.24,756.352
3,240,0.51609,0.516724,696,8150.17,748.532
3,250,0.525011,0.528076,674,8161.69,733.748
3,260,0.517828,0.522156,663,8161.35,728.148
3,270,0.494503,0.497314,673,8162.53,723.087
3,280,0.5222,0.526917,638,8155.54,716.053
3,290,0.503115,0.50647,646,8160.23,721.782
3,300,0.487835,0.490845,664,8156.76,721.233
4,0,0.5,0.5,3044,0.0,0.0
4,10,0.486078,0.485718,1150,8122.41,771.999
4,20,0.514536,0.514771,925,8145.57,775.904
4,30,0.517408,0.517578,846,8154.14,781.038
4,40,0.526356,0.527832,811,8152.19,788.162
4,50,0.539492,0.540527,757,8148.23,784.203
4,60,0.5375,0.537476,728,8155.11,792.857
4,70,0.554567,0.554138,704,8163.28,777.949
4,80,0.503351,0.503052,637,8160.8,773.322
4,90,0.524113,0.522705,710,8157.58,768.583
4,100,0.515114,0.513489,663,8155.6,762.406
4,110,0.495571,0.491699,670,8157.61,768.2
4,120,0.495699,0.491211,706,8154.59,774.914
4,130,0.497984,0.494873,673,8166.09,781.229
4,140,0.499119,0.49585,661,8166.36,781.384
4,150,0.497131,0.493408,651,8148.6,771.935
4,160,0.519053,0.516479,685,8162.21,758.455
4,170,0.51914,0.516235,682,8159.15,755.976
4,180,0.518454,0.513062,667,8151.84,738.764
4,190,0.550406,0.545288,709,8162.69,723.004
4,200,0.528728,0.519775,704,8157.22,722.247
4,210,0.523005,0.514282,649,8168.31,717.914
4,220,0.533274,0.525696,683,8158.01,709.557
4,230,0.529795,0.522339,727,8152.45,703.543
4,240,0.526167,0.518311,684,8146.94,713.747
4,250,0.529709,0.520386,687,8153.67,722.855
4,260,0.507805,0.497559,696,8155.95,723.281
4,270,0.469879,0.458496,662,8158.04,733.726
4,280,0.447891,0.435059,668,8149.63,741.533
4,290,0.461555,0.449829,627,8150.25,740.189
4,300,0.454,0.443115,678,8159.09,741.05
