rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,3106,0.0,0.0
0,10,0.486044,0.485779,1195,8134.2,604.97
0,20,0.505999,0.506287,951,8112.64,601.385
0,30,0.514185,0.514343,899,8107.1,594.593
0,40,0.540329,0.5401,851,8094.56,591.806
0,50,0.521481,0.522156,798,8074.06,594.049
0,60,0.507065,0.507751,784,8107.83,601.795
0,70,0.477457,0.476562,798,8095.4,605.563
0,80,0.471891,0.471802,767,8121.79,614.924
0,90,0.473948,0.474243,785,8108.72,603.843
0,100,0.467678,0.46875,767,8085.82,597.54
0,110,0.452255,0.452576,811,8061.88,592.509
0,120,0.456711,0.456848,833,8018.89,588.915
0,130,0.443861,0.443726,874,8013.98,589.56
0,140,0.458578,0.457947,840,7998.29,591.6
0,150,0.456886,0.456543,861,8060.28,604.789
0,160,0.484142,0.483765,861,8048.19,604.379
0,170,0.459991,0.458923,846,7997.81,603.837
0,180,0.434738,0.433655,865,7947.59,604.906
0,190,0.422022,0.421265,872,7962.72,606.638
0,200,0.393356,0.392456,841,7940.03,599.165
0,210,0.418707,0.417969,861,7921.56,592.495
0,220,0.433737,0.43396,862,7949.58,592.65
0,230,0.450609,0.451111,823,8036.85,597.551
0,240,0.438032,0.437744,832,8018.68,605.884
0,250,0.441389,0.441772,813,7988.12,604.226
0,260,0.483263,0.483887,870,7983.85,596.496
0,270,0.480463,0.480835,827,7991.84,584.65
0,280,0.486588,0.486328,811,8030.55,585.441
0,290,0.526236,0.526489,825,8042.73,582.352
0,300,0.525686,0.525635,780,8072.48,585.305
1,0,0.5,0.5,3003,0.0,0.0
1,10,0.483738,0.483582,1154,8132.58,613.451
1,20,0.528873,0.528381,938,8141.48,609.068
1,30,0.52343,0.523193,823,8147.13,598.186
1,40,0.540367,0.538818,794,8141.12,590.94
1,50,0.571466,0.569092,796,8128.43,580.982
1,60,0.573963,0.572998,724,8130.02,571.677
1,70,0.5425,0.540405,729,8128.66,568.351
1,80,0.508688,0.50531,754,8114.94,570.206
1,90,0.512869,0.511108,800,8107.52,565.581
1,100,0.515955,0.514709,758,8125.87,570.304
1,110,0.481733,0.48175,766,8113.02,570.342
1,120,0.477728,0.47876,737,8114.7,572.336
1,130,0.465471,0.465515,743,8122.4,571.825
1,140,0.477074,0.477783,742,8139.54,570.692
1,150,0.476782,0.477844,715,8145.59,576.658
1,160,0.475679,0.477966,682,8148.23,584.635
1,170,0.485544,0.488281,658,8138.92,583.151
1,180,0.4856,0.489868,677,8137.12,590.295
