rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,6659,0.0,0.0
0,10,0.479921,0.482788,4005,8177.29,335.377
0,20,0.492702,0.496094,3970,8178.4,337.207
0,30,0.479706,0.488525,3898,8173.96,339.898
0,40,0.502493,0.519043,3863,8175.42,342.623
0,50,0.488461,0.501953,3795,8167.99,342.143
0,60,0.471567,0.479614,3739,8169.08,346.525
0,70,0.453108,0.45459,3778,8172.75,348.842
0,80,0.463856,0.469299,3716,8170.44,350.793
0,90,0.453749,0.456787,3721,8170.48,350.026
0,100,0.452045,0.452271,3686,8176.8,350.376
0,110,0.460112,0.452515,3652,8176.22,347.055
0,120,0.453178,0.447876,3652,8161.62,343.705
0,130,0.437254,0.428955,3692,8178.81,342.88
0,140,0.454588,0.452148,3704,8170.83,342.634
0,150,0.467211,0.471191,3739,8173.9,345.75
0,160,0.489676,0.493286,3757,8173.71,344.636
0,170,0.474785,0.476807,3773,8172.09,343.37
0,180,0.459736,0.456787,3782,8169.48,346.38
0,190,0.445332,0.442505,3767,8171.25,346.656
0,200,0.421633,0.413818,3795,8173.47,344.27
0,210,0.434277,0.431274,3776,8167.72,341.335
0,220,0.444174,0.446289,3773,8167.02,339.48
0,230,0.454664,0.454468,3712,8171.68,342.44
0,240,0.44224,0.442871,3705,8169.65,343.123
0,250,0.438412,0.438354,3718,8167.87,344.47
0,260,0.444754,0.443848,3714,8170.3,344.564
0,270,0.462812,0.464355,3648,8173.48,343.006
0,280,0.469521,0.474609,3713,8178.34,343.349
0,290,0.4624,0.464111,3706,8171.43,344.226
0,300,0.483574,0.489746,3688,8174.09,339.388
1,0,0.5,0.5,6592,0.0,0.0
1,10,0.486565,0.484863,4018,8176.31,336.162
1,20,0.528702,0.533081,3988,8173.51,339.628
1,30,0.526997,0.526123,3952,8178.5,342.808
