rep,epoch,frac_bytes_a,frac_tapes_a,distinct_tapes,mean_steps,copies_per_run
0,0,0.5,0.5,7399,0.0,0.0
0,10,0.482538,0.486572,7093,8142.77,383.813
0,20,0.496737,0.502441,7025,8144.17,383.504
0,30,0.498734,0.512085,7021,8149.69,383.661
0,40,0.519073,0.538208,6963,8144.51,383.501
0,50,0.504133,0.520874,6921,8143.92,383.367
0,60,0.491812,0.502319,6972,8152.59,384.03
0,70,0.475931,0.47937,6965,8145.16,383.844
0,80,0.471514,0.473999,6970,8138.35,383.691
0,90,0.463923,0.462891,6932,8140.55,383.877
0,100,0.443348,0.43634,6947,8153.73,384.386
0,110,0.453455,0.439941,6857,8151.3,384.005
0,120,0.448877,0.43811,6727,8141.33,383.441
0,130,0.42767,0.41095,6738,8144.15,383.754
0,140,0.448896,0.43689,6799,8136.44,383.866
0,150,0.467266,0.456055,6786,8144.36,383.481
0,160,0.479683,0.463501,6886,8130.06,382.996
0,170,0.460897,0.441772,6845,8135.0,383.207
0,180,0.437496,0.415405,6810,8129.89,383.135
0,190,0.418463,0.396729,6840,8149.81,383.968
0,200,0.386259,0.359375,6839,8140.36,383.578
0,210,0.379738,0.352051,6841,8140.94,383.615
0,220,0.390276,0.368164,6852,8139.14,383.872
0,230,0.401569,0.379395,6855,8140.62,384.018
0,240,0.389664,0.367798,6810,8141.13,384.659
0,250,0.404596,0.383301,6769,8130.84,383.381
0,260,0.399347,0.378601,6713,8145.23,383.941
0,270,0.40436,0.38623,6701,8132.72,383.283
0,280,0.415428,0.398682,6815,8138.72,383.542
0,290,0.3985,0.380737,6821,8145.31,383.715
0,300,0.401222,0.386841,6755,8141.8,383.679
1,0,0.5,0.5,7420,0.0,0.0
1,10,0.488089,0.487305,7032,8151.24,384.208
1,20,0.528019,0.533936,6936,8138.04,383.94
1,30,0.52071,0.519531,6937,8147.98,384.496
1,40,0.541145,0.540894,6795,8130.64,384.293
1,50,0.55142,0.557617,6745,8152.85,384.724
1,60,0.558121,0.564575,6714,8150.69,384.614
1,70,0.528465,0.532959,6691,8139.52,384.051
1,80,0.513903,0.5177,6579,8143.77,384.142
1,90,0.529921,0.541138,6622,8145.08,383.996
1,100,0.542007,0.546631,6640,8147.28,384.134
1,110,0.522903,0.518066,6665,8151.2,384.088
1,120,0.498327,0.48645,6668,8133.6,383.989
1,130,0.479614,0.464478,6708,8145.12,384.028
1,140,0.494993,0.484497,6767,8154.35,384.604
1,150,0.501217,0.493286,6802,8152.69,384.667
1,160,0.479399,0.464966,6832,8147.71,384.704
1,170,0.486439,0.474731,6762,8139.63,384.184
1,180,0.484646,0.470459,6693,8140.85,384.196
1,190,0.476873,0.454468,6714,8136.97,384.075
1,200,0.480698,0.466064,6756,8142.0,384.541
1,210,0.464231,0.447144,6785,8142.79,384.145
1,220,0.460974,0.439026,6828,8150.89,384.471
1,230,0.466486,0.447144,6846,8147.45,384.378
1,240,0.438538,0.417236,6883,8128.12,383.203
1,250,0.445047,0.419373,6832,8148.19,383.939
1,260,0.420103,0.390991,6807,8146.12,383.969
1,270,0.397627,0.366272,6941,8148.43,384.319
1,280,0.415831,0.386841,6887,8134.14,383.772
1,290,0.410872,0.382935,6836,8131.77,383.507
1,300,0.408316,0.38147,6751,8143.18,383.973
2,0,0.5,0.5,7449,0.0,0.0
2,10,0.48313,0.484375,7169,8134.46,384.023
2,20,0.484858,0.491394,7144,8156.98,384.845
2,30,0.504908,0.519287,7113,8149.96,383.797
2,40,0.516109,0.533081,7086,8151.85,383.655
2,50,0.503113,0.526733,6973,8146.21,383.228
2,60,0.501848,0.531006,7020,8146.67,383.203
2,70,0.497799,0.529297,7036,8142.43,383.221
2,80,0.49403,0.521912,7014,8135.15,383.111
2,90,0.462246,0.486206,6968,8145.8,383.795
2,100,0.459455,0.485107,6988,8129.91,383.074
2,110,0.453478,0.477051,6957,8136.23,383.698
2,120,0.450577,0.472778,6979,8134.46,383.5
2,130,0.476801,0.500488,6958,8152.01,384.289
