epoch,distinct_tapes,leader_coverage,leader_rep_hex,ss_copy_rate,ss_colonisation,ss_colonisation_sem,ss_mean_steps,ctrl_soup_copy_rate,ctrl_soup_colonisation,ctrl_soup_colonisation_sem,ctrl_rand_copy_rate,ctrl_rand_colonisation,ctrl_rand_colonisation_sem,frac_bytes_in_motif,H_inside,H_outside,conserved_lo,conserved_hi,conserved_width,n_aligned_tapes
7000,15766,0.15799,5b5b3e92089108a095fde76d7d510851,0.90918,0.700836,0.005567,5495.39,1.0,0.524208,0.010225,0.504883,0.499893,0.000358,0.053795,5.2621,6.4053,-8,32,41,558
8000,15945,0.158539,fda16d7d510851a73f272c590a0a97c7,0.910156,0.700417,0.005611,5504.37,1.0,0.522873,0.01021,0.504883,0.499893,0.000358,0.048565,5.2366,6.7957,-17,32,50,594
9000,15747,0.092438,46010e5b5b3eea08e7f512e2fd096d7d,0.90918,0.699905,0.005565,5468.08,0.998047,0.52459,0.010203,0.504883,0.499893,0.000358,0.031935,5.2199,7.0204,-5,32,38,880
10000,15813,0.084381,5cb25b3e140804a475e2fd096d7dc308,0.90918,0.70108,0.00552,5263.81,0.999023,0.52375,0.010209,0.504883,0.499893,0.000358,0.025619,5.0211,7.1991,-2,32,35,780
11000,15902,0.081268,5b5b3eea93e7f5dfe2fd096d7dc3f7f6,0.90918,0.699532,0.005572,5326.88,0.999023,0.524551,0.010222,0.504883,0.499893,0.000358,0.026622,5.1952,7.2689,-8,32,41,962
12000,15813,0.074097,d601e15b5b3eea084ef59815fd096d7d,0.908203,0.701393,0.005493,5342.92,0.999023,0.523872,0.01021,0.504883,0.499893,0.000358,0.02183,5.1682,7.3332,-5,32,38,630
13000,15823,0.063599,74df590f46b8f95b313eea08c5d698e2,0.908203,0.700104,0.005521,5310.84,0.999023,0.523857,0.010203,0.504883,0.499893,0.000358,0.017333,5.0599,7.4396,-1,32,34,485
14000,15930,0.060669,d660e05b3e37b346d8f73b3b7d51d82c,0.90918,0.69931,0.005512,5207.38,1.0,0.524887,0.010219,0.504883,0.499893,0.000358,0.018842,5.0145,7.4857,-6,32,39,717
15000,15932,0.061646,f8232ce41f590573955d2b5de477a9f2,0.911133,0.699471,0.005489,5187.81,1.0,0.524033,0.010223,0.504883,0.499893,0.000358,0.022072,5.2625,7.4935,-25,27,53,529
16000,16122,0.047852,7dc31ef65134232ce41f1c0573955d2b,0.910156,0.701103,0.005506,5235.01,1.0,0.524063,0.010228,0.504883,0.499893,0.000358,0.019472,5.0289,7.497,-20,32,53,986
17000,16248,0.067413,08cef5986696f76d7dc31ef65134232c,0.911133,0.697182,0.005528,5123.75,1.0,0.524864,0.010217,0.504883,0.499893,0.000358,0.022956,5.3305,7.5043,-12,32,45,574
18000,16245,0.052948,177e9518bbc1045d430240642c3ae16b,0.910156,0.698967,0.005516,5146.02,0.998047,0.52298,0.010154,0.504883,0.499893,0.000358,0.017072,4.9348,7.5336,-32,15,48,711
19000,16100,0.049774,73055d2b5d118fea97bceb81852afd47,0.911133,0.700409,0.005477,5196.76,1.0,0.523201,0.010198,0.504883,0.499893,0.000358,0.016911,4.926,7.5262,-32,20,53,554
20000,15890,0.100739,017fb7c726852c03b1a83b73055d2b5d,0.910156,0.701851,0.005481,5272.67,1.0,0.523743,0.010206,0.504883,0.499893,0.000358,0.034896,5.3951,7.4501,-21,31,53,876
21000,15906,0.106354,7d01beb7c726662ca1b1306e73055d2b,0.910156,0.699478,0.005497,5139.41,1.0,0.524078,0.010209,0.504883,0.499893,0.000358,0.033142,5.293,7.448,-20,32,53,885
22000,15753,0.064972,34743bb31384d627665b3e956c46ed27,0.908203,0.701859,0.005529,5174.81,0.999023,0.524002,0.010206,0.504883,0.499893,0.000358,0.016648,4.2834,7.5055,0,32,33,454
23000,15998,0.142242,a77da6c4b71826692c03b1b43b3b055d,0.90625,0.701546,0.005487,5169.28,0.999023,0.524101,0.010214,0.504883,0.499893,0.000358,0.051573,5.2076,7.3636,-19,32,52,1765
24000,16139,0.032471,3eea9733e48a0593ed3a7d01806c1826,0.90918,0.700821,0.005493,5158.2,0.99707,0.522453,0.010154,0.504883,0.499893,0.000358,0.011517,4.5377,7.4715,-10,32,43,872
25000,15931,0.050293,cd41098e7db08bb77526692c57663065,0.908203,0.699112,0.005514,5175.96,0.999023,0.524918,0.0102,0.504883,0.499893,0.000358,0.015318,4.7559,7.4138,-16,26,43,980
26000,15482,0.053589,33ce09607da6c4531826692c0311b43b,0.910156,0.703445,0.005463,5144.82,0.998047,0.524353,0.01022,0.504883,0.499893,0.000358,0.017199,5.0135,7.3873,-16,32,49,673
27000,16118,0.072113,f48c5b3e1a23ebed7f75d67d6e132c87,0.910156,0.700928,0.005514,5177.8,0.998047,0.524628,0.0102,0.504883,0.499893,0.000358,0.030243,5.7659,7.5375,-7,32,40,723
28000,16191,0.111877,347415b90a12ffa45b5b3ea215e14b75,0.90918,0.700195,0.005475,5148.61,1.0,0.523842,0.01021,0.504883,0.499893,0.000358,0.031153,5.0277,7.5105,0,32,33,1067
29000,16262,0.049866,3ea289da0403dc88fb617db0ba947526,0.911133,0.698822,0.005569,5232.69,1.0,0.524582,0.010227,0.504883,0.499893,0.000358,0.023307,5.1568,7.5631,-10,32,43,1372
30000,18247,0.155426,8bf67526be2cc1668165ebcb93e95dbd,0.911133,0.700607,0.005472,5018.71,0.999023,0.522484,0.010136,0.504883,0.499893,0.000358,0.065069,5.4544,6.9168,-22,29,52,2569
31000,16850,0.161102,88205978925b5b3e2801144b6a0825c6,0.911133,0.702995,0.005452,5296.29,0.998047,0.522964,0.010198,0.504883,0.499893,0.000358,0.051548,5.1669,7.0605,-3,32,36,1223
32000,19102,0.121643,5dab3ec83e8f2c5be15b94c95b5b1b00,0.90918,0.702263,0.005408,4777.14,0.998047,0.522995,0.010014,0.504883,0.499893,0.000358,0.039265,4.0717,7.0871,-32,15,48,2988
33000,20088,0.168457,d0ebcb93e95de63ec83e8f2c3ce15d94,0.90918,0.69899,0.005518,4522.76,0.999023,0.528778,0.009936,0.504883,0.499893,0.000358,0.053395,4.4912,7.0564,-31,20,52,3159
34000,21601,0.080505,81d0ebcb93e95de63ec83e8f2c3ce15d,0.911133,0.700523,0.00549,4341.44,1.0,0.52536,0.009786,0.504883,0.499893,0.000358,0.024679,4.6955,7.2132,-11,21,33,612
35000,20684,0.049438,be56a4259d977d71c890c00dbe2c7a7e,0.90918,0.700722,0.005472,4644.61,0.999023,0.52227,0.009904,0.504883,0.499893,0.000358,0.015179,4.7996,7.2315,-14,32,47,619
36000,21901,0.095276,5b3eacad379375c1b3e3d47d6259f678,0.910156,0.698547,0.005489,4073.85,0.998047,0.524628,0.009856,0.504883,0.499893,0.000358,0.040786,5.5697,7.2152,-9,32,42,1404
37000,22620,0.120972,3777dc56ffe6881c935b3eacad379375,0.914062,0.709694,0.005658,4003.96,1.0,0.524208,0.010288,0.504883,0.499893,0.000358,0.037488,4.7733,6.9416,0,32,33,1362
38000,18313,0.162598,5b5b3e824f1ec056f1259d977d712df4,0.90625,0.705147,0.005504,5017.31,0.99707,0.52787,0.010303,0.504883,0.499893,0.000358,0.049867,4.4275,6.8925,-8,32,41,2036
39000,18389,0.119415,347462c1206a46bd5b5b3e824f1ec0ee,0.90918,0.705399,0.005557,5047.14,0.999023,0.525192,0.010358,0.504883,0.499893,0.000358,0.03479,4.8077,6.9665,0,32,33,731
40000,19469,0.216492,347462cc52b878255b5b3e0f4f1ec556,0.908203,0.706108,0.005535,5341.56,0.999023,0.523254,0.010251,0.504883,0.499893,0.000358,0.075744,4.9067,6.9712,0,32,33,2765
41000,23672,0.171844,5b5b3e0f8a1ec5566425b3367d712de4,0.908203,0.705872,0.005467,5410.69,0.998047,0.524284,0.010206,0.504883,0.499893,0.000358,0.050254,4.7642,6.964,0,32,33,1136
