epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
0,0.032,0.0,7.997125,8.003174,-0.006049,0.0,0.0,0.0,0.0,0.0,0,0,0,58368,0,0
200,0.225,0.171,7.983445,7.643433,0.340012,533.2777,0.510332,0.051123,0.624277,0.3246,102400,54607636,3134,55983,0,0
400,0.541,0.456,7.967425,7.527344,0.440081,541.2575,0.492246,0.05374,0.621641,0.324619,102400,55424766,3155,55690,0,0
600,0.728,0.624,7.939124,7.481567,0.457557,545.8504,0.504668,0.05459,0.614697,0.330713,102400,55895082,3110,55806,0,0
800,0.931,0.808,7.907371,7.417969,0.489402,503.0057,0.564912,0.048809,0.63123,0.319961,102400,51507784,3104,55812,0,0
1000,1.105,0.962,7.854349,7.334595,0.519755,426.8393,0.646377,0.038535,0.672197,0.289268,102400,43708344,3183,55704,22,22
1200,1.357,1.165,7.768513,7.271851,0.496662,437.2801,0.726152,0.0396,0.732373,0.228027,102400,44777480,2940,55904,12,25
1400,1.567,1.356,7.755489,7.337524,0.417964,498.9256,0.780029,0.047305,0.781094,0.171602,102400,51089983,3115,56471,14,29
1600,1.855,1.625,7.702254,7.249512,0.452743,529.6533,0.789307,0.051006,0.792021,0.156973,102400,54236499,3097,56069,11,31
1800,2.071,1.822,7.697621,7.274414,0.423207,566.4997,0.805576,0.055332,0.810977,0.133691,102400,58009569,3159,56497,13,34
2000,2.418,2.129,7.660407,7.248779,0.411628,591.4064,0.796719,0.058604,0.805752,0.135645,102400,60560018,3136,56629,11,35
2200,2.775,2.467,7.649661,7.317261,0.332401,536.2189,0.804473,0.051748,0.812773,0.135479,102400,54908814,3172,57101,13,39
2400,2.983,2.657,7.66188,7.330322,0.331558,536.2695,0.840898,0.051836,0.816738,0.131426,102400,54913995,3090,57025,12,42
2600,3.336,2.99,7.631965,7.294189,0.337776,516.7718,0.866318,0.048662,0.850293,0.101045,102400,52917430,3070,56751,11,43
2800,3.561,3.196,7.6224,7.311157,0.311243,519.0894,0.894023,0.048926,0.878877,0.072197,102400,53154753,3123,57041,13,47
3000,3.772,3.388,7.613805,7.313232,0.300572,499.246,0.888916,0.04668,0.871914,0.081406,102400,51122795,3149,57106,9,47
3200,4.027,3.602,7.614986,7.342773,0.272212,503.9239,0.897979,0.047432,0.859766,0.092803,102400,51601812,3115,57250,11,49
3400,4.427,3.968,7.608977,7.315674,0.293303,444.4884,0.892588,0.040273,0.846143,0.113584,102400,45515611,3163,57137,10,52
3600,4.665,4.186,7.590747,7.252319,0.338428,468.3089,0.864336,0.042988,0.834453,0.122559,102400,47954833,3154,56649,10,54
3800,4.878,4.379,7.582506,7.235718,0.346788,521.7748,0.835674,0.049844,0.82458,0.125576,102400,53429741,3157,56595,9,55
