epoch,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,7.997125,8.000488,-0.003364,8.000488,8.003174,-0.006049,58368,0,0,0,0
5000,7.61218,7.355591,0.256589,7.500732,7.281372,0.330808,56949,0,0,0,0
10000,7.603005,7.435059,0.167947,7.533936,7.385742,0.217263,57271,11,11,11,11
15000,7.580599,7.343628,0.236971,7.46228,7.264526,0.316073,56795,8,13,8,13
20000,7.517171,7.393677,0.123495,7.480347,7.303711,0.213461,57547,6,18,6,18
25000,7.516983,7.310669,0.206314,7.422729,7.25061,0.266373,57085,7,22,7,22
30000,7.459666,7.085205,0.374461,7.248047,7.007812,0.451853,56097,12,30,12,30
35000,7.463326,7.190552,0.272774,7.345337,7.13208,0.331246,56924,12,34,12,34
40000,7.442894,7.312378,0.130516,7.412231,7.257812,0.185082,57531,9,36,9,36
45000,7.635622,7.545166,0.090456,7.630981,7.490356,0.145266,57721,3,37,3,37
50000,7.663539,7.407593,0.255947,7.53772,7.341064,0.322475,56879,6,39,6,39
55000,7.5139,7.42334,0.09056,7.528687,7.393799,0.120101,57796,5,40,5,40
60000,7.504621,7.233154,0.271467,7.349731,7.179199,0.325422,56578,8,43,8,43
65000,7.357138,7.094238,0.262899,7.212646,7.027832,0.329305,56663,19,49,19,49
70000,7.428209,7.25354,0.174669,7.402588,7.210083,0.218126,57526,13,53,13,53
75000,7.53519,7.3479,0.18729,7.452881,7.249146,0.286045,57349,10,57,10,57
80000,7.495226,7.325684,0.169543,7.437012,7.296997,0.198229,57376,10,60,10,60
85000,7.634953,7.459473,0.17548,7.5802,7.375244,0.259709,57348,9,63,9,63
90000,7.497029,7.355225,0.141804,7.435425,7.271973,0.225056,57357,15,68,15,68
95000,7.545969,7.377686,0.168284,7.468384,7.290039,0.25593,57218,13,69,13,69
100000,7.400728,7.086914,0.313814,7.241577,7.012207,0.388521,56718,13,70,13,70
105000,7.383447,6.964111,0.419336,7.11377,6.881348,0.5021,55721,13,74,13,74
110000,7.541201,7.312256,0.228945,7.44751,7.243042,0.298159,57112,9,77,9,77
115000,7.450003,7.120239,0.329763,7.266357,7.034546,0.415457,56298,12,81,12,81
120000,7.365696,7.005127,0.360569,7.156128,6.935669,0.430027,56022,17,86,17,86
125000,7.537628,7.273926,0.263702,7.383789,7.225098,0.31253,56560,16,91,16,91
130000,7.524444,7.261475,0.26297,7.383667,7.176392,0.348053,56793,14,94,14,94
135000,7.551155,7.310303,0.240852,7.434814,7.258545,0.29261,56921,10,95,10,95
140000,7.573041,7.396606,0.176435,7.505981,7.346191,0.22685,57316,10,99,10,99
145000,7.565108,7.370361,0.194747,7.485352,7.322632,0.242477,57307,7,100,7,100
150000,7.695359,7.510864,0.184495,7.628418,7.466431,0.228929,57143,10,101,10,101
155000,7.605444,7.286255,0.319189,7.460815,7.217529,0.387915,56724,10,102,10,102
160000,7.536356,7.166138,0.370218,7.31311,7.106445,0.42991,56254,20,108,20,108
165000,7.47895,7.217407,0.261543,7.361572,7.131836,0.347114,56742,13,109,13,109
170000,7.494411,7.273682,0.22073,7.383301,7.206665,0.287746,57034,11,110,11,110
175000,7.429219,7.130615,0.298604,7.271118,7.067505,0.361714,56587,10,112,10,112
180000,7.25231,7.104492,0.147818,7.20752,7.023804,0.228506,57286,15,116,15,116
185000,7.391206,7.008179,0.383027,7.1698,6.942261,0.448945,56098,14,117,14,117
190000,7.422595,7.02417,0.398425,7.197266,6.938477,0.484119,56335,17,119,17,119
195000,7.212779,7.005859,0.206919,7.133057,7.009033,0.203745,57018,12,120,12,120
200000,7.490289,7.087891,0.402398,7.258301,7.024048,0.466241,56148,13,121,13,121
