epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
0,1.48,0.0,7.999912,8.002464,-0.002552,0.0,0.0,0.0,0.0,0.0,0,0,0,1867776,0,0
200,8.008,5.585,7.997156,7.707355,0.2898,556.6969,0.499523,0.054445,0.605507,0.340047,3276800,1824184255,100620,1795699,0,0
400,14.495,10.981,7.988817,7.567741,0.421076,537.8047,0.486604,0.053296,0.597698,0.349006,3276800,1762278491,99863,1774894,0,0
600,21.118,16.461,7.975704,7.465282,0.510422,532.4346,0.486748,0.053011,0.589685,0.357304,3276800,1744681667,100792,1764074,0,0
800,27.72,21.896,7.956913,7.392769,0.564144,528.3416,0.485764,0.052783,0.589778,0.357439,3276800,1731269894,101082,1762360,0,0
1000,34.386,27.451,7.936516,7.348282,0.588234,528.1568,0.496799,0.052869,0.5952,0.351931,3276800,1730664192,100802,1764806,308,308
1200,40.988,33.235,7.913666,7.34481,0.568856,536.8301,0.509274,0.053976,0.602584,0.34344,3276800,1759085025,100611,1772694,297,316
1400,47.669,39.144,7.889174,7.309113,0.580062,545.1813,0.525715,0.054921,0.614977,0.330103,3276800,1786450008,100766,1771454,286,324
1600,54.628,45.112,7.862944,7.286434,0.576509,558.9388,0.550135,0.056378,0.635136,0.308485,3276800,1831530525,100691,1771773,289,334
1800,61.566,51.158,7.83077,7.241768,0.589002,576.6263,0.590353,0.058064,0.669748,0.272188,3276800,1889488996,100420,1769116,295,345
2000,68.619,57.422,7.800748,7.222645,0.578104,583.8116,0.635671,0.058506,0.706514,0.23498,3276800,1913033962,101234,1775243,311,366
2200,76.002,63.831,7.76941,7.225189,0.544221,586.9003,0.681127,0.058516,0.741782,0.199703,3276800,1923155007,100368,1783679,315,380
2400,83.213,70.263,7.734575,7.21595,0.518625,595.2673,0.713827,0.059283,0.766584,0.174133,3276800,1950571865,100527,1787715,317,386
2600,90.577,76.868,7.710827,7.227699,0.483128,602.0016,0.751437,0.059748,0.79813,0.142122,3276800,1972638981,100689,1795260,317,390
2800,98.445,83.713,7.685232,7.245682,0.43955,615.9937,0.773328,0.06121,0.820338,0.118452,3276800,2018488296,100470,1803292,311,399
3000,106.462,90.759,7.674309,7.276348,0.397961,620.0664,0.791552,0.061565,0.834485,0.10395,3276800,2031833458,100627,1810822,312,404
3200,114.453,97.857,7.669412,7.291512,0.377901,624.6096,0.802466,0.062056,0.840602,0.097342,3276800,2046720769,100865,1813446,301,406
3400,122.358,104.917,7.662147,7.299477,0.36267,622.6368,0.807441,0.061773,0.842894,0.095334,3276800,2040256263,100471,1815198,303,408
3600,130.391,112.055,7.648498,7.308903,0.339595,631.1937,0.81122,0.062782,0.842482,0.094736,3276800,2068295623,100576,1818210,300,411
3800,138.645,119.217,7.639884,7.322868,0.317016,650.0823,0.814329,0.065134,0.842249,0.092617,3276800,2130189805,100364,1821176,295,412
4000,146.708,126.384,7.625571,7.319893,0.305678,666.3104,0.812969,0.067176,0.837873,0.094951,3276800,2183365794,100343,1821476,293,416
4200,155.088,133.712,7.618589,7.325947,0.292642,685.1082,0.810499,0.069466,0.837178,0.093356,3276800,2244962451,100461,1822685,284,416
4400,163.586,141.202,7.607837,7.325054,0.282783,698.4467,0.820337,0.071078,0.840204,0.088718,3276800,2288670246,101119,1823286,282,418
4600,171.975,148.695,7.604764,7.336624,0.26814,703.1332,0.822598,0.071593,0.843311,0.085096,3276800,2304026989,100480,1826072,280,418
4800,180.322,156.125,7.600526,7.339348,0.261178,705.5232,0.816344,0.07195,0.837949,0.090101,3276800,2311858329,100644,1826270,280,418
5000,189.136,163.753,7.599939,7.328865,0.271073,717.1832,0.820451,0.073417,0.835759,0.090824,3276800,2350066035,100393,1823389,272,420
5200,197.915,171.395,7.587925,7.328716,0.259209,709.5616,0.823713,0.072525,0.835062,0.092413,3276800,2325091482,100450,1824753,264,420
5400,206.859,179.136,7.57726,7.319782,0.257478,707.9969,0.829647,0.072361,0.836423,0.091216,3276800,2319964208,100352,1824386,265,421
5600,215.554,186.651,7.575384,7.317543,0.257841,706.4192,0.834189,0.072158,0.836807,0.091035,3276800,2314794501,100697,1823773,267,421
5800,224.327,194.277,7.56611,7.305927,0.260183,715.2541,0.835983,0.073287,0.829444,0.09727,3276800,2343744523,100373,1823511,273,423
6000,233.306,202.079,7.555117,7.295662,0.259455,708.7891,0.84599,0.072422,0.833617,0.093961,3276800,2322560138,100945,1823255,278,423
6200,242.16,209.717,7.548934,7.288773,0.260162,708.8497,0.849368,0.072419,0.835086,0.092495,3276800,2322758537,100628,1823166,274,423
6400,250.903,217.392,7.548245,7.287472,0.260773,713.3628,0.853345,0.073031,0.833195,0.093773,3276800,2337547210,101153,1822779,279,423
6600,259.676,225.056,7.546213,7.282776,0.263437,709.9768,0.859593,0.07262,0.835081,0.0923,3276800,2326452045,100709,1821959,280,426
6800,268.625,232.865,7.545295,7.290329,0.254966,708.2177,0.861901,0.072427,0.836942,0.09063,3276800,2320687783,100678,1823913,285,426
7000,277.281,240.377,7.547709,7.290123,0.257586,695.4128,0.862738,0.070836,0.836393,0.092771,3276800,2278728509,100360,1823015,284,426
7200,286.015,247.934,7.546469,7.288898,0.257571,687.6938,0.865164,0.06988,0.835596,0.094524,3276800,2253435019,100591,1822862,275,426
7400,294.988,255.791,7.548788,7.285206,0.263583,693.7982,0.863687,0.070715,0.828452,0.100832,3276800,2273437778,100980,1821626,278,427
7600,303.508,263.178,7.541284,7.265324,0.275961,685.3739,0.864104,0.069748,0.823708,0.106544,3276800,2245833116,100395,1818331,277,429
7800,312.146,270.662,7.538925,7.261387,0.277538,687.4419,0.864618,0.070042,0.822862,0.107096,3276800,2252609474,100633,1818004,275,429
8000,320.736,278.135,7.541225,7.260349,0.280876,679.2933,0.860461,0.069148,0.816395,0.114457,3276800,2225908219,100489,1818481,282,430
8200,329.293,285.45,7.545551,7.255142,0.290408,667.3276,0.857117,0.067716,0.810859,0.121425,3276800,2186698956,100365,1816638,293,430
8400,337.826,292.779,7.549354,7.249611,0.299743,666.8351,0.854576,0.067668,0.809053,0.123279,3276800,2185085305,100677,1815132,292,431
8600,346.613,300.338,7.546656,7.241932,0.304724,665.2609,0.851174,0.067427,0.80585,0.126722,3276800,2179926881,100941,1814667,286,431
8800,355.23,307.713,7.538487,7.23317,0.305318,670.5562,0.849573,0.068054,0.808744,0.123202,3276800,2197278618,100550,1814176,289,431
9000,363.983,315.228,7.536005,7.224293,0.311712,676.0034,0.850754,0.068712,0.810803,0.120485,3276800,2215127955,100510,1813014,284,431
9200,372.654,322.573,7.52927,7.215088,0.314182,674.7466,0.851512,0.068538,0.814988,0.116474,3276800,2211009611,100959,1813082,283,431
9400,381.331,330.062,7.525298,7.215248,0.31005,674.3537,0.852029,0.068481,0.812953,0.118567,3276800,2209722363,100999,1813099,286,431
9600,389.936,337.414,7.5258,7.210423,0.315377,664.5911,0.848466,0.067364,0.806631,0.126005,3276800,2177732193,100990,1810965,285,431
9800,398.483,344.794,7.521961,7.206306,0.315655,658.1617,0.849493,0.066533,0.808214,0.125253,3276800,2156664122,100719,1810331,291,432
10000,407.104,352.096,7.527221,7.196072,0.331149,651.9061,0.84775,0.065818,0.804933,0.129248,3276800,2136165916,100386,1807770,295,433
10200,415.449,359.242,7.528784,7.178547,0.350237,641.2011,0.845631,0.064499,0.805703,0.129797,3276800,2101087675,100566,1804967,296,438
10400,423.805,366.364,7.534478,7.194702,0.339776,639.7844,0.845456,0.064353,0.804864,0.130783,3276800,2096445557,100371,1809329,301,439
10600,431.943,373.351,7.538134,7.192207,0.345927,635.9997,0.843677,0.063943,0.804962,0.131094,3276800,2084043905,100910,1809670,300,439
10800,440.275,380.564,7.534814,7.188061,0.346754,633.848,0.842014,0.063687,0.806727,0.129586,3276800,2076992992,100295,1810445,302,439
11000,448.517,387.639,7.526908,7.183475,0.343432,633.0817,0.847915,0.063506,0.815173,0.121322,3276800,2074481987,100078,1811081,299,439
11200,456.882,394.882,7.524591,7.197021,0.32757,636.8009,0.852815,0.063909,0.822878,0.113214,3276800,2086669216,100530,1814283,305,441
11400,465.211,401.994,7.520461,7.203056,0.317405,638.7181,0.851642,0.064149,0.82262,0.113231,3276800,2092951337,100612,1815746,300,441
11600,473.631,409.261,7.511774,7.204464,0.30731,646.0539,0.85224,0.065057,0.821627,0.113316,3276800,2116989546,100556,1816324,303,443
11800,481.868,416.453,7.520153,7.214382,0.305771,648.0006,0.855255,0.065312,0.820632,0.114056,3276800,2123368257,100466,1816184,300,443
12000,490.168,423.726,7.518779,7.212883,0.305896,640.1912,0.857859,0.064275,0.81975,0.115975,3276800,2097778376,101545,1816027,295,443
12200,498.615,430.985,7.518121,7.223705,0.294415,620.3641,0.858349,0.061874,0.821875,0.11625,3276800,2032809147,100414,1819007,294,443
12400,506.83,438.123,7.516554,7.228142,0.288413,630.7987,0.850469,0.063267,0.812183,0.12455,3276800,2067001252,100820,1818834,290,443
12600,515.2,445.318,7.52012,7.228218,0.291902,626.8072,0.848654,0.062766,0.812773,0.12446,3276800,2053921890,100366,1817587,291,445
12800,523.365,452.494,7.517158,7.217075,0.300082,635.8344,0.85022,0.063884,0.810562,0.125554,3276800,2083502225,100006,1814992,292,445
13000,531.673,459.684,7.518185,7.210796,0.307388,636.7796,0.851852,0.063978,0.812366,0.123656,3276800,2086599277,100717,1814107,298,451
13200,539.966,466.893,7.51444,7.205536,0.308905,629.2328,0.857852,0.062947,0.818987,0.118066,3276800,2061870018,100246,1814014,294,451
13400,548.384,474.166,7.513233,7.204655,0.308579,637.0362,0.857156,0.063894,0.819358,0.116748,3276800,2087440083,100402,1815054,294,451
13600,556.499,481.209,7.511106,7.207981,0.303124,622.0524,0.858817,0.062088,0.82125,0.116662,3276800,2038341466,100617,1816045,294,452
13800,565.027,488.629,7.516598,7.208076,0.308522,618.5692,0.858132,0.061648,0.817412,0.12094,3276800,2026927546,100688,1814834,293,452
14000,573.256,495.783,7.51162,7.19524,0.31638,629.4952,0.856508,0.063002,0.814379,0.122619,3276800,2062729993,100844,1812592,297,452
14200,581.544,502.978,7.509375,7.192734,0.316641,629.2944,0.85613,0.063022,0.81414,0.122838,3276800,2062071988,100976,1812677,296,453
14400,589.892,510.131,7.51031,7.190655,0.319655,624.0445,0.856849,0.062361,0.813145,0.124494,3276800,2044868959,100831,1812370,302,455
14600,598.287,517.422,7.508883,7.184689,0.324194,631.0008,0.858571,0.063146,0.815188,0.121667,3276800,2067663548,100341,1812156,295,455
