# epoch 0  H=7.9999 C=8.0025 HO=-0.0026  A(t)=0
         1  ....n....._t..^y  fffffafa6edabbc48daa5f74b5c75e79
         1  ......p......e..  fffff08b1aaa700904ac1defbd65d1a3
         1  ...w./0.&M."..n.  ffffed77822f30d8264df02294db6ede
         1  .......W~....:.+  ffffecc70fb8dd577ea5c1fb183ac62b
         1  .....8I.o.+".Q.S  ffffdb0aa63849ee6feb2b22de51e753
         1  ...E....N}W..^.l  ffffd445c47f9af54e7d5719f75efb6c
         1  ...3..)T#.c.^...  ffffd133e7e92954238563a35eeeabc4
         1  ...}...M/..G@.i.  ffffbc7dd6b2c34d2fa2a74740e269a6
         1  ...m..VU....g.w.  ffffaa6d91a25655d3a90fb9671577f1
         1  ...CU....."...(.  ffffa943551dcdc402ac22a1e29828e0
# epoch 200  H=7.9966 C=7.6684 HO=0.3282  A(t)=0
       868  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       806  ................  ffffffffffffffffffffffffffffffff
       805  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       692  ................  01010101010101010101010101010101
       670  ................  02020202020202020202020202020202
       635  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       570  ................  fefefefefefefefefefefefefefefefe
       570  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
       490  ................  99999999999999999999999999999999
       487  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
# epoch 400  H=7.9882 C=7.5150 HO=0.4732  A(t)=0
      1263  ................  ffffffffffffffffffffffffffffffff
      1237  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1073  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       963  ................  01010101010101010101010101010101
       817  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       654  ................  13131313131313131313131313131313
       618  ................  03030303030303030303030303030303
       617  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       584  ................  fefefefefefefefefefefefefefefefe
       581  ................  02020202020202020202020202020202
# epoch 600  H=7.9747 C=7.4543 HO=0.5204  A(t)=0
      1688  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1600  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1022  ................  ffffffffffffffffffffffffffffffff
       852  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       831  ................  01010101010101010101010101010101
       737  ................  fefefefefefefefefefefefefefefefe
       715  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       691  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       610  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       575  ................  02020202020202020202020202020202
# epoch 800  H=7.9571 C=7.4005 HO=0.5566  A(t)=0
      1575  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1381  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1295  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
      1168  ................  ffffffffffffffffffffffffffffffff
      1143  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       789  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       570  ................  01010101010101010101010101010101
       552  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       505  ................  fefefefefefefefefefefefefefefefe
       490  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 1000  H=7.9372 C=7.3730 HO=0.5642  A(t)=291
      1696  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1412  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1034  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       831  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       708  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       695  ................  ffffffffffffffffffffffffffffffff
       652  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       568  ................  01010101010101010101010101010101
       500  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
       468  ................  02020202020202020202020202020202
# epoch 1200  H=7.9156 C=7.3649 HO=0.5507  A(t)=303
      2402  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1514  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       919  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       866  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       613  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       551  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       469  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       439  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       423  ................  ffffffffffffffffffffffffffffffff
       413  ................  09090909090909090909090909090909
# epoch 1400  H=7.8926 C=7.3707 HO=0.5220  A(t)=314
      2519  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1396  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1104  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
      1053  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
      1037  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       716  ................  fefefefefefefefefefefefefefefefe
       513  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       379  8888888888888888  38383838383838383838383838383838
       359  ................  ffffffffffffffffffffffffffffffff
       337  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 1600  H=7.8724 C=7.3668 HO=0.5056  A(t)=328
      2169  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1235  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       894  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       852  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       811  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       742  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       558  ................  fefefefefefefefefefefefefefefefe
       458  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       429  ................  ffffffffffffffffffffffffffffffff
       421  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
# epoch 1800  H=7.8529 C=7.3724 HO=0.4805  A(t)=335
      1834  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1479  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       796  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       750  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       605  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       604  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       360  ................  02020202020202020202020202020202
       326  8888888888888888  38383838383838383838383838383838
       301  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
       288  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
# epoch 2000  H=7.8294 C=7.3367 HO=0.4927  A(t)=340
      1864  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1470  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1116  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
      1051  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       614  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       497  9999999999999999  39393939393939393939393939393939
       484  8888888888888888  38383838383838383838383838383838
       384  7777777777777777  37373737373737373737373737373737
       364  ................  03030303030303030303030303030303
       359  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 2200  H=7.8012 C=7.3012 HO=0.4999  A(t)=350
      2078  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1616  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1087  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
      1072  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       822  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       747  ................  01010101010101010101010101010101
       422  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       410  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       387  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       356  ................  ffffffffffffffffffffffffffffffff
# epoch 2400  H=7.7700 C=7.2654 HO=0.5047  A(t)=353
      2211  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1475  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1184  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       933  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       833  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       725  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       536  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       525  ................  01010101010101010101010101010101
       480  9999999999999999  39393939393939393939393939393939
       448  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 2600  H=7.7413 C=7.2721 HO=0.4692  A(t)=357
      2046  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1483  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       826  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       808  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       608  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       544  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       481  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       448  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       430  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       346  9999999999999999  39393939393939393939393939393939
# epoch 2800  H=7.7184 C=7.2820 HO=0.4364  A(t)=363
      2043  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       867  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       770  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
