# epoch 0  H=7.9999 C=8.0025 HO=-0.0025  A(t)=0
         1  ...N??H^...!k8..  fffffd4e3f3f485ee193a6216b38febd
         1  .....c.[7..$..._  fffff4b3d563de5b370df3248513ca5f
         1  ........].or..R.  ffffee8a0fe2e5905d146f72960a52d9
         1  .........1.[....  ffffe9910185b3aac631805bd3811707
         1  .....z"f.w.j.F.|  ffffca99f27a2266fb77d06ad6462e7c
         1  ...?..."..J.I..S  ffffc63ff2950922e4114a1649971953
         1  ...8....V....L.j  ffff9e38a2f9028c568f04fc9e4c8c6a
         1  ....e.......aB..  ffff99c465cebccfde02acf26142eb0a
         1  ........:c......  ffff8dc29f19acda3a630b8811809de9
         1  ....}zNZa....4..  ffff8acd7d7a4e5a611ffdf8f03407ab
# epoch 200  H=7.9969 C=7.6844 HO=0.3125  A(t)=0
      1222  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       638  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       553  ................  05050505050505050505050505050505
       547  ................  01010101010101010101010101010101
       537  ................  ffffffffffffffffffffffffffffffff
       526  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       517  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
       463  ................  02020202020202020202020202020202
       451  ................  06060606060606060606060606060606
       446  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
# epoch 400  H=7.9892 C=7.5348 HO=0.4544  A(t)=0
      2290  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1010  ................  fefefefefefefefefefefefefefefefe
       972  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       708  ................  02020202020202020202020202020202
       673  ................  edededededededededededededededed
       653  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       610  ................  01010101010101010101010101010101
       592  ................  ffffffffffffffffffffffffffffffff
       558  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       503  ................  cacacacacacacacacacacacacacacaca
# epoch 600  H=7.9770 C=7.4508 HO=0.5262  A(t)=0
      2165  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1287  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       768  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       719  ................  ffffffffffffffffffffffffffffffff
       697  ................  01010101010101010101010101010101
       691  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       644  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       580  ................  02020202020202020202020202020202
       560  ................  edededededededededededededededed
       537  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 800  H=7.9628 C=7.4127 HO=0.5502  A(t)=0
      2626  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       975  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       857  ................  ffffffffffffffffffffffffffffffff
       754  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       598  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       529  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       518  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       459  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       441  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
       416  ................  01010101010101010101010101010101
# epoch 1000  H=7.9438 C=7.3693 HO=0.5745  A(t)=261
      2183  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1428  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1110  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
      1007  ................  ffffffffffffffffffffffffffffffff
       873  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       839  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       597  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       530  ................  acacacacacacacacacacacacacacacac
       508  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
       494  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 1200  H=7.9237 C=7.3380 HO=0.5857  A(t)=271
      2084  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1950  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1123  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       784  ................  ffffffffffffffffffffffffffffffff
       740  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       709  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       495  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       480  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       479  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       478  ................  01010101010101010101010101010101
# epoch 1400  H=7.9026 C=7.3247 HO=0.5778  A(t)=283
      1936  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1879  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       756  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       555  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       553  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       490  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       453  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       444  ................  02020202020202020202020202020202
       440  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       407  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
# epoch 1600  H=7.8764 C=7.2960 HO=0.5804  A(t)=289
      2463  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      2202  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1177  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       730  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       626  ................  01010101010101010101010101010101
       580  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       578  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       559  ................  03030303030303030303030303030303
       554  ................  ffffffffffffffffffffffffffffffff
       495  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
# epoch 1800  H=7.8500 C=7.2854 HO=0.5646  A(t)=294
      2108  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1905  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1062  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       912  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
