# epoch 0  H=7.9996 C=8.0025 HO=-0.0029  A(t)=0
         1  ...Cw.n;..o.h.U.  ffffcd4377fc6e3bb8fe6faf680d55f4
         1  ......X....).h..  ffffa6e2afa758c1fdbc8e29d3681112
         1  .......+.....O..  ffffa686b2b6862b97a6c8c3c04f9913
         1  ......i...o.....  ffff039beada69d1eda46f9d17f6c889
         1  ...&.X4H..wz.1<D  fffedd26e4583448c38e777aaa313c44
         1  .......d..@..8$.  fffedbeed4d61064bdd3401af4382417
         1  ......y..){...?+  fffebbb10df779abb7297bbabbe93f2b
         1  ...u..|w.].i`...  fffe8a7501bd7c77de5d196960bb8eba
         1  .....!q.)%...:.\  fffe87cbae2171ad2925d0e11e3abb5c
         1  ..q............T  fffe7106a09eb3a31dce8b19b6f9ce54
# epoch 20  H=7.9994 C=7.9669 HO=0.0325  A(t)=0
       117  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
        68  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        63  ................  f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3
        59  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
        54  ................  abababababababababababababababab
        50  ................  b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4
        48  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        48  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        47  ................  80808080808080808080808080808080
        47  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 40  H=7.9991 C=7.9311 HO=0.0681  A(t)=0
       139  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       104  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
       104  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        93  ................  dfdfdfdfdfdfdfdfdfdfdfdfdfdfdfdf
        78  ................  9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b
        78  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        72  MMMMMMMMMMMMMMMM  4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d
        66  ................  ffffffffffffffffffffffffffffffff
        65  ________________  20202020202020202020202020202020
        65  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
# epoch 60  H=7.9988 C=7.8938 HO=0.1050  A(t)=0
       170  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       143  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       104  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
        91  ................  dfdfdfdfdfdfdfdfdfdfdfdfdfdfdfdf
        89  ................  a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
        87  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        87  ________________  20202020202020202020202020202020
        85  ................  ffffffffffffffffffffffffffffffff
        77  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        76  ................  b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4
# epoch 80  H=7.9986 C=7.8683 HO=0.1302  A(t)=0
       184  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
       160  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       105  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        94  FFFFFFFFFFFFFFFF  46464646464646464646464646464646
        94  ................  16161616161616161616161616161616
        90  ................  dfdfdfdfdfdfdfdfdfdfdfdfdfdfdfdf
        87  ................  dededededededededededededededede
        87  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
