# epoch 0  H=7.9996 C=8.0025 HO=-0.0030  A(t)=0
         1  ......p......e..  fffff08b1aaa700904ac1defbd65d1a3
         1  .......W~....:.+  ffffecc70fb8dd577ea5c1fb183ac62b
         1  ...E....N}W..^.l  ffffd445c47f9af54e7d5719f75efb6c
         1  ...}...M/..G@.i.  ffffbc7dd6b2c34d2fa2a74740e269a6
         1  ..X..!=...&.l5c`  ffff58d1c5213dded4a326ee6c356360
         1  ..,....F......7.  ffff2cb7bdc6fa467f14021ea1d637d9
         1  ..$.f...sh..xz..  ffff24a4660cb68b736806b8787ad8fe
         1  ....Y.[).*..:xN.  fffed81f59955b29ef2ac01f3a784e0c
         1  ....X........w..  fffecfcf5811a518a39feca2ab77f0d0
         1  .....!$.....w4..  fffeceabc42124b1187fdc077734aade
# epoch 20  H=7.9994 C=7.9485 HO=0.0509  A(t)=0
       146  ................  87878787878787878787878787878787
       102  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        98  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        88  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        71  ................  b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9
        69  1111111111111111  31313131313131313131313131313131
        65  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        62  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
        62  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        53  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 40  H=7.9991 C=7.8983 HO=0.1008  A(t)=0
       178  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       172  ................  87878787878787878787878787878787
       131  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
       120  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       114  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
       111  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        97  1111111111111111  31313131313131313131313131313131
        96  ................  02020202020202020202020202020202
        89  """"""""""""""""  22222222222222222222222222222222
        87  ................  ffffffffffffffffffffffffffffffff
# epoch 60  H=7.9988 C=7.8597 HO=0.1391  A(t)=0
       194  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       190  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       183  1111111111111111  31313131313131313131313131313131
       162  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
       144  ................  87878787878787878787878787878787
       126  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
       118  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
       118  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       112  ................  ffffffffffffffffffffffffffffffff
        98  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 80  H=7.9985 C=7.8309 HO=0.1676  A(t)=0
       259  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       209  1111111111111111  31313131313131313131313131313131
       185  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       173  9999999999999999  39393939393939393939393939393939
       162  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
       159  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       145  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       145  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
       144  ................  87878787878787878787878787878787
       127  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 100  H=7.9979 C=7.7961 HO=0.2018  A(t)=89
       309  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
       258  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
       246  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       244  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       175  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       168  1111111111111111  31313131313131313131313131313131
       154  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
       145  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
