epoch,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,7.99958,8.000076,-0.000497,8.000076,8.002533,-0.002953,466944,0,0,0,0
500,7.979648,7.550644,0.429004,7.654236,7.528015,0.451633,444523,0,0,0,0
1000,7.936822,7.424088,0.512735,7.586746,7.385086,0.551736,444395,0,0,0,0
1500,7.865578,7.345612,0.519967,7.554977,7.299149,0.56643,445755,171,171,171,171
2000,7.783731,7.289581,0.49415,7.495132,7.226532,0.557199,446620,158,185,158,185
2500,7.722847,7.290543,0.432305,7.487991,7.223862,0.498986,449769,146,199,146,199
3000,7.702619,7.348953,0.353666,7.526123,7.271759,0.43086,453290,156,226,156,226
3500,7.663232,7.348343,0.314889,7.505203,7.266312,0.39692,453436,148,237,148,237
4000,7.645801,7.364471,0.28133,7.515503,7.295639,0.350162,455347,128,240,128,240
4500,7.601781,7.396301,0.20548,7.524048,7.328125,0.273656,457829,112,242,112,242
5000,7.588257,7.40683,0.181427,7.518692,7.342209,0.246048,458166,96,245,96,245
5500,7.580651,7.419449,0.161202,7.519226,7.362946,0.217705,458814,86,246,86,246
6000,7.566509,7.411682,0.154827,7.510513,7.359756,0.206752,458920,93,248,93,248
6500,7.544941,7.375046,0.169896,7.473526,7.330643,0.214299,457695,92,249,92,249
7000,7.52389,7.349945,0.173945,7.448181,7.305893,0.217997,457920,85,251,85,251
7500,7.490922,7.32196,0.168962,7.419006,7.281647,0.209276,458188,85,253,85,253
8000,7.480087,7.282211,0.197875,7.393402,7.246323,0.233764,456658,75,254,75,254
8500,7.492293,7.27066,0.221633,7.393875,7.229691,0.262603,456109,92,257,92,257
9000,7.469656,7.239456,0.2302,7.36113,7.205643,0.264014,455283,94,257,94,257
9500,7.485042,7.262375,0.222667,7.383011,7.220001,0.26504,456098,111,258,111,258
10000,7.48847,7.274765,0.213705,7.398285,7.237839,0.250631,456888,108,258,108,258
10500,7.481516,7.230499,0.251017,7.347717,7.185257,0.29626,454433,101,258,101,258
11000,7.477399,7.221542,0.255857,7.348984,7.179871,0.297529,455014,102,260,102,260
11500,7.473154,7.216415,0.256738,7.34404,7.170105,0.303049,454877,105,260,105,260
12000,7.479397,7.226227,0.25317,7.35318,7.175812,0.303585,455013,113,266,113,266
12500,7.483384,7.184952,0.298433,7.31662,7.137909,0.345476,452228,112,267,112,267
13000,7.501004,7.183044,0.317959,7.330795,7.134232,0.366772,452748,119,269,119,269
13500,7.51018,7.203705,0.306475,7.350967,7.153549,0.356631,453586,115,269,115,269
14000,7.512263,7.261444,0.250819,7.397644,7.208237,0.304026,455637,126,269,126,269
14500,7.499411,7.201309,0.298102,7.342987,7.153214,0.346198,452679,121,270,121,270
15000,7.511498,7.223236,0.288262,7.370422,7.171631,0.339867,454000,123,270,123,270
15500,7.499333,7.236771,0.262562,7.376266,7.187378,0.311955,455191,124,273,124,273
16000,7.507439,7.282837,0.224602,7.4048,7.226624,0.280816,456241,112,273,112,273
16500,7.517439,7.277954,0.239485,7.396194,7.226913,0.290526,455192,103,274,103,274
17000,7.525244,7.242157,0.283087,7.372238,7.183792,0.341452,453243,97,274,97,274
17500,7.514382,7.208679,0.305702,7.34729,7.15332,0.361061,452525,114,274,114,274
18000,7.498869,7.196457,0.302412,7.334305,7.144531,0.354338,453139,124,276,124,276
18500,7.511127,7.22554,0.285587,7.363983,7.169373,0.341754,453477,121,276,121,276
19000,7.511419,7.253769,0.25765,7.382874,7.199646,0.311773,455138,113,276,113,276
19500,7.512763,7.244812,0.267951,7.370346,7.18895,0.323813,454312,121,277,121,277
20000,7.513771,7.246231,0.26754,7.380646,7.194046,0.319725,454604,119,277,119,277
