# epoch 0  H=7.9996 C=8.0025 HO=-0.0029  A(t)=0
         1  ........].or..R.  ffffee8a0fe2e5905d146f72960a52d9
         1  .........1.[....  ffffe9910185b3aac631805bd3811707
         1  .....z"f.w.j.F.|  ffffca99f27a2266fb77d06ad6462e7c
         1  ..v.\...@-..q...  ffff768a5cf5aed0402dae0971e3c7f0
         1  ..[.v.......d...  ffff5bbd761690e0f415bd946402bdd4
         1  ..U......(".....  ffff55ec9d929f9e142822e9b2e9d4ce
         1  ...U.........J).  fffef6559899cc0b13ca140edc4a29b4
         1  ......8~..(y..$.  fffee692eff6387e09e62879ebb924eb
         1  ...N.>._...v...!  fffecb4eb13eeb20152ede76c98aeb21
         1  ...Nl.(x..<.Ae..  fffea34e6cae2878e7e43cf94165c0cd
# epoch 20  H=7.9994 C=7.9577 HO=0.0417  A(t)=0
       113  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
       105  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
        79  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        76  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
        75  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        70  ................  acacacacacacacacacacacacacacacac
        58  $$$$$$$$$$$$$$$$  24242424242424242424242424242424
        56  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        55  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        55  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
# epoch 40  H=7.9992 C=7.9039 HO=0.0953  A(t)=0
       257  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       200  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       141  ................  99999999999999999999999999999999
       128  ................  e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
       116  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       104  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
       100  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
        97  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
        90  ................  85858585858585858585858585858585
        86  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
# epoch 60  H=7.9989 C=7.8625 HO=0.1363  A(t)=0
       414  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       210  ................  99999999999999999999999999999999
       188  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       111  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
       108  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
       104  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
        98  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
        95  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
        89  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
        86  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
# epoch 80  H=7.9987 C=7.8314 HO=0.1673  A(t)=0
       421  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       224  ................  99999999999999999999999999999999
       151  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       119  ................  85858585858585858585858585858585
       111  ................  93939393939393939393939393939393
       110  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
       106  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
        95  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
        95  ................  e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
        94  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
# epoch 100  H=7.9984 C=7.7964 HO=0.2020  A(t)=80
       398  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       219  ................  99999999999999999999999999999999
       130  ................  93939393939393939393939393939393
       130  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       120  ................  ffffffffffffffffffffffffffffffff
       117  ................  8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a
       115  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       112  ................  85858585858585858585858585858585
       110  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
       106  ................  05050505050505050505050505050505
# epoch 120  H=7.9981 C=7.7706 HO=0.2275  A(t)=118
       362  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       199  ................  99999999999999999999999999999999
       195  ................  ffffffffffffffffffffffffffffffff
       168  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
       145  ................  8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a
       133  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
       128  ................  93939393939393939393939393939393
       127  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       120  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
       112  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 140  H=7.9977 C=7.7399 HO=0.2578  A(t)=147
       383  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       230  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
