epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
0,0.02,0.0,7.994881,7.967773,0.027108,0.0,0.0,0.0,0.0,0.0,0,0,0,58025,0,0
10,0.067,0.024,7.898065,6.360352,1.537713,927.8588,0.567773,0.092383,0.536719,0.370898,5120,4750637,171,46143,0,0
20,0.12,0.06,6.980743,2.10083,4.879913,2604.4777,0.723828,0.294336,0.217188,0.488477,5120,13334926,162,15247,0,0
30,0.226,0.152,6.061883,0.316772,5.745111,6827.0352,0.948438,0.828711,0.011133,0.160156,5120,34954420,151,1020,0,0
40,0.348,0.259,6.040785,0.301636,5.739149,8066.7564,0.991016,0.984375,0.0,0.015625,5120,41301793,159,817,18,18
50,0.471,0.366,6.071739,0.32251,5.749229,8101.7223,0.995508,0.988672,0.0,0.011328,5120,41480818,174,920,170,170
60,0.593,0.473,6.066976,0.357666,5.70931,8095.9627,0.995312,0.987891,0.000195,0.011914,5120,41451329,174,1078,291,291
70,0.717,0.582,6.01982,0.320923,5.698897,8113.3945,0.991992,0.990234,0.0,0.009766,5120,41540580,170,811,297,303
80,0.845,0.693,5.973077,0.313477,5.6596,8127.2344,0.996094,0.991797,0.0,0.008203,5120,41611440,137,780,295,314
90,0.973,0.804,5.895111,0.32019,5.574921,8124.1924,0.995898,0.991406,0.0,0.008594,5120,41595865,148,963,259,330
100,1.095,0.911,5.889228,0.295288,5.59394,8098.1887,0.995508,0.988086,0.000391,0.011523,5120,41462726,158,790,250,362
110,1.235,1.034,5.898193,0.308716,5.589478,8108.3961,0.994531,0.989453,0.000195,0.010352,5120,41514988,164,860,270,385
120,1.361,1.145,5.93048,0.322144,5.608336,8109.6807,0.993164,0.989648,0.000391,0.009961,5120,41521565,149,898,263,389
130,1.486,1.254,5.907813,0.304565,5.603248,8082.799,0.996094,0.986133,0.000586,0.013281,5120,41383931,166,822,259,397
140,1.613,1.366,5.840821,0.318481,5.522339,8103.8146,0.997656,0.988867,0.000195,0.010938,5120,41491531,155,919,267,405
150,1.74,1.477,5.856371,0.321899,5.534472,8126.5031,0.997461,0.991602,0.0,0.008398,5120,41607696,147,976,270,413
160,1.862,1.585,5.858467,0.309082,5.549385,8107.9619,0.995117,0.989453,0.0,0.010547,5120,41512765,142,930,251,419
170,1.986,1.693,5.831422,0.309814,5.521607,8146.9037,0.997656,0.994336,0.0,0.005664,5120,41712147,144,942,240,419
180,2.112,1.802,5.856482,0.317383,5.539099,8103.599,0.994141,0.988672,0.000195,0.011133,5120,41490427,141,948,241,429
190,2.277,1.952,5.821051,0.309326,5.511725,8073.1648,0.99375,0.984961,0.000195,0.014844,5120,41334604,171,884,273,461
200,2.399,2.058,5.87015,0.307983,5.562167,8084.0906,0.991602,0.986523,0.000195,0.013281,5120,41390544,151,899,287,499
210,2.521,2.164,5.857205,0.314819,5.542385,8074.6379,0.992188,0.985352,0.0,0.014648,5120,41342146,147,973,279,499
220,2.648,2.271,5.899874,0.334351,5.565524,8081.907,0.992578,0.986133,0.0,0.013867,5120,41379364,151,1086,285,515
230,2.818,2.425,5.875225,0.293579,5.581646,8092.9348,0.992773,0.987305,0.000391,0.012305,5120,41435826,165,873,268,533
240,2.939,2.531,5.880136,0.312866,5.56727,8078.4533,0.994336,0.985547,0.0,0.014453,5120,41361681,172,869,274,539
250,3.061,2.638,5.820917,0.296021,5.524897,8137.7014,0.994531,0.993164,0.0,0.006836,5120,41665031,149,788,278,549
260,3.184,2.746,5.856483,0.299194,5.557289,8112.0887,0.994336,0.989844,0.0,0.010156,5120,41533894,149,796,277,576
270,3.305,2.852,5.902084,0.319458,5.582626,8084.668,0.99082,0.986523,0.0,0.013477,5120,41393500,159,936,259,577
280,3.426,2.958,5.921717,0.320068,5.601649,8096.1051,0.995312,0.987891,0.000195,0.011914,5120,41452058,152,890,278,598
290,3.548,3.065,5.943402,0.326294,5.617109,8124.4418,0.998047,0.991406,0.000195,0.008398,5120,41597142,156,953,273,608
300,3.671,3.172,5.885955,0.324097,5.561859,8097.5959,0.993164,0.988086,0.0,0.011914,5120,41459691,165,952,287,624
310,3.793,3.279,5.911435,0.332642,5.578793,8115.932,0.993945,0.99043,0.0,0.00957,5120,41553572,157,960,318,647
320,3.915,3.386,5.950799,0.322266,5.628534,8101.2756,0.994336,0.988477,0.0,0.011523,5120,41478531,153,892,328,657
330,4.037,3.493,5.972319,0.34436,5.627959,8088.6172,0.994141,0.986914,0.0,0.013086,5120,41413720,162,912,346,675
340,4.163,3.602,5.932125,0.349731,5.582394,8126.6205,0.996094,0.991602,0.0,0.008398,5120,41608297,168,974,355,707
350,4.287,3.71,5.940368,0.37207,5.568298,8084.6777,0.993945,0.986328,0.000391,0.013281,5120,41393550,172,1117,346,714
360,4.409,3.817,5.919787,0.344116,5.575671,8109.0521,0.994727,0.989453,0.0,0.010547,5120,41518347,161,943,354,738
370,4.531,3.924,5.905369,0.326782,5.578587,8127.0834,0.995117,0.991797,0.0,0.008203,5120,41610667,158,854,367,764
380,4.653,4.03,5.9217,0.340088,5.581612,8109.5951,0.995898,0.989453,0.000195,0.010352,5120,41521127,144,1071,349,775
390,4.775,4.137,5.949804,0.363525,5.586279,8095.642,0.996094,0.987695,0.000391,0.011914,5120,41449687,164,1267,339,795
400,4.896,4.243,5.912108,0.334229,5.577879,8061.2496,0.991211,0.983594,0.0,0.016406,5120,41273598,151,976,302,805
