# epoch 0  H=7.9949 C=7.9678 HO=0.0271  A(t)=0
        20  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
        20  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
        20  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
        20  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
        20  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
        20  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
        20  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
        20  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
        20  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
        20  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
# epoch 10  H=7.8981 C=6.3604 HO=1.5377  A(t)=0
       135  ................  08080808080808080808080808080808
       111  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
       111  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
       110  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
       110  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
       110  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
       110  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
       109  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
       109  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
       109  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
# epoch 20  H=6.9807 C=2.1008 HO=4.8799  A(t)=0
       568  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
       567  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
       567  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
       566  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
       566  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
       564  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
       563  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
       563  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
       563  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
       561  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
# epoch 30  H=6.0619 C=0.3168 HO=5.7451  A(t)=0
      1008  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1008  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1007  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1006  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1005  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1005  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1004  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1004  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1004  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1003  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
# epoch 40  H=6.0408 C=0.3016 HO=5.7391  A(t)=18
      1011  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1011  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1011  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1009  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1009  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1009  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1008  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1008  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1007  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1007  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
# epoch 50  H=6.0717 C=0.3225 HO=5.7492  A(t)=170
      1012  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1012  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1012  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1011  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1011  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1011  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1010  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1009  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1008  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1008  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
# epoch 60  H=6.0670 C=0.3577 HO=5.7093  A(t)=291
      1014  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1013  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1012  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1012  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
      1011  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1011  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1011  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1011  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1011  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1011  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
# epoch 70  H=6.0198 C=0.3209 HO=5.6989  A(t)=303
      1031  }}}}}}]++++++++[  7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b
      1031  }}}}}]++++++++[.  7d7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e
      1031  }}}}]++++++++[.>  7d7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e
      1031  }}}]++++++++[.>}  7d7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d
      1031  }}]++++++++[.>}]  7d7d5d2b2b2b2b2b2b2b2b5b2e3e7d5d
      1030  }}}}}}}}]+++++++  7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b
      1030  }}}}}}}]++++++++  7d7d7d7d7d7d7d5d2b2b2b2b2b2b2b2b
      1030  -}}}}}}}}]++++++  2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b2b
      1029  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
      1029  .[-}}}}}}}}]++++  085b2d7d7d7d7d7d7d7d7d5d2b2b2b2b
# epoch 80  H=5.9731 C=0.3135 HO=5.6596  A(t)=314
      1057  [-}}}}}}}}]+++++  5b2d7d7d7d7d7d7d7d7d5d2b2b2b2b2b
