epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
0,0.021,0.0,7.997113,8.003174,-0.006061,0.0,0.0,0.0,0.0,0.0,0,0,0,58368,0,0
20,0.078,0.03,7.995208,7.923828,0.07138,564.7835,0.522656,0.052832,0.638184,0.308984,10240,5783383,333,57679,0,0
40,0.145,0.053,7.993928,7.848755,0.145173,546.2103,0.521387,0.050684,0.634375,0.314941,10240,5593193,310,57134,0,0
60,0.258,0.102,7.993014,7.821167,0.171847,552.3972,0.511523,0.051758,0.62334,0.324902,10240,5656547,348,56970,0,0
80,0.358,0.136,7.992694,7.81897,0.173724,547.7587,0.521582,0.052441,0.627637,0.319922,10240,5609049,307,56976,0,0
100,0.393,0.152,7.991542,7.782593,0.208949,535.7823,0.517383,0.05127,0.615918,0.332812,10240,5486411,306,56745,16,16
120,0.427,0.168,7.990312,7.75061,0.239702,499.1587,0.503809,0.047656,0.612207,0.340137,10240,5111385,313,56541,31,31
140,0.463,0.184,7.988532,7.699951,0.288581,521.8821,0.512207,0.051367,0.611719,0.336914,10240,5344073,321,56245,37,38
160,0.498,0.201,7.98552,7.652466,0.333054,528.0729,0.511816,0.05127,0.616016,0.332715,10240,5407467,289,55915,39,40
180,0.533,0.217,7.985163,7.639404,0.345759,542.1947,0.504102,0.05332,0.615918,0.330762,10240,5552074,285,55874,44,45
200,0.605,0.238,7.984207,7.628296,0.355911,569.7208,0.502832,0.057227,0.627051,0.315723,10240,5833941,322,55855,48,49
220,0.682,0.272,7.983346,7.616577,0.366769,571.1696,0.507324,0.057324,0.626562,0.316113,10240,5848777,298,55823,57,58
240,0.742,0.305,7.982349,7.590942,0.391407,566.8702,0.506836,0.056836,0.638281,0.304883,10240,5804751,337,55748,59,61
260,0.778,0.322,7.980849,7.570435,0.410415,588.1618,0.509668,0.059082,0.640625,0.300293,10240,6022777,298,55621,62,65
280,0.813,0.339,7.980637,7.561646,0.418992,570.9962,0.510449,0.057031,0.645117,0.297852,10240,5847001,311,55600,64,68
300,0.851,0.357,7.979593,7.566772,0.412821,562.388,0.512207,0.055957,0.633691,0.310352,10240,5758853,321,55701,66,70
320,0.89,0.377,7.979368,7.578003,0.401365,578.0945,0.503906,0.058301,0.634668,0.307031,10240,5919688,310,55871,72,76
340,0.926,0.395,7.979085,7.585083,0.394002,597.4354,0.49707,0.06084,0.624512,0.314648,10240,6117739,330,55975,75,79
