epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
0,0.048,0.0,7.996763,8.003174,-0.006411,0.0,0.0,0.0,0.0,0.0,0,0,0,58368,0,0
20,0.097,0.026,7.996585,7.981323,0.015262,616.8826,0.507227,0.059375,0.631836,0.308789,10240,6316878,329,58136,0,0
40,0.134,0.043,7.995902,7.959351,0.036551,605.2418,0.496289,0.058887,0.617676,0.323438,10240,6197676,301,57947,0,0
60,0.215,0.069,7.995705,7.934937,0.060769,594.1713,0.486621,0.058008,0.620801,0.321191,10240,6084314,322,57785,0,0
80,0.287,0.103,7.995296,7.910889,0.084407,613.1435,0.48418,0.06123,0.624121,0.314648,10240,6278589,335,57635,0,0
100,0.358,0.136,7.994785,7.903809,0.090977,603.1771,0.48457,0.060156,0.620215,0.319629,10240,6176533,304,57586,8,8
120,0.43,0.17,7.994113,7.882568,0.111545,641.0547,0.483789,0.064844,0.611035,0.324121,10240,6564400,328,57450,12,12
140,0.502,0.204,7.99128,7.797119,0.194161,638.5891,0.480078,0.064844,0.615723,0.319434,10240,6539152,338,56858,15,15
160,0.574,0.238,7.989102,7.766479,0.222622,616.0475,0.480371,0.062402,0.625879,0.311719,10240,6308326,308,56646,18,18
180,0.644,0.272,7.988707,7.769653,0.219054,637.2673,0.483398,0.064355,0.617969,0.317676,10240,6525617,319,56698,19,19
200,0.725,0.309,7.988703,7.76001,0.228693,609.7214,0.479297,0.061719,0.609961,0.32832,10240,6243547,310,56642,21,21
220,0.799,0.343,7.988606,7.757812,0.230794,610.913,0.477832,0.061523,0.612207,0.32627,10240,6255749,292,56631,31,31
240,0.872,0.381,7.987587,7.726929,0.260658,655.3366,0.481738,0.067383,0.614746,0.317871,10240,6710647,318,56438,33,33
260,0.95,0.42,7.987458,7.72583,0.261628,647.721,0.47334,0.066797,0.618066,0.315137,10240,6632663,299,56441,34,34
280,1.022,0.453,7.987385,7.728638,0.258747,635.8383,0.468262,0.065234,0.608496,0.32627,10240,6510984,292,56525,34,35
300,1.099,0.49,7.987149,7.732056,0.255094,650.833,0.473535,0.06748,0.599512,0.333008,10240,6664530,300,56579,34,35
