epoch,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,7.996763,8.000488,-0.003725,8.000488,8.003174,-0.006411,58368,0,0,0,0
500,7.981842,7.710815,0.271026,7.77063,7.658936,0.322906,56433,0,0,0,0
1000,7.928601,7.505493,0.423107,7.620361,7.454712,0.473889,55679,0,0,0,0
1500,7.856982,7.453857,0.403125,7.61499,7.390503,0.466479,56058,7,7,7,7
2000,7.848322,7.497437,0.350886,7.657593,7.433105,0.415217,56359,13,16,13,16
2500,7.819019,7.417969,0.40105,7.591919,7.347046,0.471973,56265,12,22,12,22
3000,7.713154,7.253174,0.45998,7.430908,7.161133,0.552021,55785,11,25,11,25
3500,7.644739,7.298096,0.346643,7.45459,7.2052,0.439539,56543,8,28,8,28
4000,7.639923,7.339233,0.30069,7.48584,7.243042,0.396881,56731,10,33,10,33
4500,7.647486,7.375366,0.27212,7.527588,7.274658,0.372828,56957,10,35,10,35
5000,7.625213,7.426514,0.198699,7.555054,7.353882,0.271331,57345,10,39,10,39
5500,7.598026,7.451294,0.146732,7.558594,7.376099,0.221927,57526,8,44,8,44
6000,7.572157,7.385986,0.18617,7.493408,7.313599,0.258558,57124,5,45,5,45
6500,7.605143,7.334473,0.27067,7.432739,7.256592,0.348551,56436,8,46,8,46
7000,7.536336,7.307251,0.229085,7.443359,7.25061,0.285726,57034,8,46,8,46
7500,7.543627,7.382935,0.160692,7.47522,7.321045,0.222582,57300,11,50,11,50
8000,7.579103,7.411743,0.16736,7.5,7.354614,0.224489,57127,9,51,9,51
8500,7.599182,7.446411,0.152771,7.549194,7.379883,0.219299,57292,8,52,8,52
9000,7.58573,7.356689,0.22904,7.468384,7.304565,0.281164,56948,6,53,6,53
9500,7.594706,7.444946,0.14976,7.552979,7.383179,0.211528,57599,9,57,9,57
10000,7.637063,7.529663,0.1074,7.623413,7.467651,0.169412,57673,5,58,5,58
10500,7.642718,7.470947,0.171771,7.583496,7.416382,0.226337,57285,8,61,8,61
11000,7.597304,7.466675,0.13063,7.568481,7.421021,0.176284,57562,5,61,5,61
11500,7.544044,7.443359,0.100684,7.531982,7.406494,0.137549,57717,7,63,7,63
12000,7.500069,7.42981,0.070259,7.498535,7.387573,0.112496,57684,4,63,4,63
12500,7.511238,7.42395,0.087288,7.483643,7.359375,0.151863,57467,6,63,6,63
13000,7.442418,7.294067,0.14835,7.395752,7.265259,0.177159,57363,9,66,9,66
13500,7.459287,7.353638,0.10565,7.450073,7.307129,0.152158,57633,7,67,7,67
14000,7.452525,7.326416,0.126109,7.429443,7.289062,0.163463,57520,6,68,6,68
14500,7.385804,7.264771,0.121033,7.349121,7.245728,0.140076,57347,8,70,8,70
15000,7.370498,7.212891,0.157607,7.29541,7.202637,0.167861,57147,8,71,8,71
15500,7.434125,7.246826,0.187299,7.357422,7.199585,0.23454,57105,8,71,8,71
16000,7.330993,7.232666,0.098327,7.30957,7.189209,0.141784,57645,9,74,9,74
16500,7.332007,7.138794,0.193213,7.254639,7.099609,0.232397,57076,8,75,8,75
17000,7.376383,7.130127,0.246256,7.24585,7.059326,0.317057,56755,8,75,8,75
17500,7.388211,7.099854,0.288357,7.223267,7.043701,0.344509,56604,12,77,12,77
18000,7.387514,7.148804,0.23871,7.284302,7.106201,0.281312,56924,14,79,14,79
18500,7.523695,7.238525,0.28517,7.388306,7.188599,0.335096,56784,13,81,13,81
19000,7.498039,7.290283,0.207756,7.432739,7.240723,0.257317,57235,10,81,10,81
19500,7.391129,7.216553,0.174576,7.323242,7.167114,0.224015,57294,10,82,10,82
20000,7.392271,7.219971,0.172301,7.345459,7.150024,0.242247,57292,8,84,8,84
