epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,0.021,0.0,7.997125,8.000488,-0.003364,8.000488,8.003174,-0.006049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,58368,0,0,0,0
20,0.073,0.032,7.995832,8.000488,-0.004657,7.963135,7.955444,0.040387,565.2263,0.52207,0.819551,47.4532,0.05293,0.641797,0.305273,10240,5787917,333,57938,0,0,0,0
40,0.116,0.055,7.994476,7.887939,0.106537,7.901123,7.878418,0.116058,546.0102,0.52041,0.814967,54.1717,0.050586,0.636328,0.313086,10240,5591144,310,57363,0,0,0,0
60,0.159,0.078,7.992994,7.862793,0.130201,7.882324,7.842529,0.150464,543.0887,0.510059,0.816665,64.4413,0.050488,0.625586,0.323926,10240,5561228,348,57125,0,0,0,0
80,0.202,0.101,7.992606,7.852783,0.139823,7.862671,7.833984,0.158622,537.0165,0.516699,0.815056,64.675,0.051172,0.627637,0.321191,10240,5499049,307,57085,0,0,0,0
100,0.246,0.123,7.991413,7.814331,0.177082,7.832397,7.794678,0.196735,529.6446,0.513672,0.815189,61.3693,0.050684,0.615332,0.333984,10240,5423561,306,56831,0,0,0,0
120,0.289,0.145,7.990159,7.796143,0.194017,7.814575,7.769043,0.221116,489.642,0.503809,0.802031,63.7027,0.04668,0.613477,0.339844,10240,5013934,313,56682,0,0,0,0
140,0.333,0.169,7.988925,7.757568,0.231356,7.783691,7.731445,0.257479,530.786,0.506836,0.818089,67.1598,0.052539,0.615234,0.332227,10240,5435249,321,56494,0,0,0,0
160,0.385,0.191,7.98493,7.689941,0.294989,7.728149,7.663818,0.321112,520.8563,0.50791,0.815094,60.3094,0.050488,0.616211,0.333301,10240,5333569,289,56002,0,0,0,0
180,0.429,0.213,7.983906,7.688232,0.295674,7.72168,7.658447,0.325459,528.4555,0.505371,0.81669,61.3689,0.05166,0.621582,0.326758,10240,5411384,285,56003,0,0,0,0
200,0.472,0.236,7.983445,7.678467,0.304978,7.720215,7.643433,0.340012,542.0509,0.496484,0.820129,65.9641,0.054004,0.62959,0.316406,10240,5550601,322,55983,0,0,0,0
