# epoch 0  H=7.9968 C=8.0032 HO=-0.0037  A(t)=0
         1  ..[.v.......d...  ffff5bbd761690e0f415bd946402bdd4
         1  ..;M.W...Q..b#9.  fffd3b4d9857bcf81251daaf62233989
         1  ...:.M+..:*w.TF.  fff9833ac34d2bf7fd3a2a77f25446ec
         1  ....Y.PT#......S  fff88f0d591050542309b0a8a5ae1e53
         1  ..o.0...7.....v"  fff86f8a309fd6b637df0bfd00b77622
         1  ...h6.........:5  fff8156836beb6bbfc87d6f4bbbe3a35
         1  .....=.../...)..  fff6bdb2073da3a79c2f2eca9329dfad
         1  ...~_L..m.P.....  fff5e17e204cd8a86d06502e91981cba
         1  ....|x...%.%W.p.  fff4def77c78b2d3a425f02557f970a5
         1  ......\..T...?..  fff3f60dbf9c5cee1e5410abcb3ff9ea
# epoch 20  H=7.9966 C=7.9813 HO=-0.0039  A(t)=0
        42  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        32  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        29  ................  aeaeaeaeaeaeaeaeaeaeaeaeaeaeaeae
        20  ................  edededededededededededededededed
        16  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
        15  ................  1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c
         8  ................  98989898989898989898989898989898
         4  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
         3  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
         1  ........r.......  fffffffeaacaa2a572aa7fa1cfb4a6d8
# epoch 40  H=7.9959 C=7.9594 HO=-0.0046  A(t)=0
        49  0000000000000000  30303030303030303030303030303030
        39  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        33  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        32  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        31  ................  8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e
        29  ................  aeaeaeaeaeaeaeaeaeaeaeaeaeaeaeae
        28  ................  92929292929292929292929292929292
        21  ................  cececececececececececececececece
        20  ................  edededededededededededededededed
        15  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
# epoch 60  H=7.9957 C=7.9349 HO=-0.0048  A(t)=0
        79  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        49  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
        46  0000000000000000  30303030303030303030303030303030
        39  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        33  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        30  ................  8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e
        28  ................  92929292929292929292929292929292
        23  ................  93939393939393939393939393939393
        19  ................  edededededededededededededededed
        15  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
# epoch 80  H=7.9953 C=7.9109 HO=0.0670  A(t)=0
        77  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        48  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
        46  0000000000000000  30303030303030303030303030303030
        46  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        42  ................  a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
        38  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        32  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        29  ................  8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e
        28  ................  92929292929292929292929292929292
        23  ................  93939393939393939393939393939393
# epoch 100  H=7.9948 C=7.9038 HO=0.0830  A(t)=0
        68  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        62  0000000000000000  30303030303030303030303030303030
        46  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
        46  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        45  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        41  ................  a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
        38  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        31  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        28  ................  92929292929292929292929292929292
        23  ................  93939393939393939393939393939393
# epoch 120  H=7.9941 C=7.8826 HO=0.0996  A(t)=0
        81  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        67  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        62  0000000000000000  30303030303030303030303030303030
        42  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        38  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        32  ................  fefefefefefefefefefefefefefefefe
        31  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        30  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
        30  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        29  ................  a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
# epoch 140  H=7.9913 C=7.7971 HO=0.1688  A(t)=0
       164  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        90  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        61  0000000000000000  30303030303030303030303030303030
        57  ................  93939393939393939393939393939393
        49  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        49  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
        48  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        42  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        40  ................  ffffffffffffffffffffffffffffffff
        40  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
# epoch 160  H=7.9891 C=7.7665 HO=0.1906  A(t)=0
       144  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       139  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        89  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        61  0000000000000000  30303030303030303030303030303030
        57  ................  93939393939393939393939393939393
        48  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
        47  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        47  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
        42  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        41  ................  ffffffffffffffffffffffffffffffff
# epoch 180  H=7.9887 C=7.7697 HO=0.1911  A(t)=0
