# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ...#....K36{...K  ffffe023a2b5ff9b4b33367bd9f9bf4b
         1  ...g|.J.....X.N.  ffffce677ca44aeedfb9e81258b54eb9
         1  ...Cw.n;..o.h.U.  ffffcd4377fc6e3bb8fe6faf680d55f4
         1  ...c.4....-E...$  ffffc163813416c29ef22d4588190b24
         1  ....>..<...W..g.  ffffbead3ee7a93cd8c8a557dddd67ec
         1  ...]REe......{1G  ffffb95d524565fa16d983a80b7b3147
         1  ......X....).h..  ffffa6e2afa758c1fdbc8e29d3681112
         1  .......+.....O..  ffffa686b2b6862b97a6c8c3c04f9913
         1  .....9...|e.f...  ffff8edeae392ebbc57c65a966eebc04
         1  ..............==  ffff8ca4c7c51a1804c00a818e8e3d3d
# epoch 250  H=7.9987 C=7.9585 HO=-0.0013  A(t)=0
       355  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       213  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       119  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        65  4444444444444444  34343434343434343434343434343434
        64  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        57  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        55  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        53  ................  1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c
        50  ................  fefefefefefefefefefefefefefefefe
        46  ................  dededededededededededededededede
# epoch 500  H=7.9974 C=7.9444 HO=-0.0026  A(t)=0
       200  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       180  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       115  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
       109  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        74  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        68  ................  f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3
        55  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        53  ................  0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d
        47  ................  93939393939393939393939393939393
        46  8888888888888888  38383838383838383838383838383838
# epoch 750  H=7.9960 C=7.9329 HO=0.0564  A(t)=0
       328  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       159  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       108  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        83  xxxxxxxxxxxxxxxx  78787878787878787878787878787878
        66  ................  80808080808080808080808080808080
        63  dddddddddddddddd  64646464646464646464646464646464
        61  ................  c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7
        61  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        55  ................  93939393939393939393939393939393
        55  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 1000  H=7.9948 C=7.9273 HO=0.0594  A(t)=0
       154  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       151  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       127  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        91  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        78  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        78  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        56  gggggggggggggggg  67676767676767676767676767676767
        55  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        50  ................  acacacacacacacacacacacacacacacac
        50  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 1250  H=7.9934 C=7.9229 HO=0.0584  A(t)=121
       187  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       173  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       112  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        91  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        88  ................  fefefefefefefefefefefefefefefefe
        86  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        70  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        66  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        56  ................  89898989898989898989898989898989
        46  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 1500  H=7.9926 C=7.9157 HO=0.0617  A(t)=144
       110  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       106  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        94  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        78  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        58  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        56  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        49  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        48  ................  ffffffffffffffffffffffffffffffff
        48  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
        46  ................  dddddddddddddddddddddddddddddddd
# epoch 1750  H=7.9915 C=7.9116 HO=0.0648  A(t)=156
       195  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       162  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       122  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        97  QQQQQQQQQQQQQQQQ  51515151515151515151515151515151
        85  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        73  ................  01010101010101010101010101010101
        68  ................  ffffffffffffffffffffffffffffffff
        66  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        65  pppppppppppppppp  70707070707070707070707070707070
        49  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 2000  H=7.9909 C=7.9131 HO=0.0617  A(t)=163
       181  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       129  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       107  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        58  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        52  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        49  ................  ffffffffffffffffffffffffffffffff
        48  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
        47  TTTTTTTTTTTTTTTT  54545454545454545454545454545454
        45  ................  c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9
        44  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
# epoch 2250  H=7.9899 C=7.9127 HO=0.0595  A(t)=177
       146  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       113  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       110  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        91  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        83  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        72  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        62  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        40  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
        35  7777777777777777  37373737373737373737373737373737
        34  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
# epoch 2500  H=7.9889 C=7.9071 HO=0.0630  A(t)=189
       201  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       171  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       160  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        76  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        68  ................  19191919191919191919191919191919
        67  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        57  ................  ffffffffffffffffffffffffffffffff
        50  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        49  ................  04040404040404040404040404040404
        45  1111111111111111  31313131313131313131313131313131
# epoch 2750  H=7.9882 C=7.9072 HO=0.0614  A(t)=195
       208  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       138  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       109  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       104  ................  93939393939393939393939393939393
        60  ................  19191919191919191919191919191919
        56  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
        51  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        50  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
        44  ................  94949494949494949494949494949494
        39  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
# epoch 3000  H=7.9875 C=7.9063 HO=0.0595  A(t)=204
       173  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       162  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        99  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        61  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
        60  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        47  ................  96969696969696969696969696969696
        46  ................  acacacacacacacacacacacacacacacac
        44  ................  85858585858585858585858585858585
        43  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        41  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
# epoch 3250  H=7.9870 C=7.9068 HO=0.0622  A(t)=208
       124  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       100  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        90  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        74  ................  fefefefefefefefefefefefefefefefe
        61  ................  85858585858585858585858585858585
        53  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        52  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
        50  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
        46  ................  97979797979797979797979797979797
        45  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
# epoch 3500  H=7.9861 C=7.9051 HO=0.0599  A(t)=215
       196  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       160  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
