# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ....n....._t..^y  fffffafa6edabbc48daa5f74b5c75e79
         1  ......p......e..  fffff08b1aaa700904ac1defbd65d1a3
         1  ...w./0.&M."..n.  ffffed77822f30d8264df02294db6ede
         1  .......W~....:.+  ffffecc70fb8dd577ea5c1fb183ac62b
         1  .....8I.o.+".Q.S  ffffdb0aa63849ee6feb2b22de51e753
         1  ...E....N}W..^.l  ffffd445c47f9af54e7d5719f75efb6c
         1  ...3..)T#.c.^...  ffffd133e7e92954238563a35eeeabc4
         1  ...}...M/..G@.i.  ffffbc7dd6b2c34d2fa2a74740e269a6
         1  ...m..VU....g.w.  ffffaa6d91a25655d3a90fb9671577f1
         1  ...CU....."...(.  ffffa943551dcdc402ac22a1e29828e0
# epoch 250  H=7.9986 C=7.9596 HO=-0.0014  A(t)=0
       282  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       231  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       196  ................  82828282828282828282828282828282
       103  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        83  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        74  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        72  ................  8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f
        56  ................  ffffffffffffffffffffffffffffffff
        43  ................  96969696969696969696969696969696
        41  ................  aeaeaeaeaeaeaeaeaeaeaeaeaeaeaeae
# epoch 500  H=7.9971 C=7.9426 HO=-0.0029  A(t)=0
       272  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       215  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       181  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        97  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        61  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        58  ................  89898989898989898989898989898989
        52  ................  ffffffffffffffffffffffffffffffff
        45  ssssssssssssssss  73737373737373737373737373737373
        44  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        44  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
# epoch 750  H=7.9957 C=7.9321 HO=0.0586  A(t)=0
       182  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       180  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       169  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        82  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        67  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
        66  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        56  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        54  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        47  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        47  ................  12121212121212121212121212121212
# epoch 1000  H=7.9941 C=7.9242 HO=0.0610  A(t)=0
       292  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       209  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       111  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        78  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        73  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        72  ................  cacacacacacacacacacacacacacacaca
        51  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        50  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        42  ................  01010101010101010101010101010101
        41  UUUUUUUUUUUUUUUU  55555555555555555555555555555555
# epoch 1250  H=7.9928 C=7.9176 HO=0.0639  A(t)=123
       238  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       220  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       153  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        81  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        55  ................  ffffffffffffffffffffffffffffffff
        55  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        53  ................  f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
        53  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        46  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        38  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
# epoch 1500  H=7.9918 C=7.9116 HO=0.0659  A(t)=145
       247  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       212  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       127  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        84  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        51  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
        50  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        49  ................  85858585858585858585858585858585
        44  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        43  gggggggggggggggg  67676767676767676767676767676767
        40  cccccccccccccccc  63636363636363636363636363636363
# epoch 1750  H=7.9910 C=7.9105 HO=0.0640  A(t)=158
       154  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       132  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       128  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        68  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        49  ................  17171717171717171717171717171717
        47  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        44  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        42  ................  ffffffffffffffffffffffffffffffff
        40  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        39  ................  9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b
# epoch 2000  H=7.9903 C=7.9090 HO=0.0620  A(t)=168
       174  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       157  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       106  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       100  ................  fefefefefefefefefefefefefefefefe
        74  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        58  ................  91919191919191919191919191919191
        57  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        53  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        52  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        46  ................  ebebebebebebebebebebebebebebebeb
# epoch 2250  H=7.9895 C=7.9073 HO=0.0624  A(t)=182
        90  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        83  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        76  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        67  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        54  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        51  ))))))))))))))))  29292929292929292929292929292929
        48  ................  e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4
        47  ................  c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
        47  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        47  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 2500  H=7.9889 C=7.9102 HO=0.0596  A(t)=199
       129  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       108  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       104  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        72  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        61  ................  86868686868686868686868686868686
        57  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        57  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        55  ................  c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
        53  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
        48  ................  ffffffffffffffffffffffffffffffff
# epoch 2750  H=7.9880 C=7.9044 HO=0.0628  A(t)=206
       168  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       142  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        64  ................  86868686868686868686868686868686
        64  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        60  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        60  ................  97979797979797979797979797979797
        57  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        54  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        51  MMMMMMMMMMMMMMMM  4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d
        49  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
# epoch 3000  H=7.9873 C=7.9031 HO=0.0642  A(t)=212
       286  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       121  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        88  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        72  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        64  ................  86868686868686868686868686868686
        55  ................  99999999999999999999999999999999
        55  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        50  ................  97979797979797979797979797979797
        47  ................  aeaeaeaeaeaeaeaeaeaeaeaeaeaeaeae
        46  ................  b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3
# epoch 3250  H=7.9868 C=7.9044 HO=0.0619  A(t)=219
       180  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       157  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       110  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        99  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        98  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        53  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        46  ................  17171717171717171717171717171717
        42  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        41  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
        41  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 3500  H=7.9860 C=7.9058 HO=0.0591  A(t)=229
       163  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
