epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
0,1.379,0.0,7.99992,8.000019,-9.9e-05,8.000019,8.002464,-0.002544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1867776,0,0,0,0,32768,
250,15.241,12.58,7.998613,8.000019,-0.001406,7.988411,7.962128,0.036485,682.47,0.513201,0.858621,83.5736,4.8939,0.070641,0.587741,0.341618,4096000,2795396942,128240,1858903,0,0,0,0,32768,
500,29.429,25.505,7.997166,8.000019,-0.002854,7.984394,7.945271,0.051895,721.9389,0.515592,0.872381,94.3961,5.6142,0.076237,0.537094,0.386669,4096000,2957061532,127171,1857946,0,0,0,0,32768,
750,43.741,38.561,7.995968,7.937885,0.058083,7.979599,7.933815,0.062153,742.4339,0.516212,0.879316,101.7289,5.9417,0.079172,0.510032,0.410796,4096000,3041009401,128054,1857537,0,0,0,0,32768,
1000,58.083,51.627,7.994863,7.939171,0.055693,7.982506,7.92963,0.065233,755.8363,0.517138,0.883567,106.4288,6.5992,0.081083,0.492422,0.426495,4096000,3095905511,127693,1858541,0,0,0,0,32768,
1250,72.641,64.906,7.993916,7.934803,0.059113,7.981785,7.924881,0.069035,762.9008,0.518029,0.886162,108.1022,6.3532,0.082064,0.478746,0.43919,4096000,3124841878,128100,1858711,128,128,128,128,32768,
1500,87.523,78.452,7.992911,7.935001,0.057909,7.981701,7.923729,0.069182,770.647,0.519307,0.888507,111.2875,6.3234,0.083205,0.469289,0.447507,4096000,3156570275,128518,1859288,129,143,129,143,32768,
1750,102.548,92.21,7.992162,7.932415,0.059747,7.979008,7.919277,0.072885,779.8166,0.518319,0.890735,115.2642,6.7036,0.084417,0.461236,0.454347,4096000,3194128771,127740,1859009,128,163,128,163,32768,
2000,117.819,106.127,7.991453,7.932224,0.059229,7.981831,7.918068,0.073385,779.0952,0.519308,0.891572,116.7637,7.1786,0.084473,0.453657,0.46187,4096000,3191174042,127491,1859350,119,173,119,173,32768,
2250,132.78,119.84,7.990408,7.931801,0.058607,7.980152,7.915791,0.074617,781.5908,0.518343,0.892709,122.6118,7.4303,0.084906,0.447508,0.467586,4096000,3201396120,127612,1859329,119,185,119,185,32768,
2500,147.857,133.613,7.989643,7.930359,0.059284,7.979153,7.914303,0.07534,781.9106,0.519205,0.893407,126.832,7.4893,0.084836,0.440794,0.47437,4096000,3202705666,127528,1859123,120,197,120,197,32768,
2750,162.496,147.154,7.988709,7.929726,0.058984,7.979633,7.913761,0.074948,784.3775,0.523527,0.893977,127.9132,7.9859,0.085051,0.439062,0.475886,4096000,3212810037,128056,1859089,116,202,116,202,32768,
3000,177.293,160.714,7.98835,7.930252,0.058098,7.97879,7.911888,0.076462,775.2306,0.523833,0.893099,124.7765,7.7317,0.083992,0.435882,0.480126,4096000,3175344495,127694,1858810,119,208,119,208,32768,
3250,191.95,174.158,7.9875,7.929817,0.057683,7.976727,7.910057,0.077443,777.0898,0.524441,0.894102,125.1575,7.5994,0.084289,0.429402,0.486309,4096000,3182959864,128273,1858787,114,212,114,212,32768,
3500,206.752,187.702,7.986912,7.927757,0.059155,7.978733,7.910507,0.076405,778.3712,0.525409,0.894809,126.6148,8.1849,0.084566,0.424618,0.490816,4096000,3188208289,128241,1859096,123,218,123,218,32768,
3750,221.654,201.267,7.986368,7.927158,0.059209,7.980247,7.908859,0.077508,773.7243,0.525695,0.894632,127.4216,8.3961,0.084115,0.421649,0.494237,4096000,3169174556,128116,1858943,124,223,124,223,32768,
4000,236.291,215.008,7.985704,7.927486,0.058218,7.977184,7.906879,0.078825,786.5925,0.526884,0.896605,133.8672,8.7538,0.085709,0.419967,0.494323,4096000,3221882943,128047,1859003,119,230,119,230,32768,
4250,251.419,228.811,7.985054,7.926872,0.058182,7.976505,7.906124,0.07893,792.1999,0.526127,0.897392,134.9966,8.5785,0.086397,0.419275,0.494327,4096000,3244850672,127880,1858714,121,234,121,234,32768,
4500,266.894,243.079,7.984925,7.927048,0.057877,7.974453,7.905243,0.079682,798.8958,0.526219,0.89832,136.6251,8.1509,0.087307,0.419073,0.49362,4096000,3272277292,127656,1858424,122,237,122,237,32768,
4750,281.883,256.867,7.98457,7.922882,0.061688,7.973042,7.901833,0.082737,803.4178,0.528651,0.898921,134.5551,8.4942,0.087866,0.419536,0.492597,4096000,3290799290,128357,1858070,118,242,118,242,32768,
5000,296.869,270.606,7.984127,7.925087,0.05904,7.974968,7.90126,0.082867,794.9384,0.527613,0.898168,134.7873,8.4477,0.086879,0.416918,0.496203,4096000,3256067640,128274,1858300,117,244,117,244,32768,
5250,311.883,284.366,7.98379,7.920753,0.063036,7.972397,7.89846,0.085329,798.7723,0.526689,0.898905,137.1784,8.8348,0.087369,0.414698,0.497934,4096000,3271771181,128135,1858089,118,246,118,246,32768,
5500,326.789,298.023,7.983369,7.921406,0.061963,7.973888,7.899048,0.084321,799.4658,0.528333,0.899016,138.3514,8.604,0.087503,0.414262,0.498236,4096000,3274612106,127682,1858590,117,248,117,248,32768,
