# epoch 0  H=7.9996 C=8.0025 HO=-0.0004  A(t)=0
         1  ........].or..R.  ffffee8a0fe2e5905d146f72960a52d9
         1  .........1.[....  ffffe9910185b3aac631805bd3811707
         1  .....z"f.w.j.F.|  ffffca99f27a2266fb77d06ad6462e7c
         1  ..v.\...@-..q...  ffff768a5cf5aed0402dae0971e3c7f0
         1  ..[.v.......d...  ffff5bbd761690e0f415bd946402bdd4
         1  ..U......(".....  ffff55ec9d929f9e142822e9b2e9d4ce
         1  ...U.........J).  fffef6559899cc0b13ca140edc4a29b4
         1  ......8~..(y..$.  fffee692eff6387e09e62879ebb924eb
         1  ...N.>._...v...!  fffecb4eb13eeb20152ede76c98aeb21
         1  ...Nl.(x..<.Ae..  fffea34e6cae2878e7e43cf94165c0cd
# epoch 50  H=7.9995 C=7.9895 HO=-0.0006  A(t)=0
        57  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        52  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
        50  ................  99999999999999999999999999999999
        45  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
        40  cccccccccccccccc  63636363636363636363636363636363
        38  0000000000000000  30303030303030303030303030303030
        36  ................  9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d
        35  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        33  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        32  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
# epoch 100  H=7.9992 C=7.9832 HO=-0.0009  A(t)=0
       126  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       113  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        50  ................  99999999999999999999999999999999
        41  ................  89898989898989898989898989898989
        36  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
        35  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        33  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        32  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
        32  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
        32  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 150  H=7.9989 C=7.9798 HO=-0.0012  A(t)=0
       234  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       134  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        50  ................  99999999999999999999999999999999
        47  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        38  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        35  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        33  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        31  ................  1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c
        29  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        26  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
# epoch 200  H=7.9986 C=7.9782 HO=-0.0015  A(t)=0
       240  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       129  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        64  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        43  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        41  ................  99999999999999999999999999999999
        35  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        31  ................  1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c
        28  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
        27  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        26  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
# epoch 250  H=7.9984 C=7.9791 HO=-0.0017  A(t)=0
       234  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        98  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        52  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        41  ................  99999999999999999999999999999999
        37  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        28  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        26  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
        24  cccccccccccccccc  63636363636363636363636363636363
        22  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
        21  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
# epoch 300  H=7.9980 C=7.9765 HO=-0.0021  A(t)=35
       284  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        77  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        47  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
        39  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
