# epoch 0  H=7.9996 C=8.0025 HO=-0.0005  A(t)=0
         1  ...Cw.n;..o.h.U.  ffffcd4377fc6e3bb8fe6faf680d55f4
         1  ......X....).h..  ffffa6e2afa758c1fdbc8e29d3681112
         1  .......+.....O..  ffffa686b2b6862b97a6c8c3c04f9913
         1  ......i...o.....  ffff039beada69d1eda46f9d17f6c889
         1  ...&.X4H..wz.1<D  fffedd26e4583448c38e777aaa313c44
         1  .......d..@..8$.  fffedbeed4d61064bdd3401af4382417
         1  ......y..){...?+  fffebbb10df779abb7297bbabbe93f2b
         1  ...u..|w.].i`...  fffe8a7501bd7c77de5d196960bb8eba
         1  .....!q.)%...:.\  fffe87cbae2171ad2925d0e11e3abb5c
         1  ..q............T  fffe7106a09eb3a31dce8b19b6f9ce54
# epoch 50  H=7.9994 C=7.9803 HO=-0.0007  A(t)=0
       117  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        71  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        58  iiiiiiiiiiiiiiii  69696969696969696969696969696969
        54  ................  95959595959595959595959595959595
        49  ________________  20202020202020202020202020202020
        46  ................  e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6
        46  ................  dadadadadadadadadadadadadadadada
        44  ................  14141414141414141414141414141414
        42  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
        41  ~~~~~~~~~~~~~~~~  7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e
# epoch 100  H=7.9991 C=7.9735 HO=-0.0010  A(t)=0
       156  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       148  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        66  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        54  iiiiiiiiiiiiiiii  69696969696969696969696969696969
        45  ................  dadadadadadadadadadadadadadadada
        44  ................  e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6
        42  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
        40  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
        39  ................  95959595959595959595959595959595
        39  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
# epoch 150  H=7.9988 C=7.9676 HO=-0.0013  A(t)=0
       245  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       131  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        56  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        46  ................  dadadadadadadadadadadadadadadada
        44  ................  e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6
        43  ................  ffffffffffffffffffffffffffffffff
        40  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
        39  ................  95959595959595959595959595959595
        38  ................  07070707070707070707070707070707
        34  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
# epoch 200  H=7.9983 C=7.9589 HO=-0.0018  A(t)=0
       298  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       167  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        86  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        79  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        59  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        56  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        46  ................  dadadadadadadadadadadadadadadada
        45  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        40  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
