# epoch 0  H=7.9996 C=8.0025 HO=-0.0005  A(t)=0
         1  ......p......e..  fffff08b1aaa700904ac1defbd65d1a3
         1  .......W~....:.+  ffffecc70fb8dd577ea5c1fb183ac62b
         1  ...E....N}W..^.l  ffffd445c47f9af54e7d5719f75efb6c
         1  ...}...M/..G@.i.  ffffbc7dd6b2c34d2fa2a74740e269a6
         1  ..X..!=...&.l5c`  ffff58d1c5213dded4a326ee6c356360
         1  ..,....F......7.  ffff2cb7bdc6fa467f14021ea1d637d9
         1  ..$.f...sh..xz..  ffff24a4660cb68b736806b8787ad8fe
         1  ....Y.[).*..:xN.  fffed81f59955b29ef2ac01f3a784e0c
         1  ....X........w..  fffecfcf5811a518a39feca2ab77f0d0
         1  .....!$.....w4..  fffeceabc42124b1187fdc077734aade
# epoch 50  H=7.9993 C=7.9772 HO=-0.0008  A(t)=0
        72  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        69  ................  84848484848484848484848484848484
        63  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        58  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        49  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
        47  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        47  ................  19191919191919191919191919191919
        44  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
        44  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
        44  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
# epoch 100  H=7.9989 C=7.9697 HO=-0.0012  A(t)=0
       118  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        58  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        55  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        53  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        48  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        47  ................  19191919191919191919191919191919
        44  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
        44  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
        44  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        43  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
# epoch 150  H=7.9985 C=7.9634 HO=-0.0016  A(t)=0
       164  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       119  6666666666666666  36363636363636363636363636363636
        58  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        55  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        53  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        48  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        47  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        44  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
        44  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
        43  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
# epoch 200  H=7.9979 C=7.9598 HO=-0.0022  A(t)=0
       227  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        99  6666666666666666  36363636363636363636363636363636
        78  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        70  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
        58  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        47  ................  e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7
        47  ................  e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2
        44  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
        43  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
        40  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
# epoch 250  H=7.9974 C=7.9567 HO=-0.0027  A(t)=0
       300  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       120  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        70  ................  1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b
