# epoch 0  H=7.9997 C=8.0025 HO=-0.0004  A(t)=0
         1  .....F&._...$..^  fffffc0ade4626e020d2fad5240fd25e
         1  .....{?.w..x...W  fffff58ad47b3f9477bb8078b30cc457
         1  ......R.a...z...  ffffd1b7cdb1521f61d1aee37ad7d9dc
         1  ..o.7PY.#..nV-^I  ffff6f003750590323e0196e562d5e49
         1  ..N<......2.f...  ffff4e3c08d7be88fec132986600eaee
         1  ..5.../B.)4J-...  ffff35aa9b942f42f329344a2dba18e2
         1  ...O....gN/%....  ffff194f911fe61a674e2f258f9cb0df
         1  ...,.....U..`...  ffff192cdccfb305d25514a160b091fd
         1  ......tt..rv....  fffeefdd940e74741db97276b9e39610
         1  ....o..{.!3..Zq.  fffee9f66f02df7bd62133c7ec5a71a5
# epoch 50  H=7.9994 C=7.9723 HO=-0.0006  A(t)=0
        94  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        83  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        72  6666666666666666  36363636363636363636363636363636
        64  ................  abababababababababababababababab
        62  ................  19191919191919191919191919191919
        54  ................  ffffffffffffffffffffffffffffffff
        48  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        48  ................  18181818181818181818181818181818
        47  ssssssssssssssss  73737373737373737373737373737373
        47  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
# epoch 100  H=7.9991 C=7.9664 HO=-0.0010  A(t)=0
        96  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        94  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        55  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
        53  ................  ffffffffffffffffffffffffffffffff
        52  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
        48  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
        47  ................  15151515151515151515151515151515
        46  ................  abababababababababababababababab
        46  ssssssssssssssss  73737373737373737373737373737373
        42  ................  dadadadadadadadadadadadadadadada
# epoch 150  H=7.9986 C=7.9600 HO=-0.0015  A(t)=0
       239  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        81  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        78  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        52  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
        48  ................  05050505050505050505050505050505
        47  ................  15151515151515151515151515151515
        45  ................  abababababababababababababababab
        41  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        40  ................  dadadadadadadadadadadadadadadada
        40  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 200  H=7.9980 C=7.9544 HO=-0.0020  A(t)=0
       350  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        77  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        73  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
