# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  .....8.!..;...8u  ffffef821938ee21c0a33b0cd9d73875
         1  ....Cm.Y.koG..3.  ffffeeb8436d9659126b6f47eef233ac
         1  .....T0....8....  ffffd2ae955430800ec2d638dcd20bd7
         1  ...{.+......e...  ffffd17bdc2b9e08a6eefaea65d7fa8b
         1  .......C..|..U.x  ffffa9c8d60e1743b9a57c028b55e978
         1  ......k..|......  ffffa88d9f146b89bd7cce0fb57fb1f0
         1  ...f\;.....~W...  ffffa6665c3b1eb3a6cdb67e579ccccb
         1  ......ad%....#U.  ffffa481a717616425a9a8918b2355cc
         1  ....J.P....z3K..  ffff9fbf4ad350bed90ab97a334b7fff
         1  ....be........9q  ffff98f5626507f00dbb16d10de83971
# epoch 250  H=7.9849 C=7.8735 HO=0.0830  A(t)=0
       367  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       202  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       193  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       103  UUUUUUUUUUUUUUUU  55555555555555555555555555555555
       103  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        76  ................  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
        75  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
        73  ................  03030303030303030303030303030303
        66  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
        64  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
# epoch 500  H=7.9570 C=7.7958 HO=0.1031  A(t)=0
       336  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       283  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       262  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       165  ................  01010101010101010101010101010101
       125  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       116  ................  abababababababababababababababab
       114  ................  ffffffffffffffffffffffffffffffff
