# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ....G".N....T{..  fffff2d74722a24ece0dc3e7547bd0b9
         1  ......F.X.%._mO.  ffffedfef32e46b6581425f8206d4f06
         1  ......sN....q.'.  ffffecc9b0ec734ec995a1cb710627bd
         1  ...._......5$...  ffffe91e5fb88010ed091f3524fa9dec
         1  .........3$.4...  ffffe302d989a495153324873487e881
         1  ......,......H..  ffffdee5b0f82c9b11d80c9d8e48e9f3
         1  ......~...B..Y.f  ffffde199a067e0391de4213db599666
         1  .......w....W..@  ffffd280b3aca377068e1d0257e8b540
         1  ...-..ma..h..R.]  ffffca2db1176d61d3bb68bbbe52c15d
         1  ....$.i5;F......  ffffc77f240569353b4693ac0be19808
# epoch 250  H=7.9880 C=7.8782 HO=0.0823  A(t)=0
       287  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       164  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        87  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        83  ................  01010101010101010101010101010101
        73  ................  fefefefefefefefefefefefefefefefe
        73  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
        72  ................  d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3
        66  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        63  ................  09090909090909090909090909090909
        62  1111111111111111  31313131313131313131313131313131
# epoch 500  H=7.9626 C=7.8263 HO=0.0832  A(t)=0
       457  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       264  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       200  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        92  ................  92929292929292929292929292929292
        81  cccccccccccccccc  63636363636363636363636363636363
        79  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
        76  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        73  ################  23232323232323232323232323232323
        71  ................  e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
        67  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
# epoch 750  H=7.9321 C=7.7625 HO=0.1084  A(t)=0
       422  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       405  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       342  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       191  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       115  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
        94  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        93  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        87  ................  09090909090909090909090909090909
        78  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
        77  cccccccccccccccc  63636363636363636363636363636363
# epoch 1000  H=7.9040 C=7.7134 HO=0.1228  A(t)=0
       437  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       422  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       264  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       120  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       118  ................  b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7
       106  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
       105  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       103  ................  bebebebebebebebebebebebebebebebe
        98  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        89  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
# epoch 1250  H=7.8835 C=7.6756 HO=0.1398  A(t)=219
       450  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       401  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       354  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       332  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       212  ................  01010101010101010101010101010101
