# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ....$.._Uo......  fffffc1b24d7e55f556fa714cdc9b19e
         1  ...gp..E......g.  fffff26770d8a845b9912ec0030267e2
         1  ...1*.c....8Q|..  ffffee312a0c63fb8ca8c338517c910c
         1  ...WT....R...t..  ffffe457549edb1fc052a61ffe74d38f
         1  ...pQo...E.C...D  ffffdd70516fbb11b445cd4319f49044
         1  ......3I`n......  ffffbbc7cad53349606e861b8adfbec9
         1  ...%....*#t:L...  ffffac2511e3af902a23743a4cb789d3
         1  ....}.d>..$.i...  ffff9ff57dcc643e0eb3241269d9cdc0
         1  ...S=HL..M.....U  ffff94533d484cca114d14c8cbd6ff55
         1  ...............n  ffff93a0f7f6868d1fcea7d90802e06e
# epoch 250  H=7.9864 C=7.8766 HO=0.0809  A(t)=0
       333  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       237  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       198  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        83  cccccccccccccccc  63636363636363636363636363636363
        76  ................  1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e
        72  ................  e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3
        72  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        68  ................  8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f
        66  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
        58  ................  93939393939393939393939393939393
# epoch 500  H=7.9606 C=7.8230 HO=0.0860  A(t)=0
       492  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       348  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       207  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       185  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        86  ................  f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
        71  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        71  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
        69  ................  fefefefefefefefefefefefefefefefe
        64  gggggggggggggggg  67676767676767676767676767676767
        62  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 750  H=7.9332 C=7.7688 HO=0.1054  A(t)=0
       509  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       229  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       217  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        94  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
        87  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        83  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        80  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        73  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        69  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
        69  2222222222222222  32323232323232323232323232323232
# epoch 1000  H=7.9063 C=7.7287 HO=0.1145  A(t)=0
       455  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       452  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       331  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       128  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       127  ................  92929292929292929292929292929292
       114  UUUUUUUUUUUUUUUU  55555555555555555555555555555555
       112  ................  bebebebebebebebebebebebebebebebe
       109  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
       109  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       103  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 1250  H=7.8876 C=7.6917 HO=0.1322  A(t)=210
       542  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       270  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       261  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
