# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ...N.X.mS.......  fffffe4e9158126d5399e6bbb910fec7
         1  ...e.>.u...G;...  fffff865a93e867586dbec473bc1f5e8
         1  ..........$a.IF.  fffff6ef0c0c08d785f32461f14946cd
         1  .....uP.\..i..r.  fffff08dd97550df5ce3fb69c4a072c5
         1  .........%9.....  ffffe986dbbef20cc72539a2bde61409
         1  ........>E.!".M.  ffffe7d68c1ed39a3e45eb2122c74dcc
         1  .....BI......Rr.  ffffe2a5ed4249100214091f175272f1
         1  ......;.0.Op....  ffffaccf0bee3b0630ec4f70d41a1b7f
         1  ......Ve...7<...  ffff8aa2d3aa5665b6d19d373c1f1bb5
         1  ..v.A.U&r.O..\5.  ffff76be4107552672c54fdc875c351c
# epoch 250  H=7.9873 C=7.8786 HO=0.0811  A(t)=0
       240  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       181  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       131  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       102  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
        85  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        80  ................  efefefefefefefefefefefefefefefef
        79  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
        74  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
        70  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
        64  ................  b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4
# epoch 500  H=7.9648 C=7.8177 HO=0.0903  A(t)=0
       318  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       293  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       183  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       162  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       160  ................  ffffffffffffffffffffffffffffffff
       122  0000000000000000  30303030303030303030303030303030
       106  ................  95959595959595959595959595959595
       105  ................  b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2
