# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ......`..d..U8..  fffffe98ebeb60b0aa64a190553801e0
         1  ....v.........s.  fffff39f76fad0189ebcdebdd8d77392
         1  ...b...../.P.Lk.  fffff3620bfb19de8c2f9b50834c6bcf
         1  ...............~  ffffeaeecfe1d1e6bccdadcbb985f17e
         1  .............L.s  ffffcbe7f7ee16151bcee714114cd673
         1  ...;OB.k........  ffffb83b4f42c66b029c98c7a9b811f5
         1  .......q4.S.-...  ffffb2a514a6f27134b253072d9daf03
         1  ....".I..v...>8.  ffffafa5229349a2e6761ae0b43e38e7
         1  ...Y.EO./a.....L  ffffad59e0454f022f61c710e7e4a74c
         1  .....X_H..7..V.1  ffffa6a2a1585f48a1cb3714d4569631
# epoch 250  H=7.9868 C=7.8764 HO=0.0855  A(t)=0
       318  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       316  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       191  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       100  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        82  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
        76  ################  23232323232323232323232323232323
        74  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        74  ................  18181818181818181818181818181818
        69  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
        69  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 500  H=7.9626 C=7.8382 HO=0.0722  A(t)=0
       322  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       287  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       196  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       145  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        82  ................  dededededededededededededededede
        79  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
        76  ................  b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3
        62  ''''''''''''''''  27272727272727272727272727272727
        60  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
        60  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
# epoch 750  H=7.9367 C=7.7962 HO=0.0831  A(t)=0
       361  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       225  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       179  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       120  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        80  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        73  ................  15151515151515151515151515151515
        66  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        65  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
        63  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        62  ................  f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6
# epoch 1000  H=7.9120 C=7.7450 HO=0.1056  A(t)=0
       459  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       429  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       344  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       141  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       129  ................  01010101010101010101010101010101
       102  ................  ffffffffffffffffffffffffffffffff
        77  ................  c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
        74  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        71  ................  ebebebebebebebebebebebebebebebeb
        67  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
# epoch 1250  H=7.8862 C=7.6959 HO=0.1257  A(t)=200
       633  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       598  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       328  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       291  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       172  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        96  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        85  ................  01010101010101010101010101010101
        84  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        82  ................  03030303030303030303030303030303
        80  0000000000000000  30303030303030303030303030303030
# epoch 1500  H=7.8708 C=7.6666 HO=0.1307  A(t)=209
       503  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       409  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       265  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       231  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        90  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
        83  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
        82  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
        80  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        79  ................  03030303030303030303030303030303
        77  ''''''''''''''''  27272727272727272727272727272727
# epoch 1750  H=7.8592 C=7.6455 HO=0.1436  A(t)=226
       698  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       599  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       493  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       138  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       136  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
       136  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       117  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       102  pppppppppppppppp  70707070707070707070707070707070
        97  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
        97  4444444444444444  34343434343434343434343434343434
# epoch 2000  H=7.8505 C=7.6435 HO=0.1376  A(t)=247
       901  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       499  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       268  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       222  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       158  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       145  7777777777777777  37373737373737373737373737373737
       123  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       105  ................  17171717171717171717171717171717
       100  ................  b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4
        86  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 2250  H=7.8396 C=7.6291 HO=0.1387  A(t)=267
       643  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       417  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       250  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       239  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       169  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       157  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       129  ................  b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6b6
        99  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
        99  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
        97  ++++++++++++++++  2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b
# epoch 2500  H=7.8306 C=7.6204 HO=0.1420  A(t)=288
       561  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       557  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       292  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       182  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       176  ................  01010101010101010101010101010101
       157  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       156  ................  02020202020202020202020202020202
       127  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
       123  ................  a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8
       106  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
# epoch 2750  H=7.8185 C=7.6130 HO=0.1347  A(t)=303
       598  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       555  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       482  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       250  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       123  ................  01010101010101010101010101010101
       113  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       110  ................  fefefefefefefefefefefefefefefefe
       105  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
       104  ................  06060606060606060606060606060606
        98  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
# epoch 3000  H=7.8118 C=7.6106 HO=0.1339  A(t)=304
       454  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       402  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       371  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       223  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       149  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
       143  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
       138  5555555555555555  35353535353535353535353535353535
       129  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       122  ................  04040404040404040404040404040404
       115  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
# epoch 3250  H=7.8082 C=7.6070 HO=0.1329  A(t)=306
       811  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       477  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       375  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       151  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       139  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       117  ................  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
