# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ....5..Lt..&h..A  fffffba035b1cf4c748009266898c341
         1  ...MWX.DUgu.$...  ffffd64d5758ce445567750724bda891
         1  ..........q_u.ms  ffffd2b9d1bdca9306ba712075b96d73
         1  ...^...._..Q.,..  ffffd15eeda616c020a4cc519e2ca3f0
         1  ....h......D.._.  ffffcddb68920ac818d2a344d1fd5fb9
         1  ...iy..~.3w.ON.;  ffffcd6979dbc67e123377134f4eb73b
         1  ........\.sF...=  ffffc5cd04b1f58f5cc873460bc0fe3d
         1  ...../..v.e.HeKv  ffffbe84c42f0898768a659348654b76
         1  ....U.@......c..  ffffade35588400487fcdda1f3631f7f
         1  ...1...VV.....d.  ffff9231141bb35656c7bcfaf38164a8
# epoch 250  H=7.9868 C=7.8857 HO=0.0764  A(t)=0
       243  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       112  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       111  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        95  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
        70  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        66  ................  17171717171717171717171717171717
        62  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        59  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
        58  ................  cececececececececececececececece
        56  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
# epoch 500  H=7.9623 C=7.8271 HO=0.0838  A(t)=0
       330  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       315  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       144  ................  01010101010101010101010101010101
       124  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       112  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        98  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        94  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        92  4444444444444444  34343434343434343434343434343434
        89  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
        84  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
# epoch 750  H=7.9308 C=7.7580 HO=0.1091  A(t)=0
       350  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       346  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       320  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       318  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       133  ................  85858585858585858585858585858585
       100  ................  f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8
        99  ................  99999999999999999999999999999999
        96  ................  8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e
        95  wwwwwwwwwwwwwwww  77777777777777777777777777777777
        87  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
# epoch 1000  H=7.9038 C=7.7210 HO=0.1184  A(t)=0
       428  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
