# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ........yg..N^.{  ffffeb2ed9841eed796788874e5ea47b
         1  ......:<.^.RQ...  ffffe1d1de1b3a3c915ec25251bbf90d
         1  ....'.9..k.Y.N..  ffffdfe2279f39abb56ba159a54ee785
         1  .....c..y."eh2M.  ffffc47fd463c2c379ca226568324df8
         1  ...=.Gr.........  ffffc03d934772edddadd3199cebc205
         1  ...1O[.....1=.8.  ffffb3314f5bd1b409a0fa313dfc38fc
         1  ....d.a...,.\...  ffffa4f864bd611991982c085ca7fabe
         1  ...s.....z.....e  ffffa273c6bccf17ff7a87fdf1aae365
         1  .....j.S.U0.L..z  ffff9f99a26a8153055530bf4c7f957a
         1  ...).Z$....&....  ffff9529db5a24cca398da2699849a8d
# epoch 250  H=7.9868 C=7.8741 HO=0.0853  A(t)=0
       353  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       243  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       111  ................  abababababababababababababababab
       104  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       103  ................  d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
        95  ................  fafafafafafafafafafafafafafafafa
        81  ................  04040404040404040404040404040404
        65  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
        62  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
        61  ................  05050505050505050505050505050505
# epoch 500  H=7.9626 C=7.8182 HO=0.0902  A(t)=0
       364  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       128  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       120  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        97  ................  ffffffffffffffffffffffffffffffff
        87  ................  96969696969696969696969696969696
        84  ................  95959595959595959595959595959595
        82  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        71  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
        68  ................  0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
        67  ................  01010101010101010101010101010101
# epoch 750  H=7.9361 C=7.7785 HO=0.0968  A(t)=0
       539  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       335  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       196  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       180  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        96  ................  82828282828282828282828282828282
        95  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        86  HHHHHHHHHHHHHHHH  48484848484848484848484848484848
        72  ................  d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
        66  ................  8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d
        59  ................  e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6
# epoch 1000  H=7.9050 C=7.7256 HO=0.1160  A(t)=0
       553  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       398  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       275  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       233  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       120  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        83  ................  89898989898989898989898989898989
        74  ................  8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a
        72  SSSSSSSSSSSSSSSS  53535353535353535353535353535353
        71  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
        71  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
# epoch 1250  H=7.8837 C=7.6980 HO=0.1175  A(t)=208
       519  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       384  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       336  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       141  ................  01010101010101010101010101010101
       126  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       118  ................  ffffffffffffffffffffffffffffffff
       109  ................  82828282828282828282828282828282
        97  JJJJJJJJJJJJJJJJ  4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a
        92  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        84  ................  f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4
# epoch 1500  H=7.8729 C=7.6922 HO=0.1139  A(t)=218
       536  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       326  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       262  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       117  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       111  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
       101  ................  c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2
       101  ................  00000000000000000000000000000000
        91  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        88  ................  fefefefefefefefefefefefefefefefe
        78  ................  b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
# epoch 1750  H=7.8598 C=7.6758 HO=0.1165  A(t)=229
       520  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       510  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       480  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       223  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       159  ................  01010101010101010101010101010101
       119  IIIIIIIIIIIIIIII  49494949494949494949494949494949
       109  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        94  ................  00000000000000000000000000000000
        93  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
        84  EEEEEEEEEEEEEEEE  45454545454545454545454545454545
# epoch 2000  H=7.8518 C=7.6803 HO=0.1056  A(t)=242
       522  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       521  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       255  ................  01010101010101010101010101010101
       185  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       181  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       135  ................  fefefefefefefefefefefefefefefefe
       125  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
