epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,1.289,0.0,7.999916,8.000019,-0.000103,8.000019,8.002464,-0.002548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1867776,0,0,0,0
250,21.279,18.508,7.987072,7.902111,0.084961,7.961269,7.875256,0.111817,807.927,0.568309,0.87811,119.8287,0.085581,0.615196,0.299223,4096000,3309269032,127932,1851984,0,0,0,0
500,41.462,36.973,7.964033,7.888828,0.075205,7.94228,7.836723,0.12731,812.4984,0.670996,0.883392,136.9382,0.08723,0.57364,0.339129,4096000,3327993507,127954,1852149,0,0,0,0
750,60.444,54.897,7.934858,7.848541,0.086317,7.916443,7.78949,0.145369,785.9576,0.735044,0.884401,150.5699,0.084421,0.534226,0.381353,4096000,3219282355,128155,1850722,0,0,0,0
1000,80.044,72.871,7.910962,7.806183,0.104779,7.884476,7.742859,0.168103,782.7248,0.766001,0.886918,166.6427,0.084281,0.509989,0.40573,4096000,3206040808,128042,1848395,0,0,0,0
1250,100.496,91.5,7.888445,7.756912,0.131533,7.846676,7.689312,0.199133,811.5436,0.772737,0.895213,187.9268,0.088076,0.466185,0.44574,4096000,3324082642,128504,1842581,179,179,179,179
1500,122.175,111.529,7.875411,7.755116,0.120296,7.843288,7.684277,0.191135,885.7945,0.775007,0.904682,225.5566,0.09711,0.460682,0.442208,4096000,3628214380,128133,1844113,195,197,195,197
1750,143.709,131.448,7.865937,7.731869,0.134068,7.827084,7.665775,0.200162,907.1282,0.776175,0.90659,243.3684,0.099484,0.461723,0.438793,4096000,3715597003,127225,1841022,219,226,219,226
2000,167.325,153.357,7.857907,7.726707,0.131199,7.819637,7.657421,0.200486,941.6006,0.767478,0.910822,256.1831,0.103672,0.45391,0.442418,4096000,3856795939,127626,1841202,236,251,236,251
2250,190.198,174.672,7.84566,7.714508,0.131152,7.805691,7.646099,0.199561,976.775,0.759226,0.91551,271.5373,0.108133,0.438211,0.453656,4096000,4000870434,127450,1839940,256,274,256,274
2500,213.44,196.303,7.836377,7.703247,0.133129,7.798965,7.633049,0.203328,1000.0219,0.754297,0.917577,280.1922,0.110938,0.434155,0.454907,4096000,4096089688,128054,1840047,260,282,260,282
2750,237.741,218.999,7.826703,7.688911,0.137791,7.783199,7.621067,0.205635,999.43,0.758465,0.917441,278.475,0.110735,0.432435,0.45683,4096000,4093665104,128594,1838417,267,290,267,290
3000,262.345,241.924,7.819647,7.683735,0.135912,7.779514,7.615536,0.204111,1022.5719,0.755665,0.920079,275.7624,0.113611,0.426311,0.460078,4096000,4188454312,128655,1839867,266,292,266,292
3250,286.49,264.375,7.81402,7.6698,0.14422,7.766472,7.599037,0.214982,1047.0202,0.746343,0.923149,293.6084,0.116648,0.409809,0.473543,4096000,4288594673,127559,1836817,271,297,271,297
3500,311.644,288.016,7.81056,7.667721,0.142839,7.766468,7.59877,0.21179,1098.5373,0.744167,0.926173,310.0129,0.122945,0.417162,0.459894,4096000,4499608922,127079,1837760,268,299,268,299
3750,338.302,313.076,7.808247,7.665577,0.14267,7.763054,7.594608,0.213638,1090.1863,0.746998,0.924477,304.6529,0.121702,0.435536,0.442761,4096000,4465403147,127940,1837592,272,302,272,302
4000,363.668,336.918,7.80292,7.667343,0.135577,7.760166,7.599003,0.203917,1075.9452,0.746166,0.923408,307.1093,0.119925,0.436143,0.443932,4096000,4407071384,127712,1838332,277,305,277,305
4250,389.119,360.687,7.800843,7.651035,0.149808,7.75301,7.586575,0.214269,1062.0784,0.74571,0.922812,297.321,0.118247,0.429024,0.452729,4096000,4350273156,128739,1836819,282,311,282,311
4500,415.016,385.152,7.794209,7.641285,0.152924,7.742355,7.572121,0.222089,1089.0785,0.745663,0.924988,311.4665,0.121596,0.427366,0.451038,4096000,4460865599,127950,1836290,276,311,276,311
4750,434.948,403.755,7.784478,7.623562,0.160916,7.728245,7.557671,0.226807,1082.6458,0.735153,0.926283,306.9292,0.121166,0.408936,0.469898,4096000,4434517027,128358,1835116,273,311,273,311
5000,453.124,420.947,7.780957,7.632332,0.148625,7.734493,7.568398,0.21256,1057.0981,0.734595,0.92451,303.9617,0.118028,0.407028,0.474945,4096000,4329873635,127963,1837384,273,311,273,311
5250,471.894,438.665,7.782282,7.628113,0.15417,7.73048,7.558601,0.223681,1110.749,0.744723,0.926297,316.6805,0.124192,0.430361,0.445447,4096000,4549627773,127295,1836065,266,311,266,311
5500,490.8,456.285,7.777881,7.623009,0.154872,7.724266,7.555595,0.222285,1110.5299,0.750587,0.924839,309.5555,0.123973,0.447155,0.428872,4096000,4548730391,127311,1835749,266,311,266,311
5750,509.49,473.618,7.77673,7.621387,0.155342,7.721165,7.552357,0.224373,1066.686,0.742655,0.922908,301.7133,0.118759,0.434537,0.446703,4096000,4369145889,128518,1835659,268,311,268,311
6000,527.563,490.649,7.769543,7.616978,0.152566,7.716618,7.55265,0.216893,1043.8016,0.749366,0.920959,299.9949,0.116122,0.44069,0.443188,4096000,4275411314,128129,1835828,269,311,269,311
6250,545.892,508.123,7.772284,7.621952,0.150332,7.722366,7.559711,0.212573,1062.5331,0.748785,0.922276,300.2232,0.118297,0.441263,0.44044,4096000,4352135754,127595,1836871,265,312,265,312
6500,563.731,525.08,7.768908,7.62392,0.144987,7.723297,7.561523,0.207384,1043.2978,0.749757,0.921607,299.3113,0.116144,0.428188,0.455668,4096000,4273347902,128456,1837128,263,312,263,312
6750,581.644,541.869,7.765773,7.617813,0.14796,7.714432,7.553493,0.21228,1070.2477,0.74421,0.924878,308.8623,0.119513,0.411408,0.469079,4096000,4383734511,127613,1836409,257,312,257,312
7000,599.71,558.514,7.766123,7.613655,0.152468,7.713657,7.55098,0.215143,1049.9089,0.742925,0.923171,292.7706,0.116974,0.414604,0.468422,4096000,4300427004,127762,1835753,253,312,253,312
7250,617.881,575.559,7.76938,7.625343,0.144037,7.726151,7.563004,0.206376,1057.8513,0.739925,0.923832,305.9603,0.118045,0.415753,0.466201,4096000,4332958925,128246,1837706,256,312,256,312
7500,635.872,592.515,7.775704,7.638844,0.13686,7.733231,7.573807,0.201897,1059.5863,0.749316,0.922225,304.4305,0.118034,0.435948,0.446019,4096000,4340065573,128561,1838723,258,312,258,312
7750,654.212,609.615,7.777886,7.632187,0.145699,7.731628,7.566059,0.211827,1069.143,0.747948,0.922889,298.8432,0.118987,0.436802,0.44421,4096000,4379209895,127738,1837328,261,312,261,312
8000,672.065,626.618,7.777399,7.634277,0.143122,7.732269,7.571575,0.205824,1074.1487,0.740657,0.923898,303.0062,0.119756,0.430178,0.450066,4096000,4399713077,127933,1837735,265,312,265,312
8250,690.334,643.808,7.774686,7.622627,0.152059,7.720188,7.557835,0.216851,1067.128,0.749918,0.923011,299.837,0.118874,0.432341,0.448785,4096000,4370956481,128377,1836540,256,312,256,312
8500,708.896,661.146,7.775875,7.6348,0.141075,7.729977,7.571457,0.204418,1084.5028,0.746115,0.923941,305.0887,0.121068,0.43656,0.442373,4096000,4442123533,128182,1838126,250,312,250,312
8750,727.775,678.676,7.774271,7.61916,0.155111,7.720791,7.554867,0.219404,1105.2246,0.741737,0.925546,305.6551,0.123462,0.434274,0.442264,4096000,4526999881,127426,1835692,255,313,255,313
9000,746.591,696.177,7.773728,7.618538,0.15519,7.718819,7.555206,0.218521,1097.7275,0.742559,0.925392,312.4103,0.122708,0.432785,0.444507,4096000,4496291844,128030,1835633,257,313,257,313
9250,765.615,713.929,7.769144,7.610153,0.158991,7.714417,7.54578,0.223364,1119.3458,0.734161,0.927865,316.2827,0.125452,0.417395,0.457154,4096000,4584840442,127736,1836049,261,314,261,314
9500,784.402,731.437,7.763647,7.608364,0.155283,7.712715,7.545807,0.217841,1096.437,0.743537,0.926009,312.5038,0.122621,0.419864,0.457515,4096000,4491005985,127719,1836598,278,316,278,316
9750,802.778,748.482,7.766864,7.619232,0.147632,7.720417,7.553787,0.213077,1080.3999,0.742508,0.925213,307.4476,0.120738,0.416161,0.463101,4096000,4425318095,128398,1837531,278,316,278,316
10000,820.759,765.138,7.76668,7.622314,0.144366,7.718075,7.553677,0.213004,1046.6752,0.734338,0.924235,295.3534,0.116764,0.39756,0.485676,4096000,4287181725,128211,1837298,277,317,277,317
10250,838.315,781.384,7.763712,7.615643,0.148069,7.714001,7.553513,0.210199,1037.4616,0.730182,0.924005,294.5023,0.115641,0.397691,0.486668,4096000,4249442621,128635,1837021,280,317,280,317
10500,856.06,797.833,7.763236,7.621693,0.141543,7.722218,7.560341,0.202895,1037.9969,0.742442,0.922247,295.1501,0.115586,0.419509,0.464905,4096000,4251635177,128040,1838401,280,317,280,317
10750,873.622,814.076,7.769214,7.618248,0.150966,7.717094,7.557285,0.211929,1042.219,0.744255,0.922345,296.6864,0.115989,0.421622,0.462389,4096000,4268928917,127568,1836288,274,317,274,317
11000,891.523,830.702,7.767842,7.620415,0.147427,7.716793,7.555496,0.212345,1051.4566,0.741215,0.92311,300.9252,0.117097,0.419261,0.463642,4096000,4306766057,128596,1836333,268,317,268,317
11250,912.689,850.69,5.139302,1.27449,3.864811,1.685539,1.577576,3.561726,1340.9223,0.746698,0.943705,381.3984,0.149178,0.352091,0.498731,4096000,5492417652,127622,210872,124,317,124,317
11500,990.892,927.869,5.188679,0.540085,4.648594,0.84549,0.854904,4.333775,6144.9426,0.970513,0.990626,1629.9868,0.735636,0.079212,0.185151,4096000,25169685068,129127,27388,6,317,6,317
11750,1092.332,1028.298,5.479015,0.548943,4.930072,0.895374,1.010506,4.468509,8063.4782,0.99663,0.993342,2067.5746,0.982418,0.007522,0.010059,4096000,33028006584,127314,31330,4,317,4,317
12000,1193.639,1128.754,5.786574,0.542458,5.244116,0.908546,1.099667,4.686907,8108.4616,0.997429,0.993623,2035.2399,0.988586,0.003548,0.007866,4096000,33212258865,128297,32818,4,317,4,317
12250,1294.693,1228.848,5.983525,0.533268,5.450257,0.9053,1.153561,4.829965,8118.451,0.997906,0.993825,1998.4985,0.989948,0.003063,0.006989,4096000,33253175224,128170,34353,131,445,131,445
