# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ....$.Z....m.Y._  fffff1bb24d75afc9c16a06d1859ff5f
         1  ...nu..I..N.....  ffffcb6e75adcd498eda4eb4ecef81a1
         1  .........|T2rm.&  ffffb687cfec9ce4a57c5432726dd526
         1  ....d.7.(.A.w..n  ffffb40364ac3701280a41b677ecd56e
         1  ..............c_  ffffb2fe1bc1fad009b1d7be09a3635f
         1  ......m..0..j...  ffffb0d2a7116df78d30f9896aa5a113
         1  .....i.#..v..K@.  ffffa7a31b69aa23e18d76b1914b409a
         1  ......N-....Ka..  ffffa2efaa2e4e2dceba11e44b61f1f0
         1  ......17.6I_....  ffff99ff8b1f313704364920e5a39fd5
         1  ...y.ef.(...".ml  ffff81792e65662e28b30e8522aa6d6c
# epoch 250  H=7.9871 C=7.8753 HO=0.0850  A(t)=0
       360  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       228  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       223  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        85  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
        83  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        81  ................  eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
        77  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        69  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
        68  5555555555555555  35353535353535353535353535353535
        66  ````````````````  60606060606060606060606060606060
# epoch 500  H=7.9640 C=7.8367 HO=0.0752  A(t)=0
       371  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       360  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       270  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       196  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        77  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
        74  ................  dededededededededededededededede
        72  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        71  ................  c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7
        71  ................  82828282828282828282828282828282
        70  ................  16161616161616161616161616161616
# epoch 750  H=7.9349 C=7.7895 HO=0.0863  A(t)=0
       342  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       322  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       262  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       111  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
        90  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        89  ................  83838383838383838383838383838383
        87  ................  b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5
        84  ................  8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a
        82  ................  cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd
        82  """"""""""""""""  22222222222222222222222222222222
# epoch 1000  H=7.9110 C=7.7429 HO=0.1048  A(t)=0
       390  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       293  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       187  eeeeeeeeeeeeeeee  65656565656565656565656565656565
       162  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       132  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        94  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
        89  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
        86  ................  96969696969696969696969696969696
        79  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        73  ................  13131313131313131313131313131313
# epoch 1250  H=7.8884 C=7.6893 HO=0.1315  A(t)=179
       694  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       506  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       389  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       219  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       150  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       119  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
       119  ................  03030303030303030303030303030303
       119  ................  01010101010101010101010101010101
       110  ................  02020202020202020202020202020202
       105  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
# epoch 1500  H=7.8754 C=7.6843 HO=0.1203  A(t)=197
       564  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       505  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       250  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       231  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       172  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       108  ................  abababababababababababababababab
       103  ................  c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1
        79  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
        78  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        74  ................  d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9
# epoch 1750  H=7.8659 C=7.6658 HO=0.1341  A(t)=226
       634  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       475  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       344  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       125  ................  aeaeaeaeaeaeaeaeaeaeaeaeaeaeaeae
       111  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       111  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       110  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       101  ................  cccccccccccccccccccccccccccccccc
        98  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
        96  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
# epoch 2000  H=7.8579 C=7.6574 HO=0.1312  A(t)=251
       653  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       560  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       337  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       220  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       123  ................  04040404040404040404040404040404
       122  ................  01010101010101010101010101010101
       120  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       116  IIIIIIIIIIIIIIII  49494949494949494949494949494949
        96  ................  81818181818181818181818181818181
        95  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
# epoch 2250  H=7.8457 C=7.6461 HO=0.1312  A(t)=274
       725  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       652  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       283  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       256  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       198  ................  ffffffffffffffffffffffffffffffff
       132  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       122  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       115  ................  01010101010101010101010101010101
       112  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
       111  ................  86868686868686868686868686868686
# epoch 2500  H=7.8364 C=7.6330 HO=0.1331  A(t)=282
       609  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       608  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       314  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       280  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       201  ................  01010101010101010101010101010101
       183  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       175  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       141  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
        88  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
        84  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
# epoch 2750  H=7.8267 C=7.6211 HO=0.1378  A(t)=290
       887  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       752  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       523  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       159  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       132  ................  ffffffffffffffffffffffffffffffff
       112  ................  e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6
       108  ................  cccccccccccccccccccccccccccccccc
       104  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       104  ................  02020202020202020202020202020202
        96  ................  01010101010101010101010101010101
# epoch 3000  H=7.8196 C=7.6155 HO=0.1359  A(t)=292
       574  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
