# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  .......c..3.....  fffffc809b1508632ef733b91b8ffeb6
         1  ...u].......c..V  fffff0755d7fd5f5e01cc6b663ffca56
         1  .......a_..s....  ffffdc80affa97615f1d0d739cbe13f1
         1  ...k...(T).#j.._  ffffc06bf2f3df2854291f236a8b8c20
         1  ...^.....E.....A  ffffa15ea0c71f8fbb45a58a00bc8b41
         1  ......q..G....*.  ffffa086e20c71cbf347d69fe3182a97
         1  ....T..4.,]k...o  ffff8dc7549d9c34ad2c5d6be5db876f
         1  ..|\2.........,.  ffff7c5c32fd06bf931abbe3debf2cea
         1  ..|:.N...t.N..F^  ffff7c3ad84e9eb71974b44eaffe465e
         1  ..zP.<.lc.h.....  ffff7a501b3ce96c639f6808a5cbff95
# epoch 250  H=7.9879 C=7.8880 HO=0.0754  A(t)=0
       444  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       142  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       129  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        99  ................  03030303030303030303030303030303
        91  ................  1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a
        83  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        80  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
        71  ................  ecececececececececececececececec
        70  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        64  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
# epoch 500  H=7.9629 C=7.8242 HO=0.0852  A(t)=0
       340  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       263  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       126  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       110  ................  01010101010101010101010101010101
        86  llllllllllllllll  6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c
        71  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        69  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
        67  ffffffffffffffff  66666666666666666666666666666666
        59  oooooooooooooooo  6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f
        58  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
# epoch 750  H=7.9359 C=7.7670 HO=0.1077  A(t)=0
       555  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       297  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       244  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       224  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       109  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
       102  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        86  8888888888888888  38383838383838383838383838383838
        83  ................  a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7
        77  VVVVVVVVVVVVVVVV  56565656565656565656565656565656
        69  ................  dcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdc
# epoch 1000  H=7.9071 C=7.7231 HO=0.1199  A(t)=0
       457  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       354  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       230  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       224  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       152  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       108  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
        97  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        91  ................  d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
        91  dddddddddddddddd  64646464646464646464646464646464
        90  JJJJJJJJJJJJJJJJ  4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a
# epoch 1250  H=7.8852 C=7.6938 HO=0.1260  A(t)=185
       515  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       354  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       284  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       140  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       118  ................  b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2
        96  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        92  3333333333333333  33333333333333333333333333333333
        89  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
        88  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
        87  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
# epoch 1500  H=7.8697 C=7.6656 HO=0.1337  A(t)=211
       551  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       484  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       428  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       268  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       121  ................  0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a
       119  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       119  ................  01010101010101010101010101010101
       117  ................  fefefefefefefefefefefefefefefefe
        88  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        73  ................  81818181818181818181818181818181
# epoch 1750  H=7.8614 C=7.6579 HO=0.1330  A(t)=226
       574  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       372  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       306  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       221  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       135  ................  81818181818181818181818181818181
       110  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
        98  ................  19191919191919191919191919191919
        91  ................  9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f
        86  ****************  2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a
        84  ................  94949494949494949494949494949494
# epoch 2000  H=7.8514 C=7.6542 HO=0.1306  A(t)=243
       662  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       527  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       361  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       154  ................  ffffffffffffffffffffffffffffffff
       130  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       121  ................  ebebebebebebebebebebebebebebebeb
       120  ................  bcbcbcbcbcbcbcbcbcbcbcbcbcbcbcbc
       116  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
       112  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       104  ................  01010101010101010101010101010101
# epoch 2250  H=7.8410 C=7.6389 HO=0.1315  A(t)=266
       516  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       511  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       432  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
