# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ...jD.W}.m*.N.&"  fffffc6a44bc577dcd6d2a9d4ec82622
         1  ....qU.}..z..d..  fffff5807155d87d9cce7a9ac864978b
         1  ....Q(d.].<8.u..  ffffe712512864ac5db63c38b8751d8d
         1  .....#F...Ch..q.  ffffe6d9b523460c93ec43681bad71a9
         1  ...T..ItM...b...  ffffe454fd1049744ddafbbf62d1c5c3
         1  .........2......  ffffd515ed908418a332c99710f4cf0f
         1  ....Bv"..p.&.a.d  ffffaebc42762281a970f1268661c764
         1  ........v.......  ffffa682a59cd0e676c3a3da93c2c5e6
         1  ...];.....U....,  ffff9f5d3b80848da906558609c6d22c
         1  ....Z^.\.....i..  ffff98a95a5ef15c8ffc0bc9ef690e0c
# epoch 250  H=7.9876 C=7.8784 HO=0.0815  A(t)=0
       213  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       118  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       111  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       102  ................  c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6
        99  ................  0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d
        96  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        88  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        82  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        76  ................  11111111111111111111111111111111
        75  ................  e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6
# epoch 500  H=7.9626 C=7.8237 HO=0.0845  A(t)=0
       317  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       304  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       263  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        91  ................  ecececececececececececececececec
        80  ................  01010101010101010101010101010101
        79  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        67  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        67  ................  10101010101010101010101010101010
        66  ................  07070707070707070707070707070707
        64  ````````````````  60606060606060606060606060606060
# epoch 750  H=7.9345 C=7.7703 HO=0.1001  A(t)=0
       433  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       379  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       325  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       163  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       112  ................  93939393939393939393939393939393
       103  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        95  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
        72  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
        71  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
        69  ................  d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4
# epoch 1000  H=7.9072 C=7.7087 HO=0.1286  A(t)=0
       552  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       377  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       318  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       223  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       129  ................  01010101010101010101010101010101
       104  ................  05050505050505050505050505050505
        99  bbbbbbbbbbbbbbbb  62626262626262626262626262626262
        94  ................  87878787878787878787878787878787
        93  ................  8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c
        90  ................  cccccccccccccccccccccccccccccccc
# epoch 1250  H=7.8811 C=7.6646 HO=0.1464  A(t)=201
       686  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       448  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       445  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       236  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       133  ................  ffffffffffffffffffffffffffffffff
       130  ................  01010101010101010101010101010101
       108  ................  94949494949494949494949494949494
       106  ................  e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
       104  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        99  WWWWWWWWWWWWWWWW  57575757575757575757575757575757
# epoch 1500  H=7.8659 C=7.6520 HO=0.1418  A(t)=219
       658  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       587  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       392  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       221  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       153  ................  14141414141414141414141414141414
       132  ................  ffffffffffffffffffffffffffffffff
       129  qqqqqqqqqqqqqqqq  71717171717171717171717171717171
       105  ................  1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c
        91  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
        88  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
# epoch 1750  H=7.8510 C=7.6315 HO=0.1454  A(t)=231
       732  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       487  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       451  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       245  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
       232  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       127  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        99  ................  f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
        94  jjjjjjjjjjjjjjjj  6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a
        94  ................  00000000000000000000000000000000
        93  ................  1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e
# epoch 2000  H=7.8409 C=7.6385 HO=0.1337  A(t)=262
       732  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       535  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       430  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       250  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       111  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       107  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        92  ................  17171717171717171717171717171717
        90  7777777777777777  37373737373737373737373737373737
        87  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        83  ))))))))))))))))  29292929292929292929292929292929
# epoch 2250  H=7.8297 C=7.6145 HO=0.1414  A(t)=277
       850  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       670  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       452  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       224  ................  01010101010101010101010101010101
       174  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       156  8888888888888888  38383838383838383838383838383838
       133  ................  02020202020202020202020202020202
       130  ................  fefefefefefefefefefefefefefefefe
       116  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       109  ((((((((((((((((  28282828282828282828282828282828
# epoch 2500  H=7.8236 C=7.6141 HO=0.1372  A(t)=297
       824  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       581  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       348  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       272  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       140  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       117  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       110  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       106  ................  18181818181818181818181818181818
        96  4444444444444444  34343434343434343434343434343434
        93  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
# epoch 2750  H=7.8205 C=7.6026 HO=0.1470  A(t)=297
       565  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       548  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       497  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
