# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ....O\..>.....q{  fffff7144f5cee803e979c1d80ab717b
         1  .......&xG..V.!.  ffffda11e0e0812678470adb56e92184
         1  ...P.3d.4X...-W{  ffffd950e333640e3458d3e5a72d577b
         1  ...q....3.Q.....  ffffcf71a5e1edf533ad51b5eb91b2d3
         1  ....|x..y..=....  ffffc9b67c7881ec791ac83d10e7aa04
         1  ....h....C.....5  ffffaec9680f0ce59a43aef7d5cfca35
         1  ......x.k..>.UVG  ffff98a715e7788b6bc3d73e86555647
         1  .........Q......  ffff92e6b6f5b77fc2518ceaf4c68a2e
         1  ........I}......  ffff88ab10cab7ca497de60da3ff8d8d
         1  .......kK_.U..@.  ffff861d81bae16b4b5fc555d8034005
# epoch 250  H=7.9881 C=7.8797 HO=0.0828  A(t)=0
       215  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       208  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       179  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       104  ................  cacacacacacacacacacacacacacacaca
        98  ................  93939393939393939393939393939393
        81  ................  dededededededededededededededede
        68  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
        65  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        56  ................  c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
        55  ________________  20202020202020202020202020202020
# epoch 500  H=7.9678 C=7.8360 HO=0.0808  A(t)=0
       229  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       182  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       154  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       133  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       113  ................  83838383838383838383838383838383
        98  ................  cececececececececececececececece
        93  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        85  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
        81  ))))))))))))))))  29292929292929292929292929292929
        73  SSSSSSSSSSSSSSSS  53535353535353535353535353535353
# epoch 750  H=7.9408 C=7.7784 HO=0.1015  A(t)=0
       451  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       334  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       184  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       181  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        95  ................  c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
        92  2222222222222222  32323232323232323232323232323232
        91  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
        81  ................  e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
        75  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
        75  ................  e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
# epoch 1000  H=7.9105 C=7.7303 HO=0.1157  A(t)=0
       563  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       510  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       344  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       182  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       119  ................  03030303030303030303030303030303
        96  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
        88  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
        82  ................  d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7
        80  ................  11111111111111111111111111111111
        68  ................  1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d
# epoch 1250  H=7.8872 C=7.6978 HO=0.1221  A(t)=207
       620  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       599  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       292  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       133  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       108  ................  ffffffffffffffffffffffffffffffff
        99  zzzzzzzzzzzzzzzz  7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a
        93  ................  02020202020202020202020202020202
        92  ................  efefefefefefefefefefefefefefefef
        88  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
