# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ...x&......o%...  fffff37826eb1e90a2ef7f6f250aa098
         1  .....fU.a"rS....  fffff30fba665506612272531dd4c184
         1  ...fQ.:\...&}@-X  fffff06651eb3a5ce5138c267d402d58
         1  ...[.gJ..0..~.e7  fffff05bce674a8f85301bbd7efb6537
         1  .....o.KC......}  ffffe7c2b26fd74b43f6881ea3e9017d
         1  ....t...C...A...  ffffce0874b182e043e5daeb412e90e7
         1  ....&...#....Bvx  ffffc79d26911312237f8bb98b427678
         1  ...#.#.........8  ffffb623ae231be9cb90ca98d7901038
         1  ...*..EV{....D.#  ffffaf2a0fc045567bf5970616448023
         1  .....G..w.r%.,.?  ffffaaa7fe47ff8277137225022c1b3f
# epoch 250  H=7.9947 C=7.6732 HO=0.3091  A(t)=0
       988  ................  ffffffffffffffffffffffffffffffff
       980  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       878  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       776  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       557  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       537  ................  01010101010101010101010101010101
       487  ................  fefefefefefefefefefefefefefefefe
       462  ''''''''''''''''  27272727272727272727272727272727
       432  gggggggggggggggg  67676767676767676767676767676767
       427  """"""""""""""""  22222222222222222222222222222222
# epoch 500  H=7.9804 C=7.5116 HO=0.4541  A(t)=0
      1478  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1464  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1257  ................  01010101010101010101010101010101
      1010  ................  ffffffffffffffffffffffffffffffff
       992  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       858  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       813  ................  fefefefefefefefefefefefefefefefe
       769  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       762  ................  13131313131313131313131313131313
       562  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
# epoch 750  H=7.9562 C=7.4064 HO=0.5259  A(t)=0
      2371  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1555  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1298  ................  01010101010101010101010101010101
      1263  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       848  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       833  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       610  ................  ffffffffffffffffffffffffffffffff
       522  ................  cfcfcfcfcfcfcfcfcfcfcfcfcfcfcfcf
       472  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
       451  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
# epoch 1000  H=7.9299 C=7.3789 HO=0.5171  A(t)=0
      2805  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      2322  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       915  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       817  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       620  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       593  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       589  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       576  ................  ffffffffffffffffffffffffffffffff
       556  ................  01010101010101010101010101010101
       417  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 1250  H=7.9017 C=7.3596 HO=0.4949  A(t)=271
      2126  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1609  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       824  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       809  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       787  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       643  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       591  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       423  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       385  6666666666666666  36363636363636363636363636363636
       375  ................  ffffffffffffffffffffffffffffffff
# epoch 1500  H=7.8754 C=7.3422 HO=0.4777  A(t)=286
      2287  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      2282  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1021  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       770  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       642  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       641  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       508  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       491  ................  03030303030303030303030303030303
       457  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       424  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
