epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,1.642,0.0,7.999897,8.000019,-0.000122,8.000019,8.002464,-0.002567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1867776,0,0,0,0
250,17.366,13.705,7.994682,7.64859,0.346092,7.720844,7.637714,0.356968,549.4864,0.497702,0.823602,69.9013,0.053672,0.611795,0.334533,4096000,2250696380,128699,1783275,0,0,0,0
500,32.984,27.739,7.983505,7.514812,0.468692,7.628822,7.497845,0.48566,523.1111,0.482075,0.820034,79.2618,0.051547,0.606234,0.342219,4096000,2142662977,127742,1768163,0,0,0,0
750,47.954,41.101,7.966351,7.457001,0.50935,7.607491,7.438297,0.528054,520.2437,0.47379,0.823741,85.941,0.051783,0.589457,0.358759,4096000,2130918203,128335,1769430,0,0,0,0
1000,64.585,56.257,7.942443,7.426456,0.515987,7.605564,7.395725,0.546718,520.1343,0.481472,0.825229,94.4595,0.051961,0.585446,0.362594,4096000,2130469937,127488,1773539,0,0,0,0
1250,81.362,71.525,7.915712,7.402359,0.513353,7.593678,7.361092,0.55462,524.1061,0.501839,0.824526,103.2424,0.052354,0.598848,0.348797,4096000,2146738616,127544,1776240,263,263,263,263
1500,97.61,86.05,7.886591,7.388245,0.498347,7.58527,7.336132,0.550459,541.1439,0.522756,0.827927,116.0106,0.054351,0.611839,0.33381,4096000,2216525359,128330,1779322,273,276,273,276
1750,114.68,101.384,7.851695,7.338039,0.513655,7.53915,7.279705,0.57199,547.0409,0.552405,0.824958,130.3738,0.054739,0.640382,0.304879,4096000,2240679634,127693,1774014,284,288,284,288
2000,131.81,116.64,7.814316,7.336109,0.478207,7.536701,7.270344,0.543973,557.6518,0.595242,0.821705,146.5073,0.05565,0.678185,0.266165,4096000,2284141621,127796,1781800,297,304,297,304
2250,150.915,133.958,7.779728,7.343147,0.43658,7.529003,7.263214,0.516514,582.9321,0.631116,0.823575,164.966,0.058353,0.714467,0.22718,4096000,2387689698,127468,1787738,299,313,299,313
2500,170.056,151.487,7.742746,7.33683,0.405916,7.516285,7.256008,0.486738,618.0318,0.67373,0.827202,191.9524,0.06215,0.755608,0.182241,4096000,2531458307,128108,1793575,296,316,296,316
2750,189.05,168.457,7.715989,7.344166,0.371824,7.516224,7.264744,0.451246,646.2344,0.714166,0.829253,212.1402,0.065196,0.792418,0.142386,4096000,2646975958,128218,1800745,297,324,297,324
3000,208.811,186.731,7.687242,7.349155,0.338087,7.514774,7.274025,0.413217,665.5129,0.745453,0.83085,229.0701,0.067241,0.815436,0.117323,4096000,2725940959,127655,1807066,294,325,294,325
3250,230.341,206.447,7.669582,7.364567,0.305015,7.523346,7.294201,0.375381,680.0253,0.77156,0.832329,234.801,0.068818,0.831589,0.099593,4096000,2785383634,128429,1812792,288,327,288,327
3500,251.489,226.013,7.654113,7.387104,0.267008,7.533039,7.314888,0.339225,685.7579,0.786036,0.833052,237.5996,0.069528,0.836279,0.094193,4096000,2808864468,128343,1818460,288,330,288,330
3750,272.382,245.332,7.643714,7.412975,0.230739,7.543655,7.34103,0.302684,679.8003,0.793625,0.830912,239.2237,0.068744,0.841632,0.089624,4096000,2784462177,127330,1824347,282,330,282,330
4000,294.601,265.709,7.637374,7.410332,0.227042,7.539463,7.341446,0.295928,693.2353,0.799616,0.834143,242.348,0.070319,0.841113,0.088568,4096000,2839491876,127771,1824126,276,331,276,331
4250,315.165,285.009,7.627204,7.409172,0.218032,7.534321,7.344795,0.282409,694.2062,0.804805,0.834446,242.0474,0.070493,0.840286,0.08922,4096000,2843468761,127819,1824657,267,331,267,331
4500,336.222,304.817,7.623293,7.420399,0.202894,7.53862,7.356827,0.266466,686.8745,0.81365,0.832066,239.8575,0.069578,0.844951,0.085471,4096000,2813437834,128187,1826897,261,331,261,331
4750,358.495,325.471,7.617351,7.427261,0.19009,7.53738,7.367805,0.249546,699.6477,0.818032,0.834991,243.7545,0.071063,0.845117,0.08382,4096000,2865757089,127616,1829101,260,331,260,331
5000,380.48,345.473,7.604082,7.41201,0.192072,7.526806,7.359966,0.244116,714.0248,0.821792,0.838271,246.0065,0.072822,0.845091,0.082087,4096000,2924645708,128333,1828649,259,331,259,331
5250,397.48,361.041,7.597786,7.395302,0.202485,7.509933,7.343826,0.25396,717.6345,0.826355,0.839154,248.8122,0.073264,0.844614,0.082122,4096000,2939430921,128450,1824589,259,332,259,332
5500,413.342,375.602,7.594329,7.389595,0.204734,7.506542,7.340794,0.253536,716.6479,0.82845,0.838934,247.3031,0.073219,0.844421,0.08236,4096000,2935389668,127670,1825055,260,332,260,332
5750,429.002,389.951,7.587853,7.393112,0.194741,7.506676,7.340248,0.247605,717.2708,0.82862,0.839125,246.6441,0.073334,0.844049,0.082618,4096000,2937941284,127737,1827221,265,333,265,333
6000,445.165,404.693,7.579031,7.379642,0.199389,7.493763,7.329571,0.24946,730.5236,0.832451,0.842441,254.7168,0.074988,0.840069,0.084943,4096000,2992224514,128412,1826217,256,334,256,334
6250,461.385,420.049,7.569528,7.370827,0.198701,7.487003,7.322723,0.246805,738.3857,0.840173,0.844128,255.992,0.075901,0.839414,0.084685,4096000,3024427924,128059,1825926,262,335,262,335
6500,477.353,434.681,7.572174,7.368996,0.203178,7.48093,7.320763,0.251411,738.5437,0.844493,0.844257,254.152,0.075974,0.838347,0.085679,4096000,3025075059,128110,1824317,267,337,267,337
6750,493.938,449.711,7.57477,7.362522,0.212248,7.481201,7.320328,0.254443,731.5473,0.845032,0.843458,255.214,0.075175,0.832952,0.091872,4096000,2996417876,127688,1823171,267,337,267,337
7000,510.388,464.641,7.567895,7.363636,0.204259,7.478329,7.319378,0.248517,725.9491,0.841951,0.84241,253.5739,0.07449,0.831594,0.093916,4096000,2973487592,127973,1825531,266,337,266,337
7250,526.366,479.302,7.570381,7.349644,0.220738,7.470791,7.304398,0.265984,717.982,0.84769,0.840436,251.0908,0.073489,0.83273,0.093781,4096000,2940854410,128315,1821994,270,337,270,337
7500,543.427,494.893,7.572716,7.360527,0.212189,7.477833,7.313175,0.259541,721.0292,0.85371,0.841092,250.5979,0.073951,0.833579,0.09247,4096000,2953335613,127665,1824477,269,338,269,338
7750,559.709,510.205,7.57103,7.354755,0.216274,7.473053,7.308918,0.262112,723.0254,0.853352,0.841779,251.8879,0.074198,0.831955,0.093847,4096000,2961511894,127938,1822903,268,338,268,338
8000,575.286,524.833,7.567519,7.347542,0.219977,7.464012,7.300804,0.266714,720.3108,0.854104,0.841129,247.0152,0.073935,0.83228,0.093785,4096000,2950393160,127382,1821686,262,338,262,338
8250,590.972,539.09,7.566861,7.337524,0.229336,7.458691,7.293449,0.273411,710.7988,0.854807,0.839145,245.0877,0.072784,0.831448,0.095767,4096000,2911432031,128413,1820429,263,338,263,338
8500,606.543,553.264,7.553076,7.32626,0.226817,7.447624,7.281967,0.271109,703.5991,0.852571,0.837983,240.6128,0.071985,0.828223,0.099791,4096000,2881942031,127987,1821108,262,339,262,339
8750,622.845,568.217,7.545394,7.314785,0.230609,7.432888,7.268253,0.277141,688.8414,0.854913,0.834814,232.9039,0.070172,0.825978,0.10385,4096000,2821494381,128217,1819503,268,341,268,341
9000,638.487,582.614,7.539009,7.317768,0.221241,7.431145,7.268684,0.270325,684.0007,0.858207,0.833247,230.7061,0.069559,0.828838,0.101603,4096000,2801666746,127435,1821144,269,342,269,342
9250,654.174,596.886,7.532378,7.311184,0.221194,7.429661,7.26759,0.264788,676.7835,0.861658,0.831283,232.9505,0.068682,0.830861,0.100458,4096000,2772105129,127640,1821808,275,343,275,343
9500,670.445,611.547,7.526532,7.305756,0.220777,7.423683,7.262367,0.264165,675.5005,0.86101,0.830711,234.6278,0.068499,0.832533,0.098968,4096000,2766849922,127888,1821916,279,344,279,344
9750,685.472,625.124,7.519009,7.301495,0.217514,7.421524,7.258675,0.260334,665.2566,0.857491,0.828722,230.0058,0.067258,0.828123,0.10462,4096000,2724890974,127720,1822424,286,345,286,345
10000,700.318,638.703,7.51855,7.294838,0.223712,7.415302,7.25045,0.268099,665.6955,0.859899,0.828942,234.3033,0.067324,0.827754,0.104923,4096000,2726688883,127295,1821481,284,345,284,345
10250,716.163,653.325,7.519674,7.284199,0.235475,7.404728,7.239021,0.280653,663.4278,0.856444,0.828712,235.2981,0.067024,0.825559,0.107417,4096000,2717400409,128127,1818365,282,345,282,345
10500,731.543,667.308,7.51771,7.27499,0.24272,7.398239,7.229843,0.287867,665.0781,0.858171,0.829055,237.548,0.067214,0.826609,0.106177,4096000,2724159988,128165,1817074,281,345,281,345
10750,747.48,681.795,7.512412,7.274708,0.237704,7.397625,7.229107,0.283305,680.1889,0.858651,0.8336,246.0076,0.069124,0.82059,0.110286,4096000,2786053640,128095,1817411,283,345,283,345
11000,762.688,696.061,7.522227,7.285088,0.237139,7.404575,7.234371,0.287855,695.5828,0.854103,0.837697,249.285,0.071014,0.817281,0.111705,4096000,2849107103,128111,1818032,290,350,290,350
11250,778.973,711.025,7.516535,7.276222,0.240313,7.404171,7.231064,0.285471,688.3428,0.852561,0.836341,246.9383,0.07016,0.815502,0.114338,4096000,2819452033,128283,1817875,284,350,284,350
11500,794.644,725.577,7.51194,7.270466,0.241474,7.395985,7.22316,0.28878,694.5391,0.857457,0.837371,253.4705,0.070921,0.818666,0.110413,4096000,2844832329,127929,1817470,283,350,283,350
11750,811.043,740.546,7.513597,7.254429,0.259168,7.382202,7.207024,0.306573,699.5145,0.859052,0.838038,259.0276,0.07154,0.822767,0.105692,4096000,2865211565,127759,1814428,284,352,284,352
12000,827.43,755.542,7.510068,7.251881,0.258188,7.379864,7.204792,0.305276,684.58,0.86235,0.834199,251.9999,0.06966,0.824598,0.105742,4096000,2804039775,128373,1814794,282,352,282,352
12250,843.279,769.933,7.508217,7.262524,0.245693,7.390121,7.216042,0.292175,676.292,0.863444,0.831468,249.9624,0.068585,0.829605,0.10181,4096000,2770092156,128036,1818142,284,354,284,354
12500,859.281,784.478,7.513357,7.282364,0.230993,7.407593,7.234924,0.278433,666.309,0.863558,0.82911,245.4414,0.067371,0.828871,0.103758,4096000,2729201691,128159,1821749,276,354,276,354
12750,874.988,799.138,7.51457,7.293087,0.221483,7.412266,7.243481,0.271089,653.3539,0.861591,0.826226,242.645,0.065827,0.82599,0.108183,4096000,2676137484,128658,1821813,279,356,279,356
13000,890.715,813.369,7.511099,7.287975,0.223124,7.406879,7.242764,0.268336,654.4473,0.857874,0.826975,245.7894,0.066019,0.822537,0.111444,4096000,2680616324,127782,1821270,281,356,281,356
13250,906.334,827.615,7.510743,7.290493,0.22025,7.405933,7.245087,0.265656,649.5261,0.864243,0.824954,242.4254,0.065366,0.827375,0.107259,4096000,2660458774,127539,1821947,278,356,278,356
13500,922.4,842.121,7.50634,7.272747,0.233593,7.391354,7.228008,0.278332,655.1273,0.868571,0.826185,247.5011,0.066054,0.828719,0.105227,4096000,2683401306,128507,1817747,278,356,278,356
13750,938.001,856.708,7.507856,7.278175,0.22968,7.401863,7.234314,0.273542,650.8348,0.87427,0.825251,250.5509,0.065553,0.827333,0.107114,4096000,2665819191,128160,1820159,282,356,282,356
14000,953.817,871.211,7.50016,7.268604,0.231556,7.393337,7.225235,0.274925,649.0846,0.875323,0.824934,246.7595,0.065346,0.826115,0.108538,4096000,2658650373,128229,1820246,288,359,288,359
14250,969.332,885.715,7.493441,7.255577,0.237864,7.380894,7.215214,0.278228,653.7859,0.871118,0.82683,250.0308,0.065976,0.821982,0.112043,4096000,2677907036,127511,1817806,288,359,288,359
14500,984.608,899.867,7.493734,7.254116,0.239618,7.38002,7.212193,0.281542,657.4007,0.869529,0.828288,249.9496,0.066461,0.818938,0.114602,4096000,2692713070,127025,1817106,289,359,289,359
14750,999.89,913.87,7.495448,7.248413,0.247035,7.374279,7.205166,0.290282,636.3214,0.870294,0.822982,242.4932,0.063914,0.816292,0.119794,4096000,2606372311,127914,1815881,290,359,290,359
15000,1015.553,928.458,7.497832,7.248436,0.249396,7.373077,7.201717,0.296115,638.1713,0.866936,0.823898,241.8022,0.064198,0.813782,0.12202,4096000,2613949730,128086,1814477,297,360,297,360
15250,1030.53,942.237,7.486217,7.232964,0.253254,7.363949,7.190811,0.295406,633.6462,0.871927,0.821375,240.3843,0.063538,0.822835,0.113627,4096000,2595414891,127999,1815088,302,362,302,362
15500,1045.988,956.213,7.48373,7.244305,0.239425,7.370926,7.201519,0.282211,628.9643,0.873277,0.819499,237.4373,0.062865,0.826738,0.110397,4096000,2576237692,128117,1817807,302,363,302,363
15750,1061.849,970.758,7.483369,7.237095,0.246274,7.356247,7.188683,0.294686,627.6931,0.867125,0.820334,239.0086,0.062812,0.818722,0.118466,4096000,2571030860,128019,1815244,310,368,310,368
