# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ....P.7...`...O.  ffffff0550fb37dccdd460a81de44f8d
         1  ...............c  fffffbb5d8ee1eab8485dd93f1140063
         1  ...;H..orB.qP...  fffff93b4817ad6f7242917150ecb295
         1  ......1r...4...N  fffff0fb11a53172f69c8a34071ad84e
         1  ....hM...8..c...  ffffe9a7684d018c8d38f11863b9e1c8
         1  ......S........t  ffffc2efd2b7539608d20de62e15fc74
         1  ....D.eh...d....  ffffc10344966568179e0964d808cd9c
         1  ....}%.V.Q.&.*C*  ffffbb2e7d25a756b751f2260c2a432a
         1  .....B..?.a.O[..  ffffb1eb8b42fffc3fe8610b4f5ba1c6
         1  .......&6..$....  ffffa288cddcb226369ddd2414c4fd86
# epoch 250  H=7.9959 C=7.6667 HO=0.3166  A(t)=0
      1625  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       788  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
       694  ................  01010101010101010101010101010101
       621  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       491  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       461  ................  ffffffffffffffffffffffffffffffff
       451  ................  dadadadadadadadadadadadadadadada
       415  ................  a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
       392  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       390  ................  12121212121212121212121212121212
