# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ...s...$.8...D..  fffffd73c2bd0524d438d49f8544ced4
         1  ...,.d...A.Wo..g  fffffd2ce064daef2e418c576fc01067
         1  .........+.<...=  fffffb05f615f4c3b22b133caae60f3d
         1  ......."EB....MA  fffff884affb122245421fd7c5c34d41
         1  .....X....`.r...  ffffd616b058eff3a80f6081728212cd
         1  ....p.+s=.Q..pEr  ffffceb470852b733d8151b9c5704572
         1  ....0..M..B...*.  ffffaf9f301a0f4dbecd428789ea2ab9
         1  .....7{u...a.H+M  fffface998377b75ee96db619a482b4d
         1  ....7......O....  ffffa6dd37f08eaf19f5894f1db4a207
         1  .....|.Cq0.1....  ffffa3b60e7ca8437130f731c0c6f7f6
# epoch 250  H=7.9947 C=7.6429 HO=0.3415  A(t)=0
      1065  ................  ffffffffffffffffffffffffffffffff
       960  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       868  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       858  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       849  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
       811  ................  01010101010101010101010101010101
       562  ................  05050505050505050505050505050505
       546  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       439  ................  e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
       432  ................  fefefefefefefefefefefefefefefefe
# epoch 500  H=7.9819 C=7.5129 HO=0.4565  A(t)=0
      1373  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1258  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1089  ................  01010101010101010101010101010101
       955  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       790  PPPPPPPPPPPPPPPP  50505050505050505050505050505050
       663  ................  ffffffffffffffffffffffffffffffff
       581  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       449  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
       429  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       413  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 750  H=7.9612 C=7.4481 HO=0.4912  A(t)=0
      1896  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1406  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
      1134  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
      1133  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       733  ................  ffffffffffffffffffffffffffffffff
       660  ................  01010101010101010101010101010101
       595  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       415  ................  fefefefefefefefefefefefefefefefe
       379  ................  92929292929292929292929292929292
       351  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
# epoch 1000  H=7.9379 C=7.4086 HO=0.4987  A(t)=0
      1799  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1638  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1139  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
