# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ....e........>@.  ffffecf665ab0df9c7a8d000be3e4018
         1  .....Zu-3.c...~.  ffffd4039e5a752d338063c206ca7e9d
         1  ...H.E...h]R...K  ffffd248df45a3f488685d52b293fa4b
         1  .....H......1e.U  ffffc18db248059c14a6cfa631659255
         1  .......So.i...03  ffffb918c4b78f536fba698f99b03033
         1  .............V.S  ffffb913a6871a7f05a000988d56c253
         1  ...:........_...  ffffb73ad01a02cd0efd151f200ff29a
         1  .......>2.Uqz1..  ffffa8d8900ee13e32a055717a3107ff
         1  ...C3...aA..."Tg  ffffa04333eadbcd61418b8402225467
         1  ...t.`..B].=..8.  ffff9d74aa609a88425df13dfe8a38d2
# epoch 250  H=7.9950 C=7.6727 HO=0.3105  A(t)=0
      1410  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       861  ................  ffffffffffffffffffffffffffffffff
       815  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       796  ................  d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
       746  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       611  ................  01010101010101010101010101010101
       502  ................  02020202020202020202020202020202
       487  ................  babababababababababababababababa
       407  ................  a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5
       393  mmmmmmmmmmmmmmmm  6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d
# epoch 500  H=7.9821 C=7.5294 HO=0.4452  A(t)=0
      1911  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1467  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1172  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       737  ................  ffffffffffffffffffffffffffffffff
       724  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       642  ................  01010101010101010101010101010101
       618  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       562  ................  fefefefefefefefefefefefefefefefe
       555  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
       502  ................  03030303030303030303030303030303
# epoch 750  H=7.9641 C=7.4183 HO=0.5277  A(t)=0
      1567  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1546  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1128  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       878  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       834  ................  01010101010101010101010101010101
       592  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       568  ................  ffffffffffffffffffffffffffffffff
       536  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       479  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       415  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 1000  H=7.9412 C=7.3657 HO=0.5463  A(t)=0
      2012  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1660  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1158  ................  01010101010101010101010101010101
       940  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       913  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
