# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
         1  ...<....^.p.d..1  fffff33cf4fcdbc95ee6708964d29931
         1  ..........7.g.f.  fffff315850906e10214371767ec66c7
         1  .....9U.I...Z.g.  fffff1f2d03955f64983cebe5aec67aa
         1  .......=kb.ax..9  ffffeb1e9a1fb93d6b62e76178f9e239
         1  ....O.....N.^A..  ffffe92e4ff69cb6109f4e155e41958d
         1  .....7.m......c.  ffffe4a08a378e6dd3d5d410ad0d63c7
         1  ........<e.Fh...  ffffd9c50c8cc8c63c65f44668ea95e5
         1  ....(.1...../df.  ffffc7b528ef3197c8feafe52f646603
         1  .....v....4...r.  ffffbfda08769510e7c034bd1c8f72be
         1  ....(A.V.{.....]  ffffb1f92841eb56d57bb4ab1e0caf5d
# epoch 250  H=7.9960 C=7.6610 HO=0.3230  A(t)=0
      1099  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       722  ................  fefefefefefefefefefefefefefefefe
       653  iiiiiiiiiiiiiiii  69696969696969696969696969696969
       650  ................  06060606060606060606060606060606
       571  ................  ffffffffffffffffffffffffffffffff
       532  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       513  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       488  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       460  ................  f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1
       445  ................  01010101010101010101010101010101
# epoch 500  H=7.9827 C=7.5041 HO=0.4677  A(t)=0
      2051  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1333  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       925  ................  ffffffffffffffffffffffffffffffff
       829  ................  fefefefefefefefefefefefefefefefe
       671  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       605  ................  02020202020202020202020202020202
       552  ................  01010101010101010101010101010101
       526  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       521  ................  fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd
       462  ffffffffffffffff  66666666666666666666666666666666
# epoch 750  H=7.9635 C=7.4257 HO=0.5196  A(t)=0
      2598  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1628  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       946  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       863  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       799  ................  01010101010101010101010101010101
       752  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       558  ................  02020202020202020202020202020202
       524  ................  04040404040404040404040404040404
       478  ................  ffffffffffffffffffffffffffffffff
       464  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
# epoch 1000  H=7.9384 C=7.3967 HO=0.5126  A(t)=0
      2588  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      2054  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1014  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       964  ................  ffffffffffffffffffffffffffffffff
       788  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       775  ................  01010101010101010101010101010101
       715  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       566  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       407  ................  fefefefefefefefefefefefefefefefe
       358  ................  04040404040404040404040404040404
# epoch 1250  H=7.9150 C=7.3773 HO=0.4989  A(t)=264
      2174  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      2078  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1004  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       946  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       865  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       823  ................  ffffffffffffffffffffffffffffffff
       785  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       566  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       402  ................  98989898989898989898989898989898
       402  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 1500  H=7.8910 C=7.3443 HO=0.4991  A(t)=271
      2002  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1967  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1031  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       798  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       735  ................  ffffffffffffffffffffffffffffffff
       716  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       567  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       562  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       453  ................  01010101010101010101010101010101
       446  9999999999999999  39393939393939393939393939393939
# epoch 1750  H=7.8605 C=7.3199 HO=0.4825  A(t)=296
      2216  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      2027  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       950  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       943  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       857  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       609  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       578  ................  01010101010101010101010101010101
       572  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       506  ................  ffffffffffffffffffffffffffffffff
       499  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
# epoch 2000  H=7.8293 C=7.2897 HO=0.4762  A(t)=300
      2723  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1616  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1040  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       916  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       854  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       809  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       805  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       460  ................  ffffffffffffffffffffffffffffffff
       421  NNNNNNNNNNNNNNNN  4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e
       401  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
# epoch 2250  H=7.8005 C=7.2730 HO=0.4590  A(t)=311
      2382  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1721  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1096  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       765  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       759  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       690  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       463  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       444  {{{{{{{{{{{{{{{{  7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b
       395  ................  ffffffffffffffffffffffffffffffff
       383  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 2500  H=7.7705 C=7.2660 HO=0.4315  A(t)=318
      1765  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1223  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       916  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       909  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       812  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       663  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       406  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       387  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       352  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       270  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
# epoch 2750  H=7.7385 C=7.2717 HO=0.3899  A(t)=322
      1758  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1072  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       919  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       752  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       673  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       406  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       364  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
       327  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       305  ................  ffffffffffffffffffffffffffffffff
       297  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
# epoch 3000  H=7.7097 C=7.2573 HO=0.3757  A(t)=324
      1432  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
      1155  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       944  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       854  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       819  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       475  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       365  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       289  ????????????????  3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f
       271  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
       260  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 3250  H=7.6863 C=7.2661 HO=0.3475  A(t)=328
      1735  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
      1363  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       831  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       800  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       722  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       681  ................  f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3
       573  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       478  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       269  3333333333333333  33333333333333333333333333333333
