epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,copies_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive,distinct_tapes,distinct_labels
5500,1.271,0.0,6.863742,0.510708,6.353035,0.882133,1.199959,5.663784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,34624,0,0,0,0,2970,251
5750,115.146,112.773,6.910622,0.505623,6.404999,0.879562,1.220406,5.690216,8126.6044,0.999595,0.996638,2824.1142,986.3424,0.991401,0.000723,0.007876,4096000,33286571721,128221,35581,0,0,0,0,2976,163
6000,228.312,224.921,6.952254,0.494396,6.457858,0.86972,1.234531,5.717723,8137.2283,0.999558,0.996664,2826.5161,956.3621,0.992799,0.000888,0.006313,4096000,33330087199,128024,34465,0,0,0,0,2844,114
6250,341.517,337.074,6.974106,0.502735,6.471371,0.872066,1.21331,5.760796,8117.985,0.999562,0.996586,2783.1004,913.0847,0.990103,0.004583,0.005314,4096000,33251266720,127693,34464,0,0,0,0,2849,93
6500,454.529,449.007,7.051844,0.495239,6.556605,0.87817,1.217659,5.834185,8145.1606,0.999579,0.996617,2747.8969,877.4237,0.993875,0.000911,0.005214,4096000,33362577835,127708,34170,1062,1062,1062,1062,2809,71
6750,567.193,560.707,7.087603,0.500122,6.587481,0.863834,1.229282,5.858321,8151.6033,0.999566,0.996598,2720.2119,841.8396,0.994728,0.000656,0.004615,4096000,33388966915,128109,35086,1208,1543,1208,1543,2829,65
7000,679.503,671.969,7.13546,0.504593,6.630867,0.874519,1.209351,5.926109,8137.995,0.999521,0.996521,2645.9275,780.8598,0.992749,0.001998,0.005253,4096000,33333227425,128193,34889,1079,1954,1079,1954,2938,59
7250,790.421,781.732,7.201088,0.505573,6.695515,0.881027,1.23848,5.962609,8034.4898,0.999538,0.996413,2585.3224,747.4227,0.978173,0.006854,0.014973,4096000,32909270318,127977,36140,1087,2364,1087,2364,3251,53
7500,901.059,891.227,7.257872,0.508942,6.74893,0.889721,1.277843,5.980028,8017.5897,0.999537,0.996422,2580.4542,757.8325,0.976002,0.006295,0.017704,4096000,32840047264,128235,37750,1099,2736,1099,2736,3429,48
7750,1011.095,1000.161,7.263298,0.506012,6.757286,0.882595,1.226707,6.03659,8003.2799,0.999523,0.996411,2569.4185,756.7502,0.973738,0.006522,0.01974,4096000,32781434388,127886,35300,1122,3193,1122,3193,3173,40
8000,1121.233,1109.231,7.286559,0.505886,6.780673,0.880394,1.239941,6.046619,7999.3385,0.99951,0.996426,2571.4122,739.3384,0.971868,0.012875,0.015257,4096000,32765290326,127559,35600,1185,3652,1185,3652,2978,38
8250,1231.828,1218.769,7.313944,0.513195,6.800749,0.913834,1.304665,6.009279,8038.562,0.999532,0.996423,2546.6427,714.1334,0.977676,0.012358,0.009966,4096000,32925949979,128025,36412,1210,4113,1210,4113,3102,38
8500,1342.692,1328.568,7.324133,0.51379,6.810343,0.895805,1.251797,6.072336,8028.1858,0.999553,0.99639,2523.5296,702.9769,0.9773,0.013158,0.009542,4096000,32883448881,127649,35401,1185,4500,1185,4500,3128,35
8750,1454.298,1439.074,7.338242,0.509789,6.828453,0.902618,1.280327,6.057915,8057.518,0.999573,0.996441,2541.3599,724.8556,0.981251,0.010261,0.008488,4096000,33003593751,128159,36354,1150,4898,1150,4898,3031,35
9000,1565.236,1548.953,7.400404,0.505482,6.894923,0.897861,1.250278,6.150126,8095.5023,0.999542,0.99644,2524.5322,712.8847,0.986377,0.008652,0.00497,4096000,33159177420,128274,35143,1205,5358,1205,5358,2971,35
9250,1676.42,1659.044,7.41821,0.508698,6.909513,0.896294,1.278339,6.139871,8139.8627,0.999397,0.996419,2472.9841,705.6275,0.992992,0.00207,0.004938,4096000,33340877732,128170,35542,1221,5810,1221,5810,2965,35
9500,1787.189,1768.947,7.43061,0.513283,6.917327,0.905117,1.261311,6.169299,8151.2162,0.999451,0.996415,2502.4331,722.8512,0.994625,0.000706,0.004669,4096000,33387381718,127849,35246,1123,6270,1123,6270,2920,34
