# epoch 5500  H=6.8637 C=1.2000 HO=6.3530  A(t)=0
       742  .._9...,..[>}.BM  8ffe20398ff7fe2cfeba5b3e7dfc424d
       738  ./.,v.[>}.B44.,D  8f2f082c76905b3e7d07423434832c44
       734  ....._9...,..[>}  80be028ffe20398ff7fe2cfeba5b3e7d
       732  ._9...,..[>}.BM4  fe20398ff7fe2cfeba5b3e7dfc424d34
       732  9./.,v.[>}.B44.,  398f2f082c76905b3e7d07423434832c
       729  ...._9...,..[>}.  be028ffe20398ff7fe2cfeba5b3e7dfc
       726  ..._9...,..[>}.B  028ffe20398ff7fe2cfeba5b3e7dfc42
       696  /.,v.[>}.B44.,D:  2f082c76905b3e7d07423434832c443a
       684  v.[>}.B44.,D:..]  76905b3e7d07423434832c443aec9b5d
       675  :/.,..[>}..4.,,.  3a2ffe2cffff5b3e7dfcf734042c2cf8
