# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
         1  ..k....-......>.  fffe6b0c80d5fc2dc2eceabdf0d63ecb
         1  .........,.D....  fffdb51ea0ec06bbbe2cb044c502f8cb
         1  ...............Q  fffdb50bbde3b0b0b811a28a1ce10251
         1  ..p..>md....y..W  fffd7019933e6d64c9ed188279f7be57
         1  ....T...........  fffbf59e54e40701feb6dd06f2c1f3be
         1  ...i..N.......+>  fff8af69c7f14e89b59f8f11a3db2b3e
         1  ..>....J....g.$.  fff83e01a2d7154ae500c31867a324ab
         1  ..5..G.#!..}.j?*  fff835b1f64717232195bb7da76a3f2a
         1  ..._y.......1...  fff7d8207903bc951d8c899e31df0380
         1  ..."';..BEg.g..E  fff6b422273b03e9424567ba67eb1c45
# epoch 250  H=7.9804 C=7.8748 HO=0.0561  A(t)=0
        45  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
        21  4444444444444444  34343434343434343434343434343434
        10  ................  e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8e8
         8  ................  bdbdbdbdbdbdbdbdbdbdbdbdbdbdbdbd
         6  ................  f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9
         5  ................  c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4
         5  uuuuuuuuuuuuuuuu  75757575757575757575757575757575
         4  OOOOOOOOOOOOOOOO  4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f4f
         3  ................  d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7
         3  ................  8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a8a
# epoch 500  H=7.9527 C=7.7965 HO=0.2162  A(t)=0
        90  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        85  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        46  ................  b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2
        36  ................  80808080808080808080808080808080
        34  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        27  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        25  ................  01010101010101010101010101010101
        24  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
        23  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
        10  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
# epoch 750  H=7.9185 C=7.6942 HO=0.3542  A(t)=0
        68  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        52  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        30  SSSSSSSSSSSSSSSS  53535353535353535353535353535353
        22  ................  dddddddddddddddddddddddddddddddd
        18  rrrrrrrrrrrrrrrr  72727272727272727272727272727272
        18  %%%%%%%%%%%%%%%%  25252525252525252525252525252525
        17  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
        13  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
        13  """"""""""""""""  22222222222222222222222222222222
        10  ................  b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
# epoch 1000  H=7.8420 C=7.5565 HO=0.4505  A(t)=0
       102  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        80  ................  00000000000000000000000000000000
        48  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        29  ................  01010101010101010101010101010101
        22  ................  afafafafafafafafafafafafafafafaf
        12  DDDDDDDDDDDDDDDD  44444444444444444444444444444444
        10  ................  dddddddddddddddddddddddddddddddd
        10  ................  15151515151515151515151515151515
