# epoch 0  H=7.9973 C=8.0032 HO=-0.0032  A(t)=0
         1  ..$.f...sh..xz..  ffff24a4660cb68b736806b8787ad8fe
         1  ....X........w..  fffecfcf5811a518a39feca2ab77f0d0
         1  ..@......f.6P...  fffe40b596afa4f4b866d8365080e4f6
         1  ..A_N.B...g.P...  fffc415f4ea042a31bc2670b501ae308
         1  ..%..^0..._.|e..  fffb2594e75e301bc5de5fd47c65f3c3
         1  ........qNy....9  fff99ee5f9cfad7f714e79008c0fd939
         1  ..c.....Gw#.....  fff8639f080b0ca14777239f879f099d
         1  ...C.........~..  fff8124395ddeacc8feed1d0157ec4a6
         1  .......o..UB.q].  fff7f3da94ca9d6fd614554291715d0c
         1  .....C$..\=..*O.  fff71482134324eea75c3d80e02a4f8f
# epoch 250  H=7.9764 C=7.9207 HO=0.0386  A(t)=0
        59  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        19  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
         2  ................  13131313131313131312131313131313
         1  ...#.x........K.  fffffd23ec78fffffd00b400ed004b9c
         1  ........K......Z  fffffd00b400ed004b9ccafdc7009c5a
         1  ...m....88..m.m-  fffffc6d09fff7f738388cf16dfc6d2d
         1  .....*...j......  fffff91ee32ae584b46aee009487e485
         1  ..b&p.....?.....  ffff622670b108abf69d3fb9ad85c418
         1  ..X%..D....y....  ffff58251eb844b5fa9de579aaa98deb
         1  ..U.4.^....'..##  ffff550b34d85e9898cac9279e932323
# epoch 500  H=7.9562 C=7.8402 HO=0.1803  A(t)=0
        84  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        84  ................  1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f
        27  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        21  ................  bebebebebebebebebebebebebebebebe
         5  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
         5  5555555555555555  35353535353535353535353535353535
         4  ................  f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5
         3  ..GZ..9....N@.u.  d004475a06063906bd080e4e40067506
         3  r..GZ..9....N@.u  72d004475a06063906bd080e4e400675
         3  Z..9....N@.u...p  5a06063906bd080e4e40067506060770
# epoch 750  H=7.9221 C=7.7875 HO=0.2516  A(t)=0
       157  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        48  ................  01010101010101010101010101010101
        24  ................  13131313131313131313131313131313
        22  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
         8  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
         6  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
         2  ................  bebebebebee1bebebebebebebebebebe
         2  ................  bebebebebebee1bebebebebebebebebe
         2  ................  bebebebebebebee1bebebebebebebebe
         2  ................  bebebebebebebebee1bebebebebebebe
# epoch 1000  H=7.8818 C=7.7135 HO=0.3193  A(t)=0
       114  ................  01010101010101010101010101010101
       111  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
        28  ````````````````  60606060606060606060606060606060
        25  ................  0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
        21  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        18  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        11  ................  10101010101010101010101010101010
         5  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
         4  ]<]]<]]<]]<]]<]]  5d3c5d5d3c5d5d3c5d5d3c5d5d3c5d5d
         4  <]]<]]<]]<]]<]]<  3c5d5d3c5d5d3c5d5d3c5d5d3c5d5d3c
# epoch 1250  H=7.8246 C=7.6437 HO=0.3461  A(t)=2
       137  ................  01010101010101010101010101010101
        32  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
        12  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
         7  ................  a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6
         7  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
         5  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
         4  ................  00000000000000000000000000000000
         3  ............,...  0101010101010101010101012c010101
         3  .............,..  010101010101010101010101012c0101
         3  ..............,.  01010101010101010101010101012c01
# epoch 1500  H=7.7582 C=7.5607 HO=0.3963  A(t)=2
       238  ................  01010101010101010101010101010101
        57  ................  06060606060606060606060606060606
        35  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        24  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
        21  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        14  ................  00000000000000000000000000000000
         8  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         8  GGGGGGGGGGGGGGGG  47474747474747474747474747474747
         6  gggggggggggggggg  67676767676767676767676767676767
         5  ................  d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2
# epoch 1750  H=7.6997 C=7.4702 HO=0.4668  A(t)=3
       371  ................  01010101010101010101010101010101
       151  ................  00000000000000000000000000000000
        22  ................  cececececececececececececececece
        22  ................  06060606060606060606060606060606
        11  ................  e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5
         3  ................  9e010101010101010101010101010101
         2  ................  019e0101010101010101010101010101
         2  ................  01019e01010101010101010101010101
         2  ................  0101019e010101010101010101010101
         2  ................  01010199010101010101010101010101
# epoch 2000  H=7.6260 C=7.3661 HO=0.5068  A(t)=5
       402  ................  01010101010101010101010101010101
       270  ................  00000000000000000000000000000000
        24  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        21  ................  d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
         7  ................  06060606060606060606060606060606
         4  ````````````````  60606060606060606060606060606060
         4  ................  02010101010101010101010101010101
         4  ...............,  0101010101010101010101010101012c
         4  ................  01010101010101010101010101010102
         3  ................  01010101010101010101010102020101
# epoch 2250  H=7.5406 C=7.2806 HO=0.5199  A(t)=5
       480  ................  01010101010101010101010101010101
       387  ................  00000000000000000000000000000000
         8  ................  d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
         4  ...............,  0101010101010101010101010101012c
         3  ................  a6010101010101010101010101010101
         3  .....!..........  01010101012101010101010101010101
         3  ......!.........  01010101010121010101010101010101
         2  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         2  C...............  43010101010101010101010101010101
         2  ,...............  2c010101010101010101010101010101
# epoch 2500  H=7.4445 C=7.1278 HO=0.5855  A(t)=6
       715  ................  01010101010101010101010101010101
       513  ................  00000000000000000000000000000000
        62  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        58  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        14  ................  c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3
        14  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
         4  ...............,  0101010101010101010101010101012c
         3  ................  a6010101010101010101010101010101
         3  ................  18181818181818181818181818181818
         3  ................  01a60101010101010101010101010101
# epoch 2750  H=7.3555 C=7.0514 HO=0.5569  A(t)=6
       833  ................  01010101010101010101010101010101
       349  ................  00000000000000000000000000000000
        49  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        24  ................  f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3
        23  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        20  xxxxxxxxxxxxxxxx  78787878787878787878787878787878
        20  ````````````````  60606060606060606060606060606060
         6  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
         6  ...............,  0101010101010101010101010101012c
         5  ................  b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7
# epoch 3000  H=7.3218 C=7.0879 HO=0.4710  A(t)=6
       952  ................  01010101010101010101010101010101
       259  ................  00000000000000000000000000000000
        35  tttttttttttttttt  74747474747474747474747474747474
         7  ...............,  0101010101010101010101010101012c
         4  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         4  ..........,.....  010101010101010101012c0101010101
         4  .............,..  010101010101010101010101012c0101
         3  ................  02010101010101010101010101010101
         3  ......,.........  0101010101012c010101010101010101
         3  .......,........  010101010101012c0101010101010101
# epoch 3250  H=7.3080 C=7.0811 HO=0.4318  A(t)=6
      1011  ................  01010101010101010101010101010101
       266  ................  00000000000000000000000000000000
         7  3.3.3.3.3.3.3.3.  33013301330133013301330133013301
         7  ...............,  0101010101010101010101010101012c
         6  .3.3.3.3.3.3.3.3  01330133013301330133013301330133
         5  ............,...  0101010101010101010101012c010101
         5  ..............,.  01010101010101010101010101012c01
         4  ................  03010101010101010101010101010101
         4  ................  02010101010101010101010101010101
         4  ...........,....  01010101010101010101012c01010101
# epoch 3500  H=7.2706 C=7.0840 HO=0.4070  A(t)=8
      1171  ................  01010101010101010101010101010101
       234  ................  00000000000000000000000000000000
        15  ...............,  0101010101010101010101010101012c
         9  ................  01010101010101010101010101010102
         7  ................  02010101010101010101010101010101
         7  ................  01010101010101010201010101010101
         7  ................  01010101010101010102010101010101
         7  .............,..  010101010101010101010101012c0101
         7  ..............,.  01010101010101010101010101012c01
         6  ................  01010101010101020101010101010101
# epoch 3750  H=7.2380 C=7.0365 HO=0.4183  A(t)=10
      1417  ................  01010101010101010101010101010101
       299  ................  00000000000000000000000000000000
        97  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        11  ...............,  0101010101010101010101010101012c
         9  ................  02010101010101010101010101010101
         7  ^^^^^^^^^^^^^^^^  5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e5e
         7  ................  01010101010101010101010101010102
         6  ..............,.  01010101010101010101010101012c01
         5  ................  01010101010101010101010101010202
         4  ................  01020101010101010101010101010101
# epoch 4000  H=7.1716 C=6.9270 HO=0.4408  A(t)=10
      1530  ................  01010101010101010101010101010101
       277  ................  00000000000000000000000000000000
        46  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        32  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        22  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        22  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
        17  ...............,  0101010101010101010101010101012c
        11  ..............,.  01010101010101010101010101012c01
        10  ________________  5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f
         8  .............,..  010101010101010101010101012c0101
# epoch 4250  H=7.1772 C=6.9344 HO=0.4209  A(t)=10
      1597  ................  01010101010101010101010101010101
       250  ................  00000000000000000000000000000000
        46  nnnnnnnnnnnnnnnn  6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e
        38  ................  0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f
        26  ................  d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7
        18  ...............,  0101010101010101010101010101012c
        17  XXXXXXXXXXXXXXXX  58585858585858585858585858585858
        11  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        11  ..............,.  01010101010101010101010101012c01
         9  ................  01010101010101010101010101010102
# epoch 4500  H=7.1595 C=6.9508 HO=0.3823  A(t)=10
      1368  ................  01010101010101010101010101010101
       186  ................  00000000000000000000000000000000
        15  ...............,  0101010101010101010101010101012c
        10  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        10  ..............,.  01010101010101010101010101012c01
        10  ................  01010101010101010101010101010102
         7  ............,...  0101010101010101010101012c010101
         7  .............,..  010101010101010101010101012c0101
         6  ................  02020101010101010101010101010101
         6  ................  01010101010101010101010101010202
# epoch 4750  H=7.1215 C=6.9167 HO=0.3824  A(t)=10
      1405  ................  01010101010101010101010101010101
       257  ................  00000000000000000000000000000000
        32  .[.[.[.[.[.[.[.[  ab5bab5bab5bab5bab5bab5bab5bab5b
        32  [.[.[.[.[.[.[.[.  5bab5bab5bab5bab5bab5bab5bab5bab
        18  ...............,  0101010101010101010101010101012c
        11  ..............,.  01010101010101010101010101012c01
        10  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         9  ................  01010101010101010101010101010102
         7  JJJJJJJJJJJJJJJJ  4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a
         7  ............,...  0101010101010101010101012c010101
# epoch 5000  H=7.0711 C=6.8867 HO=0.3600  A(t)=11
      1324  ................  01010101010101010101010101010101
       215  ................  00000000000000000000000000000000
        41  hhhhhhhhhhhhhhhh  68686868686868686868686868686868
        24  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
         6  ................  01010101010101010101010101010202
         6  ...............,  0101010101010101010101010101012c
         6  ................  01010101010101010101010101010102
         5  .[.[.[.[.[.[.[.[  ab5bab5bab5bab5bab5bab5bab5bab5b
         5  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
         5  ................  02010101010101010101010101010101
# epoch 5250  H=7.0183 C=6.8501 HO=0.3307  A(t)=11
      1183  ................  01010101010101010101010101010101
       382  ................  00000000000000000000000000000000
        13  ...............,  0101010101010101010101010101012c
        12  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
         7  ..............,.  01010101010101010101010101012c01
         6  ................  01010101010101010101010100010101
         5  .............,..  010101010101010101010101012c0101
         5  ................  01010101010101010101010101010102
         5  ................  01010101010101010101010101000101
         5  ................  01010101010101010101010001010101
# epoch 5500  H=6.9507 C=6.7781 HO=0.3269  A(t)=11
      1333  ................  01010101010101010101010101010101
       421  ................  00000000000000000000000000000000
        17  ...............,  0101010101010101010101010101012c
