epoch,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,7.997252,8.000488,-0.003236,8.000488,8.003174,-0.005922,65536,0,0,0,0
1000,7.545259,6.665405,0.879854,7.080688,6.543335,1.001924,60886,0,0,0,0
2000,5.860347,4.606812,1.253536,4.943237,4.585571,1.274776,44975,31,31,31,31
3000,3.685156,2.545776,1.13938,2.809082,2.577026,1.10813,24817,172,175,176,179
4000,2.240585,1.429565,0.811019,1.570068,1.421875,0.81871,12578,262,318,322,336
5000,1.924676,1.203613,0.721062,1.316284,1.17334,0.751336,10677,214,325,333,350
6000,1.818763,1.175781,0.642982,1.30481,1.150269,0.668495,10037,209,332,326,366
7000,1.924257,1.210693,0.713563,1.324463,1.180908,0.743349,10231,294,369,351,403
8000,2.182464,1.431763,0.750701,1.567993,1.420776,0.761687,12750,317,399,384,433
9000,2.179549,1.380981,0.798567,1.506104,1.368896,0.810652,12531,342,430,411,462
10000,2.054111,1.26416,0.789951,1.382568,1.241089,0.813023,10387,352,458,407,490
11000,1.981325,1.295654,0.685671,1.420776,1.274414,0.706911,11632,300,458,353,490
12000,1.872016,1.272583,0.599433,1.397217,1.258789,0.613227,10823,222,459,333,496
13000,1.834911,1.346069,0.488842,1.459229,1.324219,0.510693,12535,188,468,304,510
14000,1.761775,1.212646,0.549128,1.329346,1.182983,0.578791,10567,173,469,291,512
15000,1.558495,1.178833,0.379662,1.279907,1.132812,0.425683,9322,178,469,306,514
16000,1.653154,1.30127,0.351884,1.410278,1.267944,0.38521,10639,140,469,293,519
17000,1.465366,1.094849,0.370517,1.208862,1.056152,0.409213,8353,137,469,284,522
18000,1.671791,1.196533,0.475258,1.321045,1.173462,0.498329,10770,168,469,289,528
19000,1.727019,1.17981,0.547209,1.29541,1.155029,0.571989,10108,203,469,307,528
20000,1.794222,1.279663,0.514558,1.391479,1.249512,0.54471,11146,199,470,329,546
21000,1.421694,1.122437,0.299257,1.227417,1.081909,0.339785,8253,198,470,331,553
22000,1.444766,1.171021,0.273745,1.270386,1.130859,0.313906,9369,187,470,326,579
23000,1.472664,1.172729,0.299934,1.267944,1.133423,0.339241,9312,181,470,307,590
24000,1.204107,1.085571,0.118536,1.185303,1.046509,0.157598,7809,143,471,288,597
25000,1.349977,1.156982,0.192994,1.276245,1.136597,0.21338,8194,110,471,283,597
26000,1.395537,1.21875,0.176787,1.333984,1.180786,0.214751,9523,108,471,289,604
27000,1.317036,1.232666,0.08437,1.331543,1.206665,0.11037,10466,98,473,289,610
28000,1.235205,1.181274,0.053931,1.287354,1.147583,0.087622,9356,95,473,292,629
29000,1.348554,1.290039,0.058515,1.391479,1.270874,0.07768,11278,113,473,286,638
30000,1.360418,1.253418,0.107,1.357178,1.223755,0.136663,10402,106,473,292,640
31000,1.255755,1.208618,0.047137,1.313599,1.175415,0.08034,9351,101,477,286,645
32000,1.267144,1.260254,0.00689,1.351929,1.229126,0.038018,10002,105,478,280,655
33000,1.251428,1.21875,0.032678,1.315796,1.17688,0.074548,9537,98,479,285,671
34000,1.208182,1.216553,-0.008371,1.316772,1.176147,0.032035,9279,98,480,284,682
35000,0.971056,1.001831,-0.030776,1.101685,0.953369,0.017686,6037,93,480,273,682
36000,1.061578,1.064819,-0.003241,1.165039,1.026367,0.035211,7056,93,480,275,685
37000,1.294724,1.263306,0.031418,1.359131,1.245483,0.049241,11068,107,480,273,686
38000,1.246682,1.204712,0.041971,1.310913,1.165527,0.081155,9649,100,483,302,714
39000,1.281982,1.262817,0.019164,1.362427,1.2229,0.059081,10383,96,484,286,723
40000,1.197662,1.204468,-0.006805,1.311279,1.171265,0.026398,9679,102,485,287,737
41000,1.084953,1.114136,-0.029183,1.219971,1.069214,0.015739,7603,95,485,278,744
42000,1.435126,1.396606,0.038519,1.50293,1.380249,0.054877,12188,96,485,281,750
43000,1.135045,1.113647,0.021397,1.213013,1.063354,0.07169,8056,101,489,285,759
44000,1.188592,1.185303,0.003289,1.288086,1.152344,0.036248,9060,100,490,283,765
45000,1.104395,1.085938,0.018457,1.187134,1.045654,0.05874,7573,92,490,276,768
46000,1.330083,1.304077,0.026006,1.404419,1.276245,0.053838,10740,92,490,292,785
47000,1.409889,1.347412,0.062477,1.454102,1.331665,0.078224,12365,110,491,302,806
48000,1.303475,1.257202,0.046273,1.353882,1.232422,0.071053,9910,100,491,303,827
49000,1.409815,1.372314,0.037501,1.460449,1.343506,0.06631,12253,102,491,284,834
50000,1.245449,1.21875,0.026699,1.325684,1.186035,0.059414,8875,100,491,288,845
