epoch,wall_s,sim_s,entropy_bits,zlib_bits,high_order_entropy,mean_steps,frac_copy_runs,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t
0,0.103,0.0,7.997125,8.003174,-0.006049,0.0,0.0,0.0,0.0,0.0,0,0,0,65536,0,0
50,0.518,0.369,7.99071,7.905396,0.085314,1450.6263,0.55,0.161816,0.616992,0.221191,51200,74272068,811,65108,0,0
100,0.745,0.572,7.984772,7.813599,0.171174,1603.2215,0.58623,0.182324,0.580137,0.237539,51200,82084940,804,65148,0,0
150,0.983,0.784,7.979049,7.739868,0.239181,1622.6684,0.60084,0.184785,0.587227,0.227988,51200,83080621,765,65179,0,0
200,1.195,0.974,7.967226,7.629517,0.337709,1579.145,0.601035,0.178945,0.585898,0.235156,51200,80852226,826,64972,0,0
250,1.446,1.16,7.945364,7.487793,0.457571,1534.6533,0.61543,0.173848,0.593086,0.233066,51200,78574248,784,64410,5,5
300,1.756,1.436,7.928542,7.410889,0.517653,1576.5422,0.610898,0.179141,0.590742,0.230117,51200,80718962,814,64219,4,5
350,2.007,1.631,7.907517,7.316895,0.590623,1535.3301,0.614414,0.174609,0.600312,0.225078,51200,78608903,797,63905,6,7
400,2.38,1.981,7.877302,7.221802,0.655501,1475.3094,0.61043,0.167305,0.608203,0.224492,51200,75535841,795,63401,10,11
450,2.575,2.153,7.824853,7.142456,0.682397,1436.9514,0.611328,0.161914,0.632207,0.205879,51200,73571912,826,62699,19,21
500,2.854,2.405,7.793537,7.0448,0.748737,1378.8989,0.602441,0.155527,0.642285,0.202188,51200,70599626,775,62179,21,23
550,3.044,2.571,7.768269,7.008179,0.76009,1343.1823,0.593105,0.151348,0.638516,0.210137,51200,68770934,781,62191,22,25
600,3.314,2.816,7.745594,6.966919,0.778675,1334.7112,0.585586,0.150117,0.641992,0.207891,51200,68337213,766,62006,28,32
650,3.513,2.992,7.711497,6.890259,0.821239,1301.2389,0.595254,0.145996,0.643945,0.210059,51200,66623433,781,61695,21,34
700,3.882,3.311,7.693741,6.864136,0.829605,1287.9589,0.58918,0.144434,0.645664,0.209902,51200,65943498,741,61846,23,37
750,4.257,3.632,7.663572,6.816284,0.847288,1256.9967,0.588086,0.140273,0.64668,0.213047,51200,64358233,776,61535,24,38
800,4.627,3.947,7.61131,6.739136,0.872174,1216.0762,0.587754,0.135371,0.66082,0.203809,51200,62263102,750,61178,23,38
850,4.988,4.258,7.54839,6.632568,0.915821,1175.4981,0.594863,0.129785,0.670742,0.199473,51200,60185504,800,60561,23,40
900,5.398,4.613,7.511573,6.601929,0.909645,1180.285,0.588105,0.129941,0.674922,0.195137,51200,60430592,788,60535,22,41
950,5.76,4.921,7.458283,6.523315,0.934967,1155.4976,0.586191,0.127031,0.684023,0.188945,51200,59161476,799,59806,29,43
1000,6.123,5.229,7.410601,6.487671,0.92293,1136.3889,0.568242,0.124355,0.685605,0.190039,51200,58183114,871,59687,29,45
1050,6.406,5.478,7.356247,6.419189,0.937057,1117.5444,0.563359,0.122461,0.689473,0.188066,51200,57218275,790,59159,27,50
1100,6.692,5.698,7.279525,6.34021,0.939316,1078.2617,0.574434,0.11752,0.689805,0.192676,51200,55206999,820,58635,32,59
1150,7.024,5.997,7.196705,6.199707,0.996998,1029.0743,0.572383,0.111953,0.691914,0.196133,51200,52688603,780,57334,34,61
1200,7.298,6.215,7.093735,6.10791,0.985825,1005.4275,0.56998,0.108594,0.696914,0.194492,51200,51477887,821,56120,39,66
1250,7.643,6.502,6.949552,5.984985,0.964567,1008.0964,0.581094,0.108945,0.702793,0.188262,51200,51614535,804,55132,47,75
1300,7.919,6.747,6.774665,5.819702,0.954963,927.1897,0.604258,0.099121,0.713008,0.187871,51200,47472113,774,53398,52,76
1350,8.092,6.887,6.617012,5.664185,0.952827,912.1763,0.605508,0.097305,0.723496,0.179199,51200,46703428,809,51544,51,80
1400,8.351,7.114,6.48268,5.500488,0.982191,910.322,0.600391,0.097266,0.71877,0.183965,51200,46608488,772,50415,62,91
1450,8.514,7.244,6.374607,5.355591,1.019016,871.3826,0.624395,0.092754,0.730957,0.176289,51200,44614787,807,49107,70,101
1500,8.809,7.468,6.310173,5.293091,1.017082,880.2887,0.635273,0.094004,0.739863,0.166133,51200,45070781,802,48482,85,114
1550,9.084,7.711,6.251627,5.23938,1.012247,904.3397,0.626777,0.096973,0.741602,0.161426,51200,46302194,807,48316,102,138
1600,9.253,7.845,6.290791,5.265259,1.025532,903.1186,0.63373,0.096387,0.753516,0.150098,51200,46239670,794,48963,108,153
1650,9.536,8.059,6.177243,5.165039,1.012203,909.8771,0.628613,0.097383,0.751875,0.150742,51200,46585705,777,48204,112,169
1700,9.874,8.331,6.081057,5.060669,1.020388,938.0617,0.627617,0.10082,0.751465,0.147715,51200,48028759,777,46465,116,177
