# epoch 0  H=7.9973 C=8.0032 HO=-0.0059  A(t)=0
         1  ..$.f...sh..xz..  ffff24a4660cb68b736806b8787ad8fe
         1  ....X........w..  fffecfcf5811a518a39feca2ab77f0d0
         1  ..@......f.6P...  fffe40b596afa4f4b866d8365080e4f6
         1  ..A_N.B...g.P...  fffc415f4ea042a31bc2670b501ae308
         1  ..%..^0..._.|e..  fffb2594e75e301bc5de5fd47c65f3c3
         1  ........qNy....9  fff99ee5f9cfad7f714e79008c0fd939
         1  ..c.....Gw#.....  fff8639f080b0ca14777239f879f099d
         1  ...C.........~..  fff8124395ddeacc8feed1d0157ec4a6
         1  .......o..UB.q].  fff7f3da94ca9d6fd614554291715d0c
         1  .....C$..\=..*O.  fff71482134324eea75c3d80e02a4f8f
# epoch 50  H=7.9838 C=7.8114 HO=0.1724  A(t)=0
       133  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       127  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
       110  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        69  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        53  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        49  ................  80808080808080808080808080808080
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        27  ((((((((((((((((  28282828282828282828282828282828
        24  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
        17  ''''''''''''''''  27272727272727272727272727272727
# epoch 100  H=7.9769 C=7.7118 HO=0.2651  A(t)=0
       136  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
       129  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       105  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       104  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        47  ................  80808080808080808080808080808080
        43  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        42  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        35  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        20  ((((((((((((((((  28282828282828282828282828282828
        18  ////////////////  2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f
# epoch 150  H=7.9702 C=7.6029 HO=0.3673  A(t)=0
        94  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        90  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
        87  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        73  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        42  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        40  ................  80808080808080808080808080808080
        36  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        31  ................  a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        27  ssssssssssssssss  73737373737373737373737373737373
# epoch 200  H=7.9645 C=7.5092 HO=0.4554  A(t)=0
        87  ................  bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
        86  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        74  ................  8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b
        69  ................  9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e
        66  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        36  ................  adadadadadadadadadadadadadadadad
        36  ................  80808080808080808080808080808080
        31  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
        29  ................  b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
        26  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
