epoch,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,7.996763,8.000488,-0.003725,8.000488,8.003174,-0.006411,65536,0,0,0,0
1000,7.317538,6.336914,0.980624,6.765381,6.232544,1.084994,57808,0,0,0,0
2000,4.419203,3.472168,0.947035,3.732666,3.484863,0.93434,31760,73,73,74,74
3000,2.670003,2.168091,0.501912,2.368286,2.190063,0.479939,19282,160,218,266,269
4000,1.761001,1.610718,0.150283,1.726685,1.599731,0.16127,14452,161,223,293,297
5000,1.249193,1.256104,-0.00691,1.347412,1.228516,0.020678,10376,143,225,301,323
6000,1.397343,1.327759,0.069584,1.440308,1.316284,0.081059,11426,130,225,295,345
7000,1.201785,1.202881,-0.001095,1.308228,1.163818,0.037967,9398,112,225,281,349
8000,1.197283,1.204834,-0.007551,1.299927,1.163818,0.033465,9486,108,225,277,354
9000,1.106333,1.159546,-0.053213,1.276367,1.117432,-0.011099,8224,94,225,279,360
10000,1.177033,1.177124,-9.1e-05,1.276855,1.132812,0.044221,8231,94,226,283,366
11000,1.154945,1.120117,0.034828,1.229248,1.085571,0.069374,8985,90,226,304,385
12000,1.537178,1.4375,0.099678,1.525391,1.424194,0.112984,12824,113,226,286,395
13000,1.139134,1.132446,0.006687,1.234619,1.104858,0.034275,8338,117,227,288,406
14000,1.351221,1.296143,0.055078,1.418701,1.27478,0.07644,9534,93,228,275,407
15000,0.974088,1.016602,-0.042514,1.122314,0.973022,0.001065,7220,89,233,281,429
16000,1.109622,1.115845,-0.006223,1.21814,1.070923,0.038699,8047,91,239,267,441
17000,1.176371,1.162231,0.01414,1.26355,1.121826,0.054545,8625,93,239,285,454
18000,1.340599,1.283081,0.057518,1.381226,1.262329,0.07827,10283,94,239,288,470
19000,1.22837,1.220459,0.007911,1.320923,1.182251,0.046119,9305,101,240,277,470
20000,1.509113,1.393677,0.115436,1.506226,1.378296,0.130817,11779,102,241,285,482
21000,1.215711,1.203979,0.011732,1.301392,1.164551,0.05116,9166,106,241,274,484
22000,1.086741,1.088745,-0.002004,1.188354,1.041138,0.045604,7786,94,241,297,503
23000,1.304188,1.27771,0.026478,1.378662,1.243042,0.061146,10824,94,241,291,517
24000,1.405465,1.344482,0.060983,1.442871,1.330444,0.075021,12094,124,241,296,530
25000,1.104134,1.133057,-0.028923,1.229248,1.090576,0.013558,8301,95,241,285,539
26000,0.953244,1.040771,-0.087527,1.145386,0.988525,-0.035281,6821,96,241,272,539
27000,1.366831,1.314819,0.052012,1.41748,1.296997,0.069834,10945,123,241,277,546
28000,1.163127,1.184448,-0.021321,1.278809,1.141357,0.021769,9316,116,243,303,579
29000,1.179415,1.1875,-0.008085,1.295654,1.146484,0.032931,8830,93,243,313,599
30000,1.539548,1.455933,0.083616,1.547363,1.438477,0.101072,13265,94,243,278,607
31000,1.485781,1.414429,0.071352,1.510498,1.384399,0.101382,12691,103,243,278,615
32000,1.209273,1.204224,0.005049,1.301147,1.164551,0.044722,9498,101,243,300,635
33000,1.143399,1.140625,0.002774,1.236938,1.094482,0.048916,7468,89,243,281,639
34000,1.424562,1.371948,0.052614,1.486572,1.362427,0.062135,12231,89,243,278,641
35000,1.342471,1.320923,0.021548,1.423584,1.289917,0.052554,10816,100,243,306,648
36000,1.284802,1.251831,0.03297,1.359863,1.222778,0.062023,10216,108,247,285,649
37000,1.0552,1.088135,-0.032935,1.193604,1.051758,0.003442,7214,94,247,290,668
38000,1.113201,1.169434,-0.056233,1.267822,1.120728,-0.007527,8520,94,247,283,677
39000,1.486604,1.397339,0.089265,1.502075,1.377319,0.109285,11496,99,247,280,683
40000,1.535533,1.486084,0.049449,1.596924,1.471069,0.064463,13992,100,247,297,695
41000,1.335463,1.316284,0.019178,1.40918,1.283203,0.05226,11098,142,247,281,699
42000,1.434613,1.398071,0.036541,1.504761,1.380981,0.053631,12480,126,247,304,724
43000,1.312336,1.261108,0.051228,1.369141,1.23584,0.076496,9759,104,247,275,724
44000,1.357886,1.280884,0.077002,1.37561,1.257568,0.100317,10860,97,247,288,740
45000,1.177949,1.189453,-0.011504,1.282471,1.144165,0.033784,8697,94,249,287,749
46000,1.053014,1.054077,-0.001063,1.14917,1.006836,0.046178,6759,94,249,287,752
47000,1.343804,1.325562,0.018242,1.427612,1.300781,0.043022,10470,94,249,274,755
48000,1.431731,1.389404,0.042326,1.489624,1.353882,0.077849,11988,127,249,287,757
49000,1.441635,1.384155,0.05748,1.48999,1.356934,0.084701,11224,100,249,279,757
50000,1.279536,1.265015,0.014521,1.373291,1.234863,0.044672,9913,100,250,303,765
