epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,0.124,0.0,7.997125,8.000488,-0.003364,8.000488,8.003174,-0.006049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,65536,0,0,0,0
50,0.742,0.57,7.99071,7.911255,0.079455,7.971191,7.905396,0.085314,1450.6263,0.55,0.927143,127.0942,0.161816,0.616992,0.221191,51200,74272068,811,65108,0,0,0,0
100,1.391,1.156,7.984772,7.837524,0.147248,7.961548,7.813599,0.171174,1603.2215,0.58623,0.935734,153.4913,0.182324,0.580137,0.237539,51200,82084940,804,65148,0,0,0,0
150,2.073,1.784,7.979049,7.772217,0.206833,7.954834,7.739868,0.239181,1622.6684,0.60084,0.936495,173.1694,0.184785,0.587227,0.227988,51200,83080621,765,65179,0,0,0,0
200,2.738,2.395,7.967226,7.678223,0.289003,7.931274,7.629517,0.337709,1579.145,0.601035,0.935173,174.28,0.178945,0.585898,0.235156,51200,80852226,826,64972,0,0,0,0
250,3.366,2.965,7.945364,7.586182,0.359183,7.841187,7.487793,0.457571,1534.6533,0.61543,0.932987,170.7926,0.173848,0.593086,0.233066,51200,78574248,784,64410,0,0,0,0
300,4.007,3.548,7.928542,7.499268,0.429274,7.784424,7.410889,0.517653,1576.5422,0.610898,0.934979,175.2081,0.179141,0.590742,0.230117,51200,80718962,814,64219,4,4,4,4
350,4.637,4.122,7.907517,7.426025,0.481492,7.734253,7.316895,0.590623,1535.3301,0.614414,0.932706,172.1033,0.174609,0.600312,0.225078,51200,78608903,797,63905,4,4,4,4
400,5.276,4.706,7.877302,7.326538,0.550764,7.677979,7.221802,0.655501,1475.3094,0.61043,0.929842,177.2074,0.167305,0.608203,0.224492,51200,75535841,795,63401,6,6,6,6
450,5.899,5.246,7.824853,7.275757,0.549096,7.598511,7.142456,0.682397,1436.9514,0.611328,0.926516,171.4796,0.161914,0.632207,0.205879,51200,73571912,826,62699,9,9,9,9
500,6.477,5.77,7.793537,7.152954,0.640583,7.504639,7.0448,0.748737,1378.8989,0.602441,0.923101,166.3631,0.155527,0.642285,0.202188,51200,70599626,775,62179,19,19,19,19
550,7.053,6.286,7.768269,7.1427,0.625568,7.453369,7.008179,0.76009,1343.1823,0.593105,0.921203,167.4317,0.151348,0.638516,0.210137,51200,68770934,781,62191,20,21,20,21
600,7.672,6.848,7.745594,7.1073,0.638294,7.442993,6.966919,0.778675,1334.7112,0.585586,0.920675,157.8467,0.150117,0.641992,0.207891,51200,68337213,766,62006,21,23,21,23
650,8.261,7.378,7.711497,7.030518,0.68098,7.374146,6.890259,0.821239,1301.2389,0.595254,0.918556,155.2707,0.145996,0.643945,0.210059,51200,66623433,781,61695,19,23,19,23
700,8.839,7.899,7.693741,6.976318,0.717423,7.350464,6.864136,0.829605,1287.9589,0.58918,0.917572,157.0214,0.144434,0.645664,0.209902,51200,65943498,741,61846,20,24,20,24
750,9.411,8.403,7.663572,6.958252,0.70532,7.299072,6.816284,0.847288,1256.9967,0.588086,0.915446,161.5795,0.140273,0.64668,0.213047,51200,64358233,776,61535,23,27,23,27
800,9.953,8.882,7.61131,6.867554,0.743756,7.264771,6.739136,0.872174,1216.0762,0.587754,0.91203,159.6264,0.135371,0.66082,0.203809,51200,62263102,750,61178,23,28,23,28
850,10.5,9.362,7.54839,6.763184,0.785206,7.130615,6.632568,0.915821,1175.4981,0.594863,0.9087,157.4487,0.129785,0.670742,0.199473,51200,60185504,800,60561,21,28,21,28
900,11.038,9.834,7.511573,6.744141,0.767433,7.093628,6.601929,0.909645,1180.285,0.588105,0.90865,165.3823,0.129941,0.674922,0.195137,51200,60430592,788,60535,21,29,21,29
950,11.57,10.309,7.458283,6.650391,0.807892,6.995728,6.523315,0.934967,1155.4976,0.586191,0.906309,165.2339,0.127031,0.684023,0.188945,51200,59161476,799,59806,22,30,22,30
1000,12.096,10.768,7.410601,6.635864,0.774736,6.982056,6.487671,0.92293,1136.3889,0.568242,0.904669,165.0065,0.124355,0.685605,0.190039,51200,58183114,871,59687,27,36,27,36
1050,12.67,11.266,7.356247,6.532959,0.823288,6.901123,6.419189,0.937057,1117.5444,0.563359,0.902728,161.9673,0.122461,0.689473,0.188066,51200,57218275,790,59159,22,38,22,38
1100,13.18,11.707,7.279525,6.439941,0.839584,6.814453,6.34021,0.939316,1078.2617,0.574434,0.899195,161.11,0.11752,0.689805,0.192676,51200,55206999,820,58635,23,39,23,39
1150,13.686,12.148,7.196705,6.325195,0.871509,6.666382,6.199707,0.996998,1029.0743,0.572383,0.894066,169.5045,0.111953,0.691914,0.196133,51200,52688603,780,57334,32,48,32,48
1200,14.191,12.584,7.093735,6.213135,0.8806,6.561157,6.10791,0.985825,1005.4275,0.56998,0.891442,166.8946,0.108594,0.696914,0.194492,51200,51477887,821,56120,34,50,34,50
1250,14.698,13.021,6.949552,6.061279,0.888273,6.399658,5.984985,0.964567,1008.0964,0.581094,0.891222,168.6278,0.108945,0.702793,0.188262,51200,51614535,804,55132,37,55,37,55
1300,15.176,13.429,6.774665,5.899536,0.875129,6.239624,5.819702,0.954963,927.1897,0.604258,0.881099,161.396,0.099121,0.713008,0.187871,51200,47472113,774,53398,45,65,45,65
1350,15.653,13.827,6.617012,5.734375,0.882637,6.049927,5.664185,0.952827,912.1763,0.605508,0.878309,163.0421,0.097305,0.723496,0.179199,51200,46703428,809,51544,44,68,44,68
1400,16.122,14.214,6.48268,5.559204,0.923476,5.889038,5.500488,0.982191,910.322,0.600391,0.878768,163.9443,0.097266,0.71877,0.183965,51200,46608488,772,50415,50,74,50,74
1450,16.589,14.593,6.374607,5.403687,0.970921,5.732422,5.355591,1.019016,871.3826,0.624395,0.872452,157.3674,0.092754,0.730957,0.176289,51200,44614787,807,49107,60,85,60,85
1500,17.062,14.987,6.310173,5.357788,0.952385,5.683838,5.293091,1.017082,880.2887,0.635273,0.873356,155.4859,0.094004,0.739863,0.166133,51200,45070781,802,48482,70,95,70,95
1550,17.535,15.385,6.251627,5.299316,0.95231,5.627563,5.23938,1.012247,904.3397,0.626777,0.876335,156.2177,0.096973,0.741602,0.161426,51200,46302194,807,48316,78,104,78,104
1600,18.213,15.975,6.290791,5.2854,1.005391,5.637329,5.265259,1.025532,903.1186,0.63373,0.875308,154.863,0.096387,0.753516,0.150098,51200,46239670,794,48963,93,125,93,125
1650,18.745,16.427,6.177243,5.218628,0.958615,5.531372,5.165039,1.012203,909.8771,0.628613,0.876187,149.4484,0.097383,0.751875,0.150742,51200,46585705,777,48204,96,137,96,137
1700,19.219,16.818,6.081057,5.083984,0.997073,5.429932,5.060669,1.020388,938.0617,0.627617,0.879713,155.8006,0.10082,0.751465,0.147715,51200,48028759,777,46465,107,150,107,150
1750,19.735,17.253,5.950987,4.981934,0.969054,5.291504,4.932007,1.018981,934.3154,0.640488,0.878519,152.5601,0.100117,0.761133,0.13875,51200,47836950,796,45270,107,159,107,159
1800,20.226,17.66,5.798102,4.838379,0.959723,5.167114,4.821899,0.976202,946.4749,0.637285,0.879669,154.9455,0.101523,0.764688,0.133789,51200,48459514,832,44705,101,159,101,159
1850,20.713,18.056,5.706776,4.78064,0.926136,5.074219,4.744751,0.962025,920.4611,0.634531,0.875813,150.269,0.098398,0.769922,0.13168,51200,47127609,797,43899,106,166,106,166
1900,21.191,18.446,5.552019,4.631836,0.920183,4.922485,4.615234,0.936785,909.2312,0.638848,0.873708,150.0598,0.097207,0.776211,0.126582,51200,46552638,795,42538,108,170,108,170
1950,21.688,18.852,5.446497,4.509766,0.936731,4.780151,4.5,0.946497,871.6095,0.660781,0.867552,145.8895,0.092695,0.784199,0.123105,51200,44626406,816,41757,129,183,129,183
