epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,0.025,0.0,7.997252,8.000488,-0.003236,8.000488,8.003174,-0.005922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,65536,0,0,0,0
50,0.394,0.344,7.986907,7.872559,0.114348,7.905518,7.844238,0.142669,1551.7515,0.550176,0.933428,149.9119,0.173379,0.592891,0.23373,51200,79449676,1523,64786,0,0,0,0
100,0.722,0.647,7.98259,7.768799,0.213791,7.91687,7.75769,0.2249,1688.8445,0.584453,0.939618,157.0273,0.192012,0.571602,0.236387,51200,86468840,1587,64841,0,0,0,0
150,1.057,0.955,7.978807,7.716797,0.26201,7.913818,7.682129,0.296678,1717.5892,0.597012,0.941159,188.3471,0.195918,0.556523,0.247559,51200,87940567,1589,64869,0,0,0,0
200,1.386,1.258,7.972639,7.633301,0.339338,7.913574,7.611694,0.360945,1685.6764,0.60291,0.940608,174.9611,0.192383,0.552871,0.254746,51200,86306633,1584,64874,0,0,0,0
250,1.703,1.55,7.967328,7.584839,0.382489,7.906006,7.567627,0.399701,1597.6194,0.605039,0.936665,165.514,0.181895,0.571719,0.246387,51200,81798114,1566,64997,0,0,0,0
300,2.018,1.838,7.956466,7.53186,0.424605,7.832886,7.470947,0.485518,1542.4829,0.619102,0.933585,163.5178,0.175508,0.592617,0.231875,51200,78975124,1616,64847,11,11,11,11
350,2.326,2.118,7.941892,7.497192,0.4447,7.827637,7.437988,0.503904,1505.637,0.598574,0.931852,152.6176,0.17084,0.594297,0.234863,51200,77088612,1576,64836,9,13,9,13
400,2.626,2.392,7.932575,7.484131,0.448444,7.793579,7.392456,0.540119,1445.1681,0.593613,0.928901,157.89,0.164316,0.596406,0.239277,51200,73992608,1524,64727,10,14,10,14
450,2.929,2.668,7.923572,7.464722,0.458851,7.810303,7.365967,0.557606,1453.0442,0.587031,0.929022,171.7568,0.165,0.605586,0.229414,51200,74395861,1550,64710,7,14,7,14
500,3.255,2.965,7.906618,7.423584,0.483034,7.766113,7.306641,0.599977,1400.5265,0.596016,0.92605,162.7339,0.158672,0.612246,0.229082,51200,71706958,1549,64525,8,17,8,17
550,3.554,3.236,7.878583,7.372192,0.506391,7.669556,7.227295,0.651288,1352.4168,0.60373,0.922944,166.5881,0.15293,0.621074,0.225996,51200,69243739,1548,64029,10,19,10,19
600,3.84,3.495,7.847022,7.290894,0.556129,7.608643,7.171143,0.67588,1339.6654,0.595918,0.922478,164.1879,0.151641,0.613047,0.235312,51200,68590867,1535,63685,10,19,10,19
650,4.134,3.76,7.817423,7.227295,0.590128,7.55127,7.095703,0.721719,1230.0714,0.596191,0.915163,150.9354,0.137539,0.622988,0.239473,51200,62979654,1528,63373,12,22,12,22
700,4.408,4.004,7.792608,7.166504,0.626104,7.527222,7.061035,0.731573,1171.1829,0.590879,0.910266,154.0129,0.130312,0.631738,0.237949,51200,59964567,1581,63113,11,22,11,22
750,4.667,4.236,7.734356,7.106323,0.628033,7.463501,6.991455,0.742901,1121.9795,0.589824,0.906171,160.7433,0.124316,0.639004,0.23668,51200,57445351,1590,62821,19,31,19,31
800,4.929,4.469,7.686904,7.05896,0.627944,7.376221,6.933105,0.753799,1091.9349,0.594805,0.903117,170.3081,0.119629,0.644629,0.235742,51200,55907065,1597,62473,23,35,23,35
850,5.184,4.695,7.66464,7.019287,0.645353,7.374023,6.905762,0.758878,1088.4343,0.590859,0.902232,164.2958,0.118691,0.654473,0.226836,51200,55727834,1547,62688,20,36,20,36
900,5.444,4.926,7.603666,6.889893,0.713773,7.266846,6.799805,0.803861,1095.8628,0.600996,0.902056,152.1107,0.119883,0.668535,0.211582,51200,56108177,1551,61953,17,36,17,36
950,5.697,5.149,7.550321,6.832764,0.717557,7.19397,6.745117,0.805204,1077.1479,0.594199,0.899545,135.1346,0.117812,0.682383,0.199805,51200,55149971,1624,61604,22,44,22,44
1000,5.942,5.364,7.461594,6.689941,0.771653,7.056396,6.609741,0.851853,1029.6447,0.602949,0.89389,134.7524,0.111797,0.697988,0.190215,51200,52717810,1562,60638,25,47,25,47
1050,6.189,5.58,7.292111,6.474731,0.81738,6.821655,6.405273,0.886838,1008.107,0.594902,0.89186,133.5283,0.109551,0.694082,0.196367,51200,51615080,1595,58672,33,56,33,56
1100,6.437,5.794,7.211525,6.377563,0.833961,6.747314,6.30542,0.906105,984.8157,0.588301,0.889003,141.1835,0.106934,0.698496,0.19457,51200,50422563,1544,57899,29,56,29,56
1150,6.681,6.004,7.085836,6.197876,0.88796,6.562988,6.152832,0.933004,973.8528,0.594902,0.886893,151.0341,0.105801,0.712266,0.181934,51200,49861265,1588,56264,31,57,31,57
1200,6.927,6.215,6.993846,6.05249,0.941356,6.420044,6.014282,0.979564,994.1529,0.608066,0.888965,154.6204,0.108379,0.712656,0.178965,51200,50900631,1535,55419,34,63,34,63
1250,7.175,6.427,6.891287,5.971802,0.919485,6.27478,5.926392,0.964895,960.2809,0.608145,0.884071,159.6673,0.103867,0.726738,0.169395,51200,49166384,1643,54102,37,69,37,69
1300,7.406,6.621,6.749603,5.7948,0.954803,6.113281,5.747803,1.0018,882.3651,0.616621,0.872887,152.0782,0.094199,0.741172,0.164629,51200,45177092,1564,52967,44,77,44,77
1350,7.632,6.808,6.609162,5.607178,1.001984,5.938843,5.576294,1.032868,824.8581,0.62875,0.863159,132.8026,0.087012,0.749082,0.163906,51200,42232734,1556,51494,60,93,60,93
1400,7.847,6.984,6.467019,5.399902,1.067117,5.756958,5.396362,1.070657,756.6659,0.63791,0.848674,118.2068,0.078516,0.774258,0.147227,51200,38741292,1613,50114,60,95,60,95
1450,8.056,7.153,6.307206,5.241699,1.065507,5.560913,5.230713,1.076493,740.0844,0.647734,0.843794,105.137,0.076309,0.787363,0.136328,51200,37892322,1542,48388,65,102,65,102
1500,8.266,7.322,6.186485,5.084839,1.101646,5.407104,5.088989,1.097495,740.0553,0.656113,0.842877,115.6124,0.075742,0.798047,0.126211,51200,37890833,1496,46962,74,111,74,111
1550,8.505,7.503,6.078473,5.007812,1.07066,5.344116,5.026123,1.05235,720.1421,0.658945,0.837573,114.114,0.073145,0.807949,0.118906,51200,36871275,1526,46475,73,115,73,115
1600,8.716,7.672,5.981064,4.894653,1.08641,5.212036,4.922119,1.058945,681.7211,0.666016,0.82856,119.4068,0.069082,0.809453,0.121465,51200,34904121,1633,45257,89,135,89,135
1650,8.918,7.828,5.960125,4.823975,1.13615,5.146484,4.838501,1.121624,630.4882,0.670254,0.814345,110.2342,0.062969,0.813398,0.123633,51200,32280996,1557,44820,101,148,101,148
1700,9.132,8.0,5.779055,4.626221,1.152834,4.921997,4.627686,1.151369,622.0374,0.685801,0.81106,112.0158,0.062012,0.818867,0.119121,51200,31848317,1542,43242,115,164,115,164
1750,9.323,8.148,5.701866,4.532837,1.169029,4.8302,4.546875,1.154991,572.5179,0.684121,0.794894,118.4432,0.055781,0.820332,0.123887,51200,29312917,1543,43145,138,189,138,189
1800,9.515,8.296,5.683354,4.47998,1.203373,4.796265,4.529297,1.154057,565.6576,0.686543,0.791348,138.3632,0.054922,0.829805,0.115273,51200,28961670,1619,43929,124,198,124,198
1850,9.7,8.437,5.553021,4.342285,1.210736,4.631104,4.362915,1.190106,514.6817,0.699316,0.767661,115.1508,0.048125,0.84541,0.106465,51200,26351703,1602,41646,113,202,113,202
1900,9.879,8.571,5.470875,4.248413,1.222462,4.548096,4.292725,1.178151,469.9914,0.682734,0.743424,105.7534,0.041211,0.861934,0.096855,51200,24063559,1584,40789,118,209,118,209
1950,10.058,8.704,5.453454,4.231567,1.221886,4.537354,4.280151,1.173302,466.7266,0.700938,0.741844,104.0394,0.041621,0.861387,0.096992,51200,23896401,1623,41806,118,214,118,214
2000,10.233,8.833,5.435856,4.182739,1.253117,4.484863,4.235474,1.200383,440.8346,0.710078,0.727519,102.6028,0.038223,0.860371,0.101406,51200,22570730,1549,41619,118,215,118,215
2050,10.41,8.964,5.29256,4.090454,1.202106,4.415161,4.165405,1.127155,431.1162,0.708008,0.719347,103.0401,0.036953,0.87332,0.089727,51200,22073149,1628,41206,119,220,119,220
2100,10.582,9.091,5.398996,4.195312,1.203683,4.540039,4.260254,1.138742,422.9389,0.704375,0.712569,98.2593,0.03625,0.881816,0.081934,51200,21654474,1612,43499,117,233,117,233
2150,10.759,9.22,5.31918,4.107788,1.211392,4.436646,4.179077,1.140103,430.6771,0.694766,0.7182,99.3928,0.036758,0.877012,0.08623,51200,22050665,1586,42237,110,240,110,240
2200,10.933,9.344,5.366694,4.129028,1.237666,4.447021,4.212402,1.154292,385.7598,0.686953,0.685469,100.4083,0.03127,0.879023,0.089707,51200,19750901,1553,43010,115,248,115,248
2250,11.108,9.469,5.296189,4.084106,1.212082,4.426636,4.152466,1.143723,398.9482,0.685918,0.695873,110.7663,0.033184,0.878594,0.088223,51200,20426148,1567,42516,131,261,131,261
2300,11.282,9.593,5.133721,3.94043,1.193292,4.258179,4.009888,1.123834,390.509,0.69418,0.689939,111.7275,0.032266,0.874746,0.092988,51200,19994060,1627,40955,123,261,123,261
2350,11.454,9.714,5.091638,3.915405,1.176233,4.22998,3.978027,1.113611,390.3453,0.700996,0.690408,115.5728,0.032324,0.873262,0.094414,51200,19985679,1546,41416,123,261,123,261
2400,11.63,9.84,5.044107,3.861206,1.182901,4.171143,3.935181,1.108926,415.4791,0.707715,0.708113,117.967,0.035254,0.876934,0.087812,51200,21272532,1528,41410,118,262,118,262
2450,11.804,9.963,4.963919,3.771118,1.192801,4.089966,3.840088,1.123831,396.8271,0.69748,0.69304,119.2438,0.032285,0.88748,0.080234,51200,20317549,1595,40729,126,265,126,265
2500,11.98,10.087,4.90855,3.757202,1.151348,4.03418,3.822998,1.085552,407.8296,0.702578,0.700929,117.6119,0.03334,0.890684,0.075977,51200,20880874,1534,40325,132,265,132,265
2550,12.16,10.213,4.827795,3.697266,1.130529,3.998535,3.769653,1.058142,411.0988,0.699941,0.703482,124.6668,0.035137,0.88873,0.076133,51200,21048259,1570,39247,135,266,135,266
2600,12.336,10.337,4.807724,3.707642,1.100083,4.001099,3.79895,1.008774,399.0157,0.716367,0.69351,133.4116,0.03375,0.893301,0.072949,51200,20429603,1566,40990,136,266,136,266
2650,12.517,10.464,4.670218,3.571533,1.098685,3.86499,3.648682,1.021537,410.8579,0.71666,0.700584,154.0011,0.035078,0.899746,0.065176,51200,21035923,1541,39084,133,267,133,267
2700,12.694,10.592,4.664892,3.564087,1.100805,3.836426,3.6521,1.012792,397.7087,0.718066,0.689092,143.1685,0.03334,0.910996,0.055664,51200,20362684,1494,39070,145,268,145,268
2750,12.87,10.716,4.684991,3.616089,1.068902,3.877319,3.70166,0.983331,380.9769,0.70752,0.675944,137.6826,0.03166,0.910195,0.058145,51200,19506015,1544,39737,154,271,154,271
2800,13.042,10.836,4.54406,3.468262,1.075798,3.718384,3.54126,1.0028,358.7818,0.723652,0.655445,138.6114,0.028613,0.912305,0.059082,51200,18369630,1540,37994,162,273,162,273
2850,13.208,10.948,4.483447,3.44751,1.035937,3.683838,3.512939,0.970507,306.6897,0.734629,0.59498,126.8442,0.022344,0.920293,0.057363,51200,15702514,1600,36994,167,278,167,278
2900,13.369,11.055,4.422534,3.38916,1.033374,3.640381,3.461792,0.960742,280.4073,0.727207,0.556931,104.324,0.019141,0.921875,0.058984,51200,14356855,1554,36844,193,286,193,286
2950,13.528,11.16,4.388405,3.339722,1.048683,3.584351,3.408569,0.979836,281.7286,0.726113,0.557285,105.8449,0.019199,0.927949,0.052852,51200,14424502,1631,36216,185,286,185,286
3000,13.683,11.262,4.43362,3.405762,1.027859,3.667725,3.491333,0.942287,256.8352,0.732422,0.51291,98.0887,0.016133,0.938027,0.04584,51200,13149962,1511,37001,188,287,188,287
3050,13.843,11.368,4.54564,3.468628,1.077012,3.723389,3.553101,0.992539,283.0857,0.730957,0.557134,103.7747,0.01918,0.938984,0.041836,51200,14493986,1523,37327,188,290,188,290
3100,14.003,11.476,4.426761,3.302246,1.124515,3.574463,3.388794,1.037967,291.0877,0.743809,0.569866,106.4736,0.020332,0.937383,0.042285,51200,14903691,1568,35882,189,292,189,292
3150,14.161,11.583,4.193572,3.092163,1.101409,3.32605,3.176636,1.016936,289.8357,0.729648,0.566606,110.3244,0.019668,0.942695,0.037637,51200,14839590,1600,33422,183,295,183,295
3200,14.318,11.684,4.141871,3.106812,1.035059,3.333618,3.173462,0.968409,258.2287,0.719883,0.513468,111.2708,0.015703,0.945703,0.038594,51200,13221309,1617,33554,174,297,174,297
3250,14.471,11.782,4.135979,3.113403,1.022576,3.354004,3.187866,0.948113,234.3375,0.712148,0.461962,108.2345,0.012891,0.952754,0.034355,51200,11998079,1555,34114,174,300,174,300
3300,14.621,11.877,4.010778,3.001953,1.008825,3.228027,3.072998,0.93778,216.3785,0.730703,0.415715,101.1153,0.010566,0.959551,0.029883,51200,11078579,1566,33119,168,300,169,300
3350,14.767,11.969,3.814938,2.84436,0.970577,3.059326,2.892944,0.921993,198.6384,0.717969,0.361956,96.4741,0.00832,0.96623,0.025449,51200,10170284,1542,31440,146,302,150,302
3400,14.914,12.061,3.814998,2.844116,0.970882,3.046875,2.893188,0.92181,206.6436,0.705723,0.387185,99.2841,0.009199,0.964551,0.02625,51200,10580151,1519,31454,160,317,167,320
3450,15.063,12.153,3.886687,2.859741,1.026946,3.07666,2.918091,0.968596,202.1788,0.711152,0.373371,104.2128,0.008789,0.965801,0.02541,51200,10351552,1614,32033,153,319,158,323
3500,15.215,12.248,3.754038,2.818237,0.9358,3.017456,2.860962,0.893076,216.712,0.710137,0.415521,115.6962,0.010488,0.965801,0.023711,51200,11095652,1601,30822,145,322,145,326
3550,15.364,12.341,3.770575,2.844971,0.925605,3.039673,2.889038,0.881537,203.9188,0.711035,0.381227,115.8512,0.008965,0.95918,0.031855,51200,10440645,1558,31359,151,328,151,332
3600,15.514,12.436,3.709726,2.810913,0.898813,3.004028,2.84436,0.865366,202.8796,0.709863,0.378082,116.9366,0.008887,0.961309,0.029805,51200,10387433,1547,31113,154,328,154,332
3650,15.663,12.529,3.713525,2.79248,0.921045,2.970947,2.818359,0.895166,199.8139,0.711387,0.366527,117.2587,0.008848,0.964648,0.026504,51200,10230473,1539,31041,179,332,179,336
3700,15.814,12.621,3.699277,2.768433,0.930845,2.943726,2.803955,0.895322,188.3754,0.725605,0.326706,115.5431,0.007578,0.967441,0.02498,51200,9644818,1554,31413,181,333,181,337
3750,15.961,12.71,3.661089,2.767944,0.893145,2.957886,2.80835,0.852739,172.3576,0.733047,0.262357,109.0263,0.005566,0.972559,0.021875,51200,8824707,1549,31457,182,341,183,346
3800,16.105,12.796,3.659015,2.735474,0.923541,2.916992,2.77832,0.880694,155.1883,0.732988,0.181826,104.3593,0.003477,0.968672,0.027852,51200,7945639,1541,30850,180,341,182,346
3850,16.25,12.885,3.552857,2.610962,0.941895,2.780518,2.647583,0.905274,174.1756,0.746133,0.271764,117.6271,0.00582,0.967441,0.026738,51200,8917793,1558,28838,177,348,188,353
3900,16.401,12.979,3.569629,2.641968,0.927661,2.817627,2.676392,0.893237,187.6876,0.775039,0.322942,132.3611,0.007422,0.968594,0.023984,51200,9609604,1587,29497,180,356,196,363
