epoch,wall_s,sim_s,entropy_bits,comp_bits,high_order_entropy,brotli2_bits,zlib_bits,hoe_zlib,mean_steps,frac_copy_runs,frac_steps_in_loop,ops_per_run,frac_term_budget,frac_term_off_region,frac_term_unmatched,runs,steps,mutations,distinct_windows,n_persistent,A_t,n_persistent_naive,A_t_naive
0,0.052,0.0,7.997125,8.000488,-0.003364,8.000488,8.003174,-0.006049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,65536,0,0,0,0
50,0.726,0.619,7.995097,8.000488,-0.005391,8.000488,8.003174,-0.008077,1683.0752,0.0,0.937596,128.516,0.185371,0.591562,0.223066,51200,86173449,811,65536,0,0,0,0
100,1.443,1.287,7.992206,8.000488,-0.008283,8.000488,8.003174,-0.010968,1889.5573,0.0,0.945966,143.7262,0.211465,0.543242,0.245293,51200,96745332,804,65536,0,0,0,0
150,2.164,1.958,7.989177,8.000488,-0.011311,8.000488,8.003174,-0.013997,1923.5257,0.0,0.947637,148.0817,0.215664,0.531719,0.252617,51200,98484517,765,65536,0,0,0,0
200,2.884,2.65,7.986533,8.000488,-0.013956,8.000488,8.003174,-0.016641,1974.9665,0.0,0.949835,161.8551,0.223145,0.506621,0.270234,51200,101118286,826,65536,0,0,0,0
250,3.587,3.304,7.983637,8.000488,-0.016851,8.000488,8.003174,-0.019536,1969.9702,0.0,0.949953,164.9273,0.221699,0.496836,0.281465,51200,100862472,784,65536,0,0,0,0
300,4.344,4.011,7.981698,8.000488,-0.01879,8.000488,8.003174,-0.021476,2031.5557,0.0,0.951715,167.9606,0.228926,0.492422,0.278652,51200,104015651,814,65536,0,0,0,0
350,5.122,4.737,7.980653,8.000488,-0.019835,8.000488,8.003174,-0.022521,2076.6504,0.0,0.952572,165.7237,0.234121,0.488477,0.277402,51200,106324499,797,65536,0,0,0,0
400,5.898,5.462,7.979313,8.000488,-0.021175,8.000488,8.003174,-0.02386,2037.4993,0.0,0.951845,162.8769,0.228809,0.486758,0.284434,51200,104319966,795,65536,0,0,0,0
450,6.668,6.185,7.979419,8.000488,-0.021069,8.000488,8.003174,-0.023755,2027.576,0.0,0.951398,160.5915,0.227617,0.490898,0.281484,51200,103811892,826,65536,0,0,0,0
500,7.431,6.891,7.978827,8.000488,-0.021662,8.000488,8.003174,-0.024347,2051.1106,0.0,0.951799,161.3222,0.23043,0.494395,0.275176,51200,105016863,775,65536,0,0,0,0
550,8.156,7.589,7.979236,8.000488,-0.021253,8.000488,8.003174,-0.023938,1988.244,0.0,0.950658,153.0738,0.222441,0.487539,0.29002,51200,101798094,781,65536,0,0,0,0
600,8.752,8.136,7.978684,8.000488,-0.021804,8.000488,8.002686,-0.024002,2045.5659,0.0,0.952127,148.1503,0.230371,0.481582,0.288047,51200,104732975,766,65536,0,0,0,0
650,9.489,8.815,7.977939,8.000488,-0.02255,8.000488,8.002197,-0.024259,1967.434,0.0,0.95009,145.8595,0.219766,0.491172,0.289062,51200,100732620,781,65536,0,0,0,0
700,10.283,9.563,7.97768,8.000488,-0.022809,8.000488,8.002075,-0.024396,2002.1983,0.0,0.951067,148.9295,0.22502,0.484121,0.290859,51200,102512554,741,65536,0,0,0,0
750,11.095,10.318,7.978357,8.000488,-0.022131,8.000488,8.002319,-0.023962,1991.1141,0.0,0.951124,151.7853,0.225234,0.474355,0.30041,51200,101945042,776,65536,0,0,0,0
800,11.848,11.023,7.978556,8.000488,-0.021933,8.000488,8.002808,-0.024252,2009.4045,0.0,0.951112,151.0636,0.226406,0.484766,0.288828,51200,102881508,750,65536,0,0,0,0
850,12.6,11.722,7.978259,8.000488,-0.022229,8.000488,8.002441,-0.024182,1984.3149,0.0,0.950632,148.306,0.22332,0.481914,0.294766,51200,101596923,800,65536,0,0,0,0
900,13.363,12.436,7.979187,8.000488,-0.021301,8.000488,8.002808,-0.02362,1999.6742,0.0,0.9509,148.8463,0.225762,0.479375,0.294863,51200,102383321,788,65536,0,0,0,0
950,14.107,13.125,7.97799,8.000488,-0.022499,8.000488,8.002197,-0.024208,2006.6924,0.0,0.950958,146.9688,0.225938,0.479922,0.294141,51200,102742651,799,65536,0,0,0,0
1000,14.748,13.742,7.978293,8.000488,-0.022195,8.000488,8.002319,-0.024026,1997.4154,0.0,0.95086,152.8232,0.226113,0.47873,0.295156,51200,102267667,871,65536,0,0,0,0
1050,15.18,14.149,7.978655,8.000488,-0.021833,8.000488,8.002563,-0.023908,1994.2373,0.0,0.951064,148.0799,0.226504,0.471367,0.302129,51200,102104952,790,65536,0,0,0,0
1100,15.646,14.59,7.978635,8.000488,-0.021853,8.000488,8.002563,-0.023929,1964.622,0.0,0.950022,139.0669,0.222031,0.480078,0.297891,51200,100588646,820,65536,0,0,0,0
1150,16.309,15.19,7.979038,8.000488,-0.02145,8.000488,8.003174,-0.024136,1951.4502,0.0,0.949782,137.8959,0.221133,0.476426,0.302441,51200,99914250,780,65536,0,0,0,0
1200,16.818,15.651,7.978997,8.000488,-0.021492,8.000488,8.002075,-0.023079,1946.861,0.0,0.949885,137.4144,0.221055,0.468535,0.31041,51200,99679283,821,65536,0,0,0,0
1250,17.548,16.332,7.979474,8.000488,-0.021014,8.000488,8.003174,-0.0237,1984.1706,0.0,0.951057,141.9148,0.226191,0.467715,0.306094,51200,101589536,804,65536,0,0,0,0
1300,17.993,16.735,7.978815,8.000488,-0.021673,8.000488,8.003174,-0.024359,1978.4864,0.0,0.951159,144.5024,0.225098,0.463594,0.311309,51200,101298506,774,65536,0,0,0,0
1350,18.626,17.344,7.978643,8.000488,-0.021845,8.000488,8.002441,-0.023798,2007.4233,0.0,0.951954,149.243,0.227754,0.458965,0.313281,51200,102780075,809,65536,0,0,0,0
1400,19.219,17.909,7.978474,8.000488,-0.022014,8.000488,8.002563,-0.024089,2068.0077,0.0,0.953653,162.1164,0.235,0.450371,0.314629,51200,105881996,772,65536,0,0,0,0
1450,19.745,18.386,7.977051,8.000488,-0.023437,8.000488,8.001709,-0.024658,2071.5917,0.0,0.953681,172.685,0.235352,0.450176,0.314473,51200,106065493,807,65536,0,0,0,0
1500,20.519,19.112,7.976377,8.000488,-0.024111,8.000488,8.000366,-0.023989,2119.6698,0.0,0.954566,176.537,0.24043,0.452363,0.307207,51200,108527092,802,65536,0,0,0,0
1550,21.082,19.628,7.97644,8.000488,-0.024048,8.000488,8.000366,-0.023926,2074.8514,0.0,0.953461,172.7982,0.23418,0.458906,0.306914,51200,106232391,807,65536,0,0,0,0
1600,21.698,20.22,7.976785,8.000488,-0.023704,8.000488,8.00061,-0.023826,2072.938,0.0,0.952779,175.0096,0.234219,0.473262,0.29252,51200,106134426,794,65536,0,0,0,0
1650,22.167,20.66,7.976772,8.000488,-0.023716,8.000488,8.000977,-0.024205,2119.2074,0.0,0.953727,174.87,0.239688,0.475234,0.285078,51200,108503418,777,65536,0,0,0,0
1700,22.829,21.296,7.97708,8.000488,-0.023408,8.000488,8.001953,-0.024873,2143.5743,0.0,0.954275,173.1041,0.243984,0.472988,0.283027,51200,109751002,777,65536,0,0,0,0
1750,23.421,21.864,7.976969,8.000488,-0.023519,8.000488,8.001465,-0.024496,2146.8516,0.0,0.954213,169.2401,0.243203,0.474473,0.282324,51200,109918804,796,65536,0,0,0,0
1800,23.934,22.328,7.977696,8.000488,-0.022792,8.000488,8.001953,-0.024257,2205.8584,0.0,0.955478,181.8092,0.250605,0.470645,0.27875,51200,112939949,832,65536,0,0,0,0
1850,24.519,22.853,7.978573,8.000488,-0.021916,8.000488,8.002197,-0.023625,2219.0264,0.0,0.95591,181.3391,0.251816,0.465996,0.282188,51200,113614152,797,65536,0,0,0,0
1900,25.017,23.328,7.978455,8.000488,-0.022033,8.000488,8.002197,-0.023742,2209.7139,0.0,0.955647,171.5573,0.248906,0.475059,0.276035,51200,113137351,795,65536,0,0,0,0
1950,25.506,23.776,7.97844,8.000488,-0.022048,8.000488,8.003174,-0.024733,2248.2681,0.0,0.956443,178.3993,0.253633,0.476562,0.269805,51200,115111326,816,65536,0,0,0,0
2000,26.072,24.306,7.978667,8.000488,-0.021821,8.000488,8.003174,-0.024507,2218.0033,0.0,0.95543,167.8796,0.248535,0.48748,0.263984,51200,113561769,776,65536,0,0,0,0
2050,26.773,24.94,7.978635,8.000488,-0.021854,8.000488,8.002808,-0.024173,2202.3385,0.0,0.955123,165.2012,0.246055,0.485312,0.268633,51200,112759729,748,65536,0,0,0,0
2100,27.456,25.587,7.979225,8.000488,-0.021263,8.000488,8.002319,-0.023094,2268.1497,0.0,0.956543,177.7484,0.256211,0.482305,0.261484,51200,116129264,818,65536,0,0,0,0
2150,27.849,25.956,7.978198,8.000488,-0.02229,8.000488,8.001831,-0.023633,2179.1309,0.0,0.954656,169.2637,0.245059,0.486934,0.268008,51200,111571500,735,65536,0,0,0,0
2200,28.365,26.448,7.977428,8.000488,-0.023061,8.000488,8.001587,-0.024159,2163.3294,0.0,0.954393,172.1421,0.24168,0.488477,0.269844,51200,110762465,754,65536,0,0,0,0
2250,28.762,26.82,7.976982,8.000488,-0.023506,8.000488,8.001465,-0.024483,2157.9268,0.0,0.954464,181.6399,0.241562,0.482285,0.276152,51200,110485852,776,65536,0,0,0,0
2300,29.463,27.496,7.977271,8.000488,-0.023217,8.000488,8.001221,-0.02395,2151.4315,0.0,0.9545,197.9793,0.240703,0.478047,0.28125,51200,110153295,782,65536,0,0,0,0
2350,30.018,28.027,7.97713,8.000488,-0.023359,8.000488,8.001221,-0.024091,2127.683,0.0,0.954015,196.5716,0.237852,0.479023,0.283125,51200,108937368,771,65536,0,0,0,0
2400,30.67,28.631,7.977688,8.000488,-0.0228,8.000488,8.001343,-0.023654,2161.7302,0.0,0.954763,201.8312,0.242305,0.479707,0.277988,51200,110680584,745,65536,0,0,0,0
2450,31.24,29.164,7.977607,8.000488,-0.022881,8.000488,8.001343,-0.023736,2214.8945,0.0,0.955864,211.1002,0.249121,0.473887,0.276992,51200,113402596,764,65536,0,0,0,0
2500,31.801,29.673,7.977414,8.000488,-0.023075,8.000488,8.001465,-0.024051,2162.4062,0.0,0.95448,216.1054,0.243008,0.48752,0.269473,51200,110715197,764,65536,0,0,0,0
2550,32.318,30.142,7.978055,8.000488,-0.022433,8.000488,8.001831,-0.023776,2163.0261,0.0,0.954573,216.4244,0.244023,0.482188,0.273789,51200,110746937,799,65536,0,0,0,0
2600,32.871,30.65,7.978104,8.000488,-0.022384,8.000488,8.001831,-0.023727,2174.1364,0.0,0.955045,221.5125,0.244863,0.479258,0.275879,51200,111315786,799,65536,0,0,0,0
2650,33.467,31.198,7.978672,8.000488,-0.021816,8.000488,8.002808,-0.024135,2165.99,0.0,0.954816,213.1892,0.243867,0.477207,0.278926,51200,110898687,837,65536,0,0,0,0
