# epoch 0  H=7.9971 C=8.0032 HO=-0.0034  A(t)=0
         1  ..k....-......>.  fffe6b0c80d5fc2dc2eceabdf0d63ecb
         1  .........,.D....  fffdb51ea0ec06bbbe2cb044c502f8cb
         1  ...............Q  fffdb50bbde3b0b0b811a28a1ce10251
         1  ..p..>md....y..W  fffd7019933e6d64c9ed188279f7be57
         1  ....T...........  fffbf59e54e40701feb6dd06f2c1f3be
         1  ...i..N.......+>  fff8af69c7f14e89b59f8f11a3db2b3e
         1  ..>....J....g.$.  fff83e01a2d7154ae500c31867a324ab
         1  ..5..G.#!..}.j?*  fff835b1f64717232195bb7da76a3f2a
         1  ..._y.......1...  fff7d8207903bc951d8c899e31df0380
         1  ..."';..BEg.g..E  fff6b422273b03e9424567ba67eb1c45
# epoch 50  H=7.9951 C=8.0032 HO=-0.0054  A(t)=0
         1  ....+T..SL..PR.6  fffecb082b54fedc534cc41850521936
         1  ..k....-......>.  fffe6b0b80d5fb2dc2eceabdf0d63ecb
         1  ...............Q  fffdb50cbde7b3b0b914a48a1ce30251
         1  ...._qc..E.:...z  fffcd5b25f716393fe45fd3ac513b07a
         1  .........,.D....  fffbb61fa1ed07bcbf2cb044c502f8cb
         1  ..>....J......$.  fff83e01a2d7154ae50fc318c6a324ab
         1  ..._y......n1...  fff7d8207903bc951d8c896e31000380
         1  ....^.r"L.T.)..a  fff7c5975eb072224c1154182984df61
         1  ..."';..BEg.f..F  fff6b422273b03e9424567ba66eb1c46
         1  ..b....](_...4..  fff66203dad18c5d285fb2bbcb34e40b
# epoch 100  H=7.9922 C=8.0032 HO=-0.0083  A(t)=0
         1  ....,T..SL..PR.6  fffecb082c54fedc534cc41850521936
         1  ...P..=..D....cU  fffeb35012aa3dc7af44c394b4036355
         1  ..j....-......>.  fffe6a0880d4fa2dc2eceabdf0d63ecb
         1  .....v.........Q  fffdb50cbd76b3b0b914a48a1ce30251
         1  ...._sd..E.;...z  fffcd5b25f7364940045fe3bc513b17a
         1  .........,.D....  fffbb61fa1ed07bcbf2cb044c502f8cb
